NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3825848.739,461689.214,5065378.525,0.000,0.000,0.000,0,1
L1,3825846.720,461688.971,5065380.063,0.000,2.550,0.000,2,3
L2,3825847.401,461691.319,5065379.339,2.250,1.350,0.000,4,5
L3,3825849.539,461691.577,5065377.711,2.250,-1.350,0.000,6,7
L4,3825850.758,461689.457,5065376.987,0.000,-2.550,0.000,8,9
L5,3825850.077,461687.109,5065377.711,-2.250,-1.350,0.000,10,11
L6,3825847.939,461686.851,5065379.339,-2.250,1.350,0.000,12,13
L7,3825844.146,461688.661,5065382.023,0.000,5.800,0.000,14,15
L8,3825844.774,461692.491,5065381.205,3.728,4.443,0.000,16,17
L9,3825847.258,461694.789,5065379.132,5.712,1.007,0.000,18,19
L10,3825850.435,461694.478,5065376.776,5.023,-2.900,0.000,20,21
L11,3825852.818,461691.704,5065375.238,1.984,-5.450,0.000,22,23
L12,3825853.292,461687.764,5065375.238,-1.984,-5.450,0.000,24,25
L13,3825851.636,461684.504,5065376.776,-5.023,-2.900,0.000,26,27
L14,3825848.625,461683.447,5065379.132,-5.712,1.007,0.000,28,29
L15,3825845.666,461685.089,5065381.204,-3.728,4.443,0.000,30,31
L16,3825843.326,461683.176,5065383.134,-5.347,7.642,0.000,32,33
L17,3825841.392,461686.041,5065384.327,-2.271,9.620,0.000,34,35
L18,3825840.529,461691.002,5065384.526,2.757,9.951,0.000,36,37
L19,3825843.392,461697.120,5065381.824,8.489,5.470,0.000,38,39
L20,3825845.552,461698.743,5065380.056,9.842,2.538,0.000,40,41
L21,3825848.940,461699.246,5065377.468,9.936,-1.754,0.000,42,43
L22,3825852.027,461697.234,5065375.332,7.569,-5.295,0.000,44,45
L23,3825855.175,461692.782,5065373.372,2.773,-8.545,0.000,46,47
L24,3825856.673,461688.295,5065372.653,-1.861,-9.737,0.000,48,49
L25,3825855.903,461684.086,5065373.611,-5.948,-8.148,0.000,50,51
L26,3825853.478,461681.732,5065375.644,-7.995,-4.776,0.000,52,53
L27,3825849.854,461680.238,5065378.499,-9.045,-0.042,0.000,54,55
L28,3825846.126,461680.817,5065381.245,-8.024,4.511,0.000,56,57
L29,3825839.687,461681.021,5065386.060,-7.051,12.495,0.000,58,59
L30,3825837.842,461684.178,5065387.160,-3.696,14.318,0.000,60,61
L31,3825837.604,461687.292,5065387.057,-0.576,14.147,0.000,62,63
L32,3825838.999,461694.966,5065385.316,6.876,11.260,0.000,64,65
L33,3825838.477,461697.913,5065385.441,9.864,11.468,0.000,66,67
L34,3825843.697,461701.242,5065381.222,12.545,4.472,0.000,68,69
L35,3825847.626,461702.278,5065378.180,13.103,-0.573,0.000,70,71
L36,3825851.679,461703.620,5065375.016,13.951,-5.819,0.000,72,73
L37,3825853.458,461700.993,5065373.918,11.130,-7.640,0.000,74,75
L38,3825856.308,461697.663,5065372.080,7.483,-10.687,0.000,76,77
L39,3825859.070,461691.406,5065370.572,0.940,-13.187,0.000,78,79
