NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,4034031.501,487014.140,4900284.310,0.000,0.000,0.000,0,1
L1,4034027.507,487020.819,4900286.917,0.000,0.000,0.000,2,3
L2,4034028.500,487014.392,4900286.739,0.000,0.000,0.000,4,5
L3,4034024.985,487020.001,4900289.059,0.000,0.000,0.000,6,7
L4,4034041.415,487045.625,4900273.095,0.000,0.000,0.000,8,9
L5,4034037.904,487050.358,4900275.499,0.000,0.000,0.000,10,11
L6,4034047.502,487047.881,4900267.895,0.000,0.000,0.000,12,13
L7,4034045.439,487052.215,4900269.154,0.000,0.000,0.000,14,15
L8,4034028.992,487009.093,4900286.860,0.000,0.000,0.000,16,17
L9,4034031.132,487002.512,4900285.760,0.000,0.000,0.000,18,19
L10,4034028.659,487000.259,4900288.004,0.000,0.000,0.000,20,21
L11,4034025.692,487002.107,4900290.248,0.000,0.000,0.000,22,23
L12,4034037.883,487030.825,4900277.444,0.000,0.000,0.000,24,25
L13,4034033.824,487028.834,4900280.960,0.000,0.000,0.000,26,27
L14,4034032.278,487031.720,4900281.939,0.000,0.000,0.000,28,29
L15,4034034.336,487035.544,4900279.879,0.000,0.000,0.000,30,31
L16,4034029.532,487032.124,4900284.145,0.000,0.000,0.000,32,33
L17,4034027.222,487028.269,4900286.415,0.000,0.000,0.000,34,35
L18,4034024.848,487036.534,4900287.540,0.000,0.000,0.000,36,37
L19,4034022.264,487033.462,4900289.956,0.000,0.000,0.000,38,39
L20,4034052.062,487017.005,4900267.215,0.000,0.000,0.000,40,41
L21,4034050.407,487008.425,4900269.414,0.000,0.000,0.000,42,43
L22,4034058.699,487012.840,4900262.198,0.000,0.000,0.000,44,45
L23,4034053.094,487003.622,4900267.691,0.000,0.000,0.000,46,47
L24,4034037.476,487012.947,4900279.542,0.000,0.000,0.000,48,49
L25,4034035.184,487010.233,4900281.685,0.000,0.000,0.000,50,51
L26,4034040.049,487010.055,4900277.724,0.000,0.000,0.000,52,53
L27,4034041.273,487006.224,4900277.101,0.000,0.000,0.000,54,55
L28,4034051.595,487032.652,4900266.051,0.000,0.000,0.000,56,57
L29,4034053.711,487035.284,4900264.061,0.000,0.000,0.000,58,59
L30,4034056.530,487025.844,4900262.688,0.000,0.000,0.000,60,61
L31,4034059.703,487029.964,4900259.687,0.000,0.000,0.000,62,63
L32,4034024.090,487040.361,4900287.782,0.000,0.000,0.000,64,65
L33,4034026.206,487046.146,4900285.480,0.000,0.000,0.000,66,67
L34,4034020.982,487053.805,4900288.996,0.000,0.000,0.000,68,69
L35,4034018.392,487048.466,4900291.641,0.000,0.000,0.000,70,71
L36,4034041.585,487029.399,4900274.558,0.000,0.000,0.000,72,73
L37,4034040.045,487034.883,4900275.276,0.000,0.000,0.000,74,75
L38,4034044.465,487030.663,4900272.078,0.000,0.000,0.000,76,77
L39,4034044.074,487034.353,4900272.034,0.000,0.000,0.000,78,79
L40,4034019.937,487014.224,4900293.758,0.000,0.000,0.000,80,81
L41,4034018.098,487024.115,4900294.285,0.000,0.000,0.000,82,83
L42,4034014.014,487017.045,4900298.323,0.000,0.000,0.000,84,85
L43,4034013.183,487027.541,4900297.967,0.000,0.000,0.000,86,87
L44,4034042.130,487022.887,4900274.755,0.000,0.000,0.000,88,89
L45,4034045.132,487023.723,4900272.218,0.000,0.000,0.000,90,91
L46,4034042.452,487018.101,4900274.965,0.000,0.000,0.000,92,93
L47,4034046.244,487019.727,4900271.703,0.000,0.000,0.000,94,95
L48,4034036.290,487044.019,4900277.444,0.000,0.000,0.000,96,97
L49,4034052.601,487023.678,4900266.115,0.000,0.000,0.000,98,99
L50,4034036.244,487054.963,4900276.401,0.000,0.000,0.000,100,101
L51,4034028.895,487046.350,4900283.261,0.000,0.000,0.000,102,103
L52,4034044.994,487002.775,4900274.399,0.000,0.000,0.000,104,105
L53,4034061.003,487019.706,4900259.636,0.000,0.000,0.000,106,107
L54,4034028.340,487053.908,4900282.969,0.000,0.000,0.000,108,109
L55,4034037.436,487034.206,4900277.476,0.000,0.000,0.000,110,111
L56,4034020.195,487007.326,4900294.228,0.000,0.000,0.000,112,113
L57,4034046.138,487009.400,4900272.809,0.000,0.000,0.000,114,115
L58,4034034.150,487006.623,4900282.886,0.000,0.000,0.000,116,117
L59,4034057.670,487039.519,4900260.406,0.000,0.000,0.000,118,119
L60,4034049.904,487026.052,4900268.086,0.000,0.000,0.000,120,121
L61,4034046.291,487013.216,4900272.307,0.000,0.000,0.000,122,123
L62,4034021.411,487024.425,4900291.545,0.000,0.000,0.000,124,125
L63,4034031.519,487025.776,4900283.147,0.000,0.000,0.000,126,127
L64,4034040.109,487040.401,4900274.679,0.000,0.000,0.000,128,129
L65,4034034.091,487019.479,4900281.666,0.000,0.000,0.000,130,131
