NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3847810.446,466929.381,5048356.961,0.000,0.000,0.000,0,1
L1,3847808.432,466929.138,5048358.507,0.000,2.550,0.000,2,3
L2,3847809.110,466931.486,5048357.779,2.250,1.350,0.000,4,5
L3,3847811.242,466931.743,5048356.142,2.250,-1.350,0.000,6,7
L4,3847812.460,466929.624,5048355.415,0.000,-2.550,0.000,8,9
L5,3847811.782,466927.276,5048356.143,-2.250,-1.350,0.000,10,11
L6,3847809.650,466927.019,5048357.780,-2.250,1.350,0.000,12,13
L7,3847813.583,466924.916,5048354.997,-4.808,-3.243,0.000,14,15
L8,3847810.659,466923.597,5048357.330,-5.768,0.606,0.000,16,17
L9,3847807.634,466924.984,5048359.491,-4.029,4.172,0.000,18,19
L10,3847805.926,466928.428,5048360.468,-0.405,5.786,0.000,20,21
L11,3847806.332,466932.319,5048359.804,3.409,4.692,0.000,22,23
L12,3847808.664,466934.835,5048357.810,5.628,1.403,0.000,24,25
L13,3847811.829,466934.798,5048355.418,5.213,-2.543,0.000,26,27
L14,3847814.348,466932.227,5048353.748,2.359,-5.299,0.000,28,29
L15,3847815.040,466928.324,5048353.582,-1.599,-5.575,0.000,30,31
L16,3847817.722,466926.888,5048351.685,-3.345,-8.706,0.000,32,33
L17,3847816.984,466923.414,5048352.561,-6.706,-7.262,0.000,34,35
L18,3847814.209,466919.973,5048354.976,-9.791,-3.279,0.000,36,37
L19,3847808.416,466919.787,5048359.376,-9.282,3.979,0.000,38,39
L20,3847806.036,466921.187,5048361.049,-7.608,6.740,0.000,40,41
L21,3847803.659,466924.432,5048362.550,-4.102,9.218,0.000,42,43
L22,3847803.134,466928.658,5048362.559,0.157,9.236,0.000,44,45
L23,3847804.194,466934.202,5048361.249,5.534,7.077,0.000,46,47
L24,3847806.273,466938.057,5048359.323,9.113,3.902,0.000,48,49
L25,3847809.533,466939.425,5048356.731,10.081,-0.374,0.000,50,51
L26,3847812.560,466938.127,5048354.560,8.430,-3.957,0.000,52,53
L27,3847815.738,466935.147,5048352.429,5.092,-7.475,0.000,54,55
L28,3847817.601,466930.995,5048351.400,0.747,-9.174,0.000,56,57
L29,3847821.349,466924.231,5048349.184,-6.417,-12.833,0.000,58,59
L30,3847820.363,466920.702,5048350.253,-9.803,-11.071,0.000,60,61
L31,3847818.437,466918.855,5048351.880,-11.406,-8.388,0.000,62,63
L32,3847812.496,466916.353,5048356.604,-13.180,-0.596,0.000,64,65
L33,3847810.853,466914.298,5048358.035,-15.023,1.765,0.000,66,67
L34,3847805.493,466917.984,5048361.753,-10.723,7.900,0.000,68,69
L35,3847802.437,466921.514,5048363.741,-6.852,11.183,0.000,70,71
L36,3847799.101,466925.016,5048365.944,-2.977,14.819,0.000,72,73
L37,3847799.773,466928.206,5048365.143,0.110,13.499,0.000,74,75
L38,3847800.268,466932.863,5048364.342,4.675,12.180,0.000,76,77
L39,3847802.761,466938.937,5048361.900,10.407,8.153,0.000,78,79
L40,3847804.138,466941.024,5048360.667,12.314,6.120,0.000,80,81
L41,3847808.172,466942.442,5048357.485,13.239,0.871,0.000,82,83
L42,3847811.020,466944.366,5048355.154,14.809,-2.974,0.000,84,85
L43,3847817.373,466940.027,5048350.745,9.741,-10.250,0.000,86,87
L44,3847819.453,466936.881,5048349.459,6.369,-12.373,0.000,88,89
L45,3847821.684,466932.028,5048348.217,1.284,-14.426,0.000,90,91
L46,3847794.232,466972.773,5048365.252,45.020,13.700,0.000,92,93
L47,3847845.674,466948.150,5048328.590,14.420,-46.800,0.000,94,95
L48,3847824.758,466929.513,5048346.121,-1.581,-17.885,0.000,1,0
L49,3847826.600,466927.363,5048344.924,-3.936,-19.860,0.000,3,2
L50,3847821.450,466913.653,5048350.077,-16.931,-11.365,0.000,5,4
L51,3847809.141,466909.800,5048359.743,-19.284,4.580,0.000,7,6
L52,3847805.210,466910.345,5048362.667,-18.273,9.404,0.000,9,8
L53,3847798.541,466919.574,5048366.866,-8.312,16.338,0.000,11,10
L54,3847796.266,466932.652,5048367.389,4.944,17.207,0.000,13,12
L55,3847796.327,466940.577,5048366.617,12.805,15.937,0.000,15,14
L56,3847806.374,466946.921,5048358.435,17.901,2.440,0.000,17,16
L57,3847812.627,466948.825,5048353.529,19.044,-5.652,0.000,19,18
L58,3847819.573,466943.531,5048348.759,12.957,-13.525,0.000,21,20
L59,3847826.108,466943.492,5048343.819,12.136,-21.676,0.000,23,22
L60,3847830.228,466931.310,5048341.818,-0.451,-24.983,0.000,25,24
L61,3847829.240,466918.615,5048343.729,-12.937,-21.837,0.000,27,26
L62,3847826.961,466913.208,5048345.948,-18.032,-18.178,0.000,29,28
L63,3847822.831,466906.851,5048349.655,-23.850,-12.065,0.000,31,30
L64,3847808.846,466905.715,5048360.340,-23.305,5.563,0.000,33,32
L65,3847802.587,466907.621,5048364.901,-20.664,13.089,0.000,35,34
L66,3847793.275,466915.717,5048371.204,-11.512,23.492,0.000,37,36
L67,3847790.385,466929.601,5048372.118,2.618,25.008,0.000,39,38
L68,3847790.681,466938.843,5048371.047,11.758,23.245,0.000,41,40
L69,3847796.388,466947.718,5048365.917,19.887,14.785,0.000,43,42
L70,3847806.945,466956.178,5048357.154,27.023,0.332,0.000,45,44
L71,3847820.910,466952.205,5048346.953,21.408,-16.500,0.000,47,46
L72,3847831.860,466949.756,5048338.893,17.667,-29.800,0.000,49,48
L73,3847834.785,466935.168,5048338.017,2.834,-31.253,0.000,51,50
L74,3847834.784,466920.613,5048339.351,-11.616,-29.058,0.000,53,52
L75,3847833.621,466912.854,5048340.942,-19.181,-26.437,0.000,55,54
L76,3847822.485,466900.912,5048350.461,-29.705,-10.738,0.000,57,56
L77,3847808.995,466895.503,5048361.163,-33.461,6.916,0.000,59,58
L78,3847799.460,466899.081,5048368.048,-28.768,18.278,0.000,61,60
L79,3847795.382,466907.184,5048370.392,-20.236,22.148,0.000,63,62
L80,3847785.839,466916.284,5048376.777,-10.060,32.688,0.000,65,64
L81,3847783.531,466935.158,5048376.794,8.955,32.725,0.000,67,66
L82,3847785.397,466943.651,5048374.604,17.164,29.116,0.000,69,68
L83,3847792.199,466956.622,5048368.270,29.228,18.672,0.000,71,70
L84,3847798.450,466958.722,5048363.348,30.565,10.553,0.000,73,72
L85,3847814.555,466961.852,5048350.877,31.746,-10.022,0.000,75,74
L86,3847818.822,466957.506,5048348.047,26.921,-14.693,0.000,77,76
L87,3847821.767,466962.364,5048345.374,31.392,-19.101,0.000,79,78
L88,3847843.502,466932.764,5048331.642,-0.595,-41.771,0.000,81,80
L89,3847838.487,466908.341,5048337.674,-24.243,-31.831,0.000,83,82
L90,3847828.767,466893.110,5048346.423,-38.202,-17.404,0.000,85,84
L91,3847816.424,466889.518,5048356.091,-40.292,-1.455,0.000,87,86
L92,3847783.043,466908.607,5048379.596,-17.347,37.335,0.000,89,88
L93,3847781.248,466930.900,5048378.912,5.001,36.217,0.000,91,90
L94,3847779.836,466947.204,5048378.486,21.357,35.522,0.000,93,92
L95,3847809.033,466968.056,5048354.486,38.566,-4.064,0.000,95,94
H0,3847738.451,466958.856,5048408.761,-1.777,19.530,0.000,0,1
H1,3847739.125,466963.871,5048407.802,3.121,17.939,0.000,2,3
H2,3847739.800,466968.886,5048406.842,8.019,16.347,0.000,4,5
H3,3847740.474,466973.900,5048405.882,12.917,14.756,0.000,6,7
H4,3847742.520,466957.744,5048405.807,-3.368,14.632,0.000,8,9
H5,3847743.194,466962.759,5048404.848,1.530,13.041,0.000,10,11
H6,3847743.869,466967.773,5048403.888,6.428,11.449,0.000,12,13
H7,3847744.543,466972.788,5048402.929,11.326,9.858,0.000,14,15
H8,3847745.240,466946.601,5048404.772,-14.756,12.917,0.000,16,17
H9,3847745.914,466951.616,5048403.813,-9.858,11.326,0.000,18,19
H10,3847746.589,466956.631,5048402.853,-4.960,9.734,0.000,20,21
H11,3847747.264,466961.645,5048401.894,-0.062,8.143,0.000,22,23
H12,3847747.939,466966.660,5048400.934,4.836,6.551,0.000,24,25
H13,3847748.613,466971.675,5048399.975,9.734,4.960,0.000,26,27
H14,3847749.288,466976.690,5048399.015,14.632,3.368,0.000,28,29
H15,3847749.962,466981.704,5048398.055,19.530,1.777,0.000,30,31
H16,3847749.309,466945.489,5048401.819,-16.347,8.019,0.000,32,33
H17,3847749.984,466950.504,5048400.859,-11.449,6.428,0.000,34,35
H18,3847750.659,466955.519,5048399.899,-6.551,4.836,0.000,36,37
H19,3847751.333,466960.533,5048398.940,-1.653,3.245,0.000,38,39
H20,3847752.008,466965.548,5048397.980,3.245,1.653,0.000,40,41
H21,3847752.682,466970.563,5048397.021,8.143,0.062,0.000,42,43
H22,3847753.357,466975.577,5048396.061,13.041,-1.530,0.000,44,45
H23,3847754.031,466980.592,5048395.101,17.939,-3.121,0.000,46,47
H24,3847753.379,466944.376,5048398.865,-17.939,3.121,0.000,48,49
H25,3847754.053,466949.391,5048397.905,-13.041,1.530,0.000,50,51
H26,3847754.728,466954.405,5048396.945,-8.143,-0.062,0.000,52,53
H27,3847755.402,466959.420,5048395.986,-3.245,-1.653,0.000,54,55
H28,3847756.077,466964.435,5048395.026,1.653,-3.245,0.000,56,57
H29,3847756.751,466969.449,5048394.067,6.551,-4.836,0.000,58,59
H30,3847757.426,466974.464,5048393.107,11.449,-6.428,0.000,60,61
H31,3847758.101,466979.479,5048392.147,16.347,-8.019,0.000,62,63
H32,3847757.448,466943.264,5048395.911,-19.530,-1.777,0.000,64,65
H33,3847758.122,466948.278,5048394.951,-14.632,-3.368,0.000,66,67
H34,3847758.797,466953.293,5048393.991,-9.734,-4.960,0.000,68,69
H35,3847759.471,466958.308,5048393.032,-4.836,-6.551,0.000,70,71
H36,3847760.146,466963.323,5048392.072,0.062,-8.143,0.000,72,73
H37,3847760.821,466968.337,5048391.113,4.960,-9.734,0.000,74,75
H38,3847761.496,466973.352,5048390.153,9.858,-11.326,0.000,76,77
H39,3847762.170,466978.367,5048389.194,14.756,-12.917,0.000,78,79
H40,3847762.867,466952.180,5048391.037,-11.326,-9.858,0.000,80,81
H41,3847763.541,466957.195,5048390.078,-6.428,-11.449,0.000,82,83
