#
# RSPConnections_Cobalt
#
# $Id: $
#
# List of Connections between RSP boards and the Cobalt nodes at CEP.
#
# The Core stations have two possible connections: one for 
# 1x48 HBA tiles, one for 2x24 HBA tiles. These have two separate 
# entries in this file.
#
#                IMPORTANT !!!!!! BEWARE
#
# 	The items in the seperate lines of this file must be seperated by either a SINGLE whitespace or a single tab!!!!
#	Furthermore, this file is read by PVSS controllers to fill in the database, ANY change could possibly have an impact
#	on PVSS, so please double check. In case of doubt, contact the PVSS maintainer
#
# Reroute to Cobalt, valid from 2013-10-29.
# The Cobalt machines are put behind the BG-x switches, replacing R01.
#
# The network configuration is as follows:
#
# BG0 -> cbt001
# BG0 -> cbt002
# BG1 -> cbt003
# BG1 -> cbt004
# BG2 -> cbt005
# BG2 -> cbt006
# BG3 -> cbt007
# BG3 -> cbt008
# BG2 -> cbt009

# CS001 -> BG3
CS001 RSP_0 cbt007-10GB01
CS001 RSP_1 cbt007-10GB01

# CS002 -> BG1
CS002 RSP_0 cbt003-10GB01
CS002 RSP_1 cbt003-10GB01

# CS003 -> BG2
CS003 RSP_0 cbt005-10GB01
CS003 RSP_1 cbt005-10GB01

# CS004 -> BG3
CS004 RSP_0 cbt008-10GB01
CS004 RSP_1 cbt008-10GB01

# CS005 -> BG0
CS005 RSP_0 cbt001-10GB01
CS005 RSP_1 cbt001-10GB01

# CS006 -> BG1
CS006 RSP_0 cbt004-10GB01
CS006 RSP_1 cbt004-10GB01

# CS007 -> BG2
CS007 RSP_0 cbt006-10GB01
CS007 RSP_1 cbt006-10GB01

# CS011 -> BG1
CS011 RSP_0 cbt003-10GB02
CS011 RSP_1 cbt003-10GB02

# CS013 -> BG2
CS013 RSP_0 cbt005-10GB02
CS013 RSP_1 cbt005-10GB02

# CS017 -> BG0
CS017 RSP_0 cbt002-10GB01
CS017 RSP_1 cbt002-10GB01

# CS021 -> BG0
CS021 RSP_0 cbt001-10GB02
CS021 RSP_1 cbt001-10GB02

# CS024 -> BG3
CS024 RSP_0 cbt007-10GB02
CS024 RSP_1 cbt007-10GB02

# CS026 -> BG1
CS026 RSP_0 cbt004-10GB02
CS026 RSP_1 cbt004-10GB02

# CS028 -> BG1
CS028 RSP_0 cbt003-10GB03
CS028 RSP_1 cbt003-10GB03

# CS030 -> BG2
CS030 RSP_0 cbt006-10GB02
CS030 RSP_1 cbt006-10GB02

# CS031 -> BG1
CS031 RSP_0 cbt004-10GB03
CS031 RSP_1 cbt004-10GB03

# CS032 -> BG0
CS032 RSP_0 cbt002-10GB02
CS032 RSP_1 cbt002-10GB02

# CS101 -> BG0
CS101 RSP_0 cbt001-10GB03
CS101 RSP_1 cbt001-10GB03

# CS103 -> BG3
CS103 RSP_0 cbt008-10GB02
CS103 RSP_1 cbt008-10GB02

# CS201 -> BG1
CS201 RSP_0 cbt003-10GB02
CS201 RSP_1 cbt003-10GB04

# CS301 -> BG2
CS301 RSP_0 cbt005-10GB03
CS301 RSP_1 cbt005-10GB03

# CS302 -> BG1
CS302 RSP_0 cbt004-10GB04
CS302 RSP_1 cbt004-10GB04

# CS401 -> BG3
CS401 RSP_0 cbt007-10GB03
CS401 RSP_1 cbt007-10GB03

# CS501 -> BG2
CS501 RSP_0 cbt006-10GB03
CS501 RSP_1 cbt006-10GB03

# RS104 -> BG0
RS104 RSP_0 cbt002-10GB03

# RS106 -> BG3
RS106 RSP_0 cbt008-10GB03

# RS205 -> BG3
RS205 RSP_0 cbt007-10GB04

# RS208 -> BG0
RS208 RSP_0 cbt001-10GB04

# RS210 -> BG2
RS210 RSP_0 cbt005-10GB03

# RS305 -> BG2
RS305 RSP_0 cbt006-10GB04

# RS306 -> BG2
RS306 RSP_0 cbt005-10GB01

# RS307 -> BG3
RS307 RSP_0 cbt008-10GB04

# RS310 -> BG0
RS310 RSP_0 cbt002-10GB04

# RS406 -> BG3
RS406 RSP_0 cbt007-10GB03

# RS407 -> BG0
RS407 RSP_0 cbt001-10GB04

# RS409 -> BG0
RS409 RSP_0 cbt002-10GB03

# RS410 -> BG0
RS410 RSP_0 cbt002-10GB04

# RS503 -> BG2
RS503 RSP_0 cbt006-10GB04

# RS508 -> BG3
RS508 RSP_0 cbt008-10GB03

# RS509 -> BG3
RS509 RSP_0 cbt007-10GB04

# DE601 -> BG3
DE601 RSP_0 cbt-BG3-DE601

# DE602 -> BG1
DE602 RSP_0 cbt-BG1-DE602

# DE603 -> BG1
DE603 RSP_0 cbt-BG1-DE603

# DE604 -> BG1
DE604 RSP_0 cbt-BG1-DE604

# DE605 -> BG3
DE605 RSP_0 cbt-BG3-DE605

# FR606 -> BG2
FR606 RSP_0 cbt-BG2-FR606

# SE607 -> BG2
SE607 RSP_0 cbt-BG2-SE607

# UK608 -> BG2
UK608 RSP_0 cbt-BG2-UK608

