#
# List of TBB Connections for all stations
# Each station is connected to a single storage node
# This table contains the mapping.
#
# $Id: $
#
# Station  Board      DestinationNode
CS001      TBB_0      LIST001
CS002      TBB_0      LIST001
CS003      TBB_0      LIST001
CS004      TBB_0      LIST001
CS005      TBB_0      LIST001
CS006      TBB_0      LIST001
CS007      TBB_0      LIST001
CS008      TBB_0      LIST001
CS009      TBB_0      LIST001
CS010      TBB_0      LIST001
CS011      TBB_0      LIST001
CS012      TBB_0      LIST001
CS013      TBB_0      LIST001
CS014      TBB_0      LIST001
CS015      TBB_0      LIST001
CS016      TBB_0      LIST001
CS017      TBB_0      LIST001
CS018      TBB_0      LIST001
CS019      TBB_0      LIST001
CS020      TBB_0      LIST001
CS021      TBB_0      LIST001
CS022      TBB_0      LIST001
CS023      TBB_0      LIST001
CS024      TBB_0      LIST001
CS025      TBB_0      LIST001
CS026      TBB_0      LIST001
CS027      TBB_0      LIST001
CS028      TBB_0      LIST001
CS029      TBB_0      LIST001
CS030      TBB_0      LIST001
CS031      TBB_0      LIST001
CS032      TBB_0      LIST001
#
CS101      TBB_0      LIST001
CS102      TBB_0      LIST001
CS103      TBB_0      LIST001
CS201      TBB_0      LIST001
CS301      TBB_0      LIST001
CS302      TBB_0      LIST001
CS401      TBB_0      LIST001
CS501      TBB_0      LIST001
# Test stations
RS005      TBB_0      LIST001
CS099      TBB_0      LIST001
#
# Remote Stations
#
RS104      TBB_0      LIST001
RS105      TBB_0      LIST001
RS106      TBB_0      LIST001
RS107      TBB_0      LIST001
RS108      TBB_0      LIST001
RS109      TBB_0      LIST001
#
RS202      TBB_0      LIST001
RS203      TBB_0      LIST001
RS204      TBB_0      LIST001
RS205      TBB_0      LIST001
RS206      TBB_0      LIST001
RS207      TBB_0      LIST001
RS208      TBB_0      LIST001
RS209      TBB_0      LIST001
RS210      TBB_0      LIST001
#
RS303      TBB_0      LIST001
RS304      TBB_0      LIST001
RS305      TBB_0      LIST001
RS306      TBB_0      LIST001
RS307      TBB_0      LIST001
RS308      TBB_0      LIST001
RS309      TBB_0      LIST001
RS310      TBB_0      LIST001
#
RS402      TBB_0      LIST001
RS403      TBB_0      LIST001
RS404      TBB_0      LIST001
RS405      TBB_0      LIST001
RS406      TBB_0      LIST001
RS407      TBB_0      LIST001
RS408      TBB_0      LIST001
RS409      TBB_0      LIST001
RS410      TBB_0      LIST001
#
RS502      TBB_0      LIST001
RS503      TBB_0      LIST001
RS504      TBB_0      LIST001
RS505      TBB_0      LIST001
RS506      TBB_0      LIST001
RS507      TBB_0      LIST001
RS508      TBB_0      LIST001
RS509      TBB_0      LIST001
#
# European stations
#
DE601      TBB_0      LIST001
DE602      TBB_0      LIST001
DE603      TBB_0      LIST001
DE604      TBB_0      LIST001
DE605      TBB_0      LIST001
FR606      TBB_0      LIST001
SE607      TBB_0      LIST001
UK608      TBB_0      LIST001
