NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3825600.841,461260.269,5065604.065,0.000,0.000,0.000,0,1
L1,3825598.822,461260.026,5065605.603,0.000,2.550,0.000,2,3
L2,3825599.503,461262.374,5065604.879,2.250,1.350,0.000,4,5
L3,3825601.641,461262.632,5065603.251,2.250,-1.350,0.000,6,7
L4,3825602.860,461260.512,5065602.527,0.000,-2.550,0.000,8,9
L5,3825602.179,461258.164,5065603.251,-2.250,-1.350,0.000,10,11
L6,3825600.041,461257.906,5065604.879,-2.250,1.350,0.000,12,13
L7,3825599.988,461266.005,5065604.187,5.797,0.202,0.000,14,15
L8,3825603.123,461265.147,5065601.912,4.570,-3.571,0.000,16,17
L9,3825605.190,461262.008,5065600.644,1.206,-5.673,0.000,18,19
L10,3825605.222,461258.054,5065600.977,-2.723,-5.121,0.000,20,21
L11,3825603.205,461255.137,5065602.754,-5.378,-2.173,0.000,22,23
L12,3825600.082,461254.622,5065605.146,-5.516,1.792,0.000,24,25
L13,3825597.313,461256.748,5065607.031,-3.074,4.919,0.000,26,27
L14,3825596.196,461260.522,5065607.529,0.807,5.744,0.000,28,29
L15,3825597.252,461264.178,5065606.406,4.310,3.881,0.000,30,31
L16,3825595.506,461267.130,5065607.449,7.450,5.611,0.000,32,33
L17,3825597.638,461269.487,5065605.636,9.535,2.605,0.000,34,35
L18,3825601.547,461270.468,5065602.613,10.041,-2.408,0.000,36,37
L19,3825606.720,461266.781,5065599.064,5.762,-8.293,0.000,38,39
L20,3825608.216,461264.058,5065598.187,2.880,-9.747,0.000,40,41
L21,3825608.922,461259.826,5065598.040,-1.406,-9.991,0.000,42,43
L22,3825607.579,461256.016,5065599.392,-5.028,-7.749,0.000,44,45
L23,3825604.281,461252.179,5065602.214,-8.443,-3.069,0.000,46,47
L24,3825600.809,461250.398,5065604.981,-9.796,1.520,0.000,48,49
L25,3825597.357,461251.438,5065607.478,-8.351,5.660,0.000,50,51
L26,3825595.250,461254.506,5065608.783,-5.053,7.823,0.000,52,53
L27,3825593.726,461259.052,5065609.516,-0.357,9.038,0.000,54,55
L28,3825593.860,461263.687,5065608.996,4.228,8.176,0.000,56,57
L29,3825593.452,461271.709,5065608.578,12.242,7.482,0.000,58,59
L30,3825595.824,461273.947,5065606.595,14.180,4.194,0.000,60,61
L31,3825598.306,461274.184,5065604.710,14.118,1.069,0.000,62,63
L32,3825604.598,461272.298,5065600.158,11.493,-6.479,0.000,64,65
L33,3825606.919,461272.892,5065598.361,11.805,-9.458,0.000,66,67
L34,3825610.060,461266.323,5065596.598,4.908,-12.382,0.000,68,69
L35,3825611.241,461261.405,5065596.156,-0.116,-13.115,0.000,70,71
L36,3825612.680,461256.329,5065595.534,-5.328,-14.145,0.000,72,73
L37,3825610.728,461254.161,5065597.196,-7.247,-11.390,0.000,74,75
L38,3825608.305,461250.674,5065599.329,-10.419,-7.852,0.000,76,77
L39,3825603.521,461247.351,5065603.221,-13.146,-1.399,0.000,78,79
L40,3825601.420,461246.554,5065604.870,-13.686,1.336,0.000,80,81
L41,3825597.268,461248.066,5065607.850,-11.688,6.277,0.000,82,83
L42,3825593.942,461248.375,5065610.319,-10.983,10.370,0.000,84,85
L43,3825590.208,461256.138,5065612.420,-2.829,13.854,0.000,86,87
L44,3825589.720,461260.092,5065612.429,1.155,13.868,0.000,88,89
L45,3825589.829,461265.546,5065611.854,6.556,12.915,0.000,90,91
L46,3825593.061,461324.856,5065604.067,65.054,0.000,0.000,92,93
L47,3825652.361,461266.476,5065564.832,0.000,-65.054,0.000,94,95
L48,3825588.199,461269.642,5065612.707,10.818,14.330,0.000,1,0
L49,3825587.496,461272.623,5065612.965,13.862,14.757,0.000,3,2
L50,3825597.876,461280.439,5065604.467,20.380,0.666,0.000,5,4
L51,3825610.344,461275.442,5065595.560,13.927,-14.103,0.000,7,6
L52,3825613.568,461272.391,5065593.416,10.513,-17.658,0.000,9,8
L53,3825615.495,461260.414,5065593.053,-1.609,-18.260,0.000,11,10
L54,3825611.915,461248.195,5065596.844,-13.312,-11.973,0.000,13,12
L55,3825608.480,461241.746,5065600.006,-19.304,-6.730,0.000,15,14
L56,3825596.937,461243.206,5065608.537,-16.474,7.417,0.000,17,16
L57,3825590.626,461245.788,5065613.041,-13.155,14.885,0.000,19,18
L58,3825586.776,461254.726,5065615.124,-3.821,18.337,0.000,21,20
L59,3825581.047,461259.088,5065619.029,1.195,24.813,0.000,23,22
L60,3825582.623,461271.794,5065616.698,13.622,20.947,0.000,25,24
L61,3825588.908,461281.538,5065611.099,22.544,11.663,0.000,27,26
L62,3825593.219,461284.456,5065607.600,24.925,5.860,0.000,29,28
L63,3825599.564,461286.927,5065602.614,26.619,-2.407,0.000,31,30
L64,3825612.346,461278.593,5065593.773,16.816,-17.067,0.000,33,32
