NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
H0,2136799.803,810023.941,5935308.107,-13.251,22.953,-0.003,0,1
H1,2136801.609,810028.590,5935306.831,-8.836,20.306,-0.002,2,3
H2,2136803.417,810033.240,5935305.554,-4.419,17.658,-0.002,4,5
H3,2136805.223,810037.888,5935304.278,-0.004,15.011,-0.002,6,7
H4,2136808.838,810047.186,5935301.725,8.827,9.715,-0.001,8,9
H5,2136810.645,810051.834,5935300.448,13.242,7.067,-0.001,10,11
H6,2136814.260,810061.132,5935297.895,22.073,1.772,-0.001,12,13
H7,2136816.066,810065.780,5935296.619,26.488,-0.875,-0.001,14,15
H8,2136804.306,810021.828,5935306.783,-15.898,18.537,-0.002,16,17
H9,2136806.113,810026.476,5935305.507,-11.483,15.890,-0.002,18,19
H10,2136807.921,810031.125,5935304.231,-7.067,13.242,-0.001,20,21
H11,2136809.727,810035.774,5935302.954,-2.652,10.595,-0.001,22,23
H12,2136813.342,810045.071,5935300.401,6.179,5.300,-0.001,24,25
H13,2136815.149,810049.721,5935299.125,10.595,2.652,-0.001,26,27
H14,2136818.763,810059.018,5935296.572,19.426,-2.643,-0.000,28,29
H15,2136820.570,810063.667,5935295.295,23.841,-5.290,-0.000,30,31
H16,2136808.810,810019.713,5935305.460,-18.546,14.122,-0.001,32,33
H17,2136810.617,810024.361,5935304.183,-14.131,11.475,-0.001,34,35
H18,2136812.424,810029.011,5935302.907,-9.714,8.827,-0.001,36,37
H19,2136814.231,810033.660,5935301.630,-5.299,6.180,-0.001,38,39
H20,2136817.845,810042.957,5935299.077,3.532,0.885,-0.000,40,41
H21,2136819.652,810047.606,5935297.801,7.947,-1.763,-0.000,42,43
H22,2136823.267,810056.903,5935295.248,16.778,-7.059,0.000,44,45
H23,2136825.073,810061.552,5935293.971,21.193,-9.706,0.001,46,47
H24,2136813.314,810017.599,5935304.136,-21.193,9.707,-0.001,48,49
H25,2136815.120,810022.248,5935302.860,-16.778,7.060,-0.001,50,51
H26,2136816.928,810026.897,5935301.583,-12.363,4.412,-0.000,52,53
H27,2136818.734,810031.545,5935300.307,-7.947,1.764,-0.000,54,55
H28,2136822.349,810040.842,5935297.754,0.883,-3.531,0.000,56,57
H29,2136824.156,810045.492,5935296.477,5.300,-6.179,0.001,58,59
H30,2136827.770,810054.789,5935293.924,14.131,-11.474,0.001,60,61
H31,2136829.577,810059.438,5935292.648,18.546,-14.121,0.001,62,63
H32,2136817.817,810015.485,5935302.812,-23.841,5.291,-0.000,64,65
H33,2136819.624,810020.133,5935301.536,-19.426,2.644,0.000,66,67
H34,2136821.431,810024.783,5935300.259,-15.010,-0.004,0.000,68,69
H35,2136823.238,810029.431,5935298.983,-10.594,-2.651,0.001,70,71
H36,2136826.853,810038.729,5935296.429,-1.763,-7.947,0.001,72,73
H37,2136828.660,810043.377,5935295.153,2.652,-10.594,0.001,74,75
H38,2136832.274,810052.675,5935292.600,11.483,-15.889,0.002,76,77
H39,2136834.082,810057.324,5935291.323,15.898,-18.537,0.002,78,79
H40,2136822.321,810013.371,5935301.488,-26.488,0.876,0.000,80,81
H41,2136824.128,810018.020,5935300.212,-22.073,-1.772,0.001,82,83
H42,2136825.935,810022.668,5935298.935,-17.658,-4.419,0.001,84,85
H43,2136827.743,810027.317,5935297.659,-13.242,-7.067,0.001,86,87
H44,2136831.357,810036.614,5935295.106,-4.412,-12.362,0.002,88,89
H45,2136833.163,810041.264,5935293.829,0.005,-15.009,0.002,90,91
H46,2136836.777,810050.561,5935291.276,8.835,-20.305,0.002,92,93
H47,2136838.585,810055.210,5935290.000,13.251,-22.953,0.002,94,95
