NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826669.146,461069.226,5064819.494,35.300,-121.100,0.000,0,1
L1,3826667.126,461068.983,5064821.032,35.300,-118.550,0.000,2,3
L2,3826667.808,461071.331,5064820.309,37.550,-119.750,0.000,4,5
L3,3826669.946,461071.589,5064818.680,37.550,-122.450,0.000,6,7
L4,3826671.165,461069.469,5064817.957,35.300,-123.650,0.000,8,9
L5,3826670.484,461067.121,5064818.680,33.050,-122.450,0.000,10,11
L6,3826668.346,461066.863,5064820.308,33.050,-119.750,0.000,12,13
L7,3826672.521,461065.028,5064817.341,30.729,-124.671,0.000,14,15
L8,3826669.679,461063.452,5064819.616,29.504,-120.898,0.000,16,17
L9,3826666.588,461064.576,5064821.835,30.990,-117.219,0.000,18,19
L10,3826664.694,461067.877,5064822.958,34.493,-115.356,0.000,20,21
L11,3826664.883,461071.808,5064822.461,38.374,-116.181,0.000,22,23
L12,3826667.067,461074.531,5064820.575,40.816,-119.308,0.000,24,25
L13,3826670.224,461074.773,5064818.184,40.678,-123.273,0.000,26,27
L14,3826672.876,461072.418,5064816.406,38.023,-126.221,0.000,28,29
L15,3826673.783,461068.570,5064816.073,34.094,-126.773,0.000,30,31
L16,3826676.535,461067.366,5064814.116,32.570,-130.018,0.000,32,33
L17,3826675.993,461063.823,5064814.843,29.117,-128.812,0.000,34,35
L18,3826673.418,461060.133,5064817.110,25.761,-125.054,0.000,36,37
L19,3826667.656,461059.440,5064821.497,25.763,-117.778,0.000,38,39
L20,3826665.205,461060.633,5064823.229,27.240,-114.907,0.000,40,41
L21,3826662.657,461063.675,5064824.867,30.565,-112.191,0.000,42,43
L22,3826661.898,461067.862,5064825.058,34.813,-111.875,0.000,44,45
L23,3826662.648,461073.505,5064823.985,40.326,-113.654,0.000,46,47
L24,3826664.505,461077.549,5064822.225,44.119,-116.572,0.000,48,49
L25,3826667.679,461079.205,5064819.694,45.383,-120.770,0.000,50,51
L26,3826670.767,461078.170,5064817.469,43.986,-124.459,0.000,52,53
L27,3826674.101,461075.464,5064815.212,40.901,-128.202,0.000,54,55
L28,3826676.187,461071.469,5064814.006,36.685,-130.200,0.000,56,57
L29,3826680.297,461065.024,5064811.504,29.794,-134.349,0.000,58,59
L30,3826679.511,461061.403,5064812.421,26.293,-132.828,0.000,60,61
L31,3826677.693,461059.385,5064813.968,24.507,-130.263,0.000,62,63
L32,3826671.913,461056.357,5064818.581,22.193,-122.614,0.000,64,65
