NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
H0,4324004.432,165567.343,4670281.922,23.570,14.615,0.000,0,1
H1,4324008.065,165568.681,4670278.526,24.465,9.543,0.000,2,3
H2,4324011.699,165570.018,4670275.130,25.359,4.471,0.000,4,5
H3,4324015.332,165571.355,4670271.735,26.253,-0.600,0.000,6,7
H4,4324018.966,165572.692,4670268.339,27.147,-5.672,0.000,8,9
H5,4324001.869,165561.035,4670284.506,17.604,18.792,0.000,10,11
H6,4324005.503,165562.371,4670281.110,18.498,13.721,0.000,12,13
H7,4324009.136,165563.709,4670277.715,19.393,8.649,0.000,14,15
H8,4324012.770,165565.046,4670274.319,20.287,3.577,0.000,16,17
H9,4324016.404,165566.383,4670270.923,21.181,-1.495,0.000,18,19
H10,4324020.037,165567.721,4670267.527,22.076,-6.566,0.000,20,21
H11,4324023.671,165569.058,4670264.131,22.970,-11.638,0.000,22,23
H12,4323999.306,165554.726,4670287.090,11.638,22.970,0.000,24,25
H13,4324002.940,165556.063,4670283.694,12.532,17.898,0.000,26,27
H14,4324006.574,165557.401,4670280.298,13.427,12.826,0.000,28,29
H15,4324010.207,165558.738,4670276.903,14.321,7.755,0.000,30,31
H16,4324013.841,165560.074,4670273.507,15.215,2.683,0.000,32,33
H17,4324017.475,165561.412,4670270.111,16.110,-2.389,0.000,34,35
H18,4324021.108,165562.749,4670266.715,17.004,-7.461,0.000,36,37
H19,4324024.742,165564.086,4670263.320,17.898,-12.532,0.000,38,39
H20,4324028.375,165565.423,4670259.924,18.792,-17.604,0.000,40,41
H21,4323996.744,165548.417,4670289.674,5.672,27.147,0.000,42,43
H22,4324000.377,165549.754,4670286.279,6.566,22.076,0.000,44,45
H23,4324004.011,165551.092,4670282.883,7.461,17.004,0.000,46,47
H24,4324007.645,165552.429,4670279.487,8.355,11.932,0.000,48,49
H25,4324011.279,165553.766,4670276.091,9.249,6.860,0.000,50,51
H26,4324014.912,165555.104,4670272.696,10.144,1.789,0.000,52,53
H27,4324018.545,165556.441,4670269.300,11.038,-3.283,0.000,54,55
H28,4324022.179,165557.777,4670265.904,11.932,-8.355,0.000,56,57
H29,4324025.813,165559.114,4670262.508,12.826,-13.427,0.000,58,59
H30,4324029.446,165560.452,4670259.113,13.721,-18.498,0.000,60,61
H31,4324033.080,165561.789,4670255.717,14.615,-23.570,0.000,62,63
H32,4323997.815,165543.445,4670288.862,0.600,26.253,0.000,64,65
H33,4324001.449,165544.783,4670285.467,1.495,21.181,0.000,66,67
H34,4324005.082,165546.120,4670282.071,2.389,16.110,0.000,68,69
H35,4324008.716,165547.457,4670278.675,3.283,11.038,0.000,70,71
H36,4324012.349,165548.794,4670275.279,4.177,5.966,0.000,72,73
H37,4324015.983,165550.132,4670271.883,5.072,0.894,0.000,74,75
H38,4324019.616,165551.469,4670268.488,5.966,-4.177,0.000,76,77
H39,4324023.250,165552.806,4670265.092,6.860,-9.249,0.000,78,79
H40,4324026.884,165554.143,4670261.696,7.755,-14.321,0.000,80,81
H41,4324030.518,165555.480,4670258.300,8.649,-19.393,0.000,82,83
H42,4324034.151,165556.817,4670254.904,9.543,-24.465,0.000,84,85
H43,4323998.886,165538.475,4670288.051,-4.471,25.359,0.000,86,87
H44,4324002.520,165539.811,4670284.655,-3.577,20.287,0.000,88,89
H45,4324006.153,165541.148,4670281.259,-2.683,15.215,0.000,90,91
H46,4324009.786,165542.485,4670277.864,-1.789,10.144,0.000,92,93
H47,4324013.420,165543.823,4670274.468,-0.894,5.072,0.000,94,95
H48,4324020.688,165546.497,4670267.676,0.894,-5.072,0.000,96,97
H49,4324024.322,165547.835,4670264.280,1.789,-10.144,0.000,98,99
H50,4324027.955,165549.172,4670260.885,2.683,-15.215,0.000,100,101
H51,4324031.588,165550.509,4670257.489,3.577,-20.287,0.000,102,103
H52,4324035.222,165551.845,4670254.093,4.471,-25.359,0.000,104,105
H53,4323999.957,165533.503,4670287.240,-9.543,24.465,0.000,106,107
H54,4324003.590,165534.840,4670283.844,-8.649,19.393,0.000,108,109
H55,4324007.224,165536.177,4670280.448,-7.755,14.321,0.000,110,111
H56,4324010.858,165537.514,4670277.052,-6.860,9.249,0.000,112,113
H57,4324014.492,165538.851,4670273.656,-5.966,4.177,0.000,114,115
H58,4324018.125,165540.188,4670270.261,-5.072,-0.894,0.000,116,117
H59,4324021.759,165541.526,4670266.865,-4.177,-5.966,0.000,118,119
H60,4324025.392,165542.863,4670263.469,-3.283,-11.038,0.000,120,121
H61,4324029.026,165544.200,4670260.073,-2.389,-16.110,0.000,122,123
H62,4324032.659,165545.537,4670256.677,-1.495,-21.181,0.000,124,125
H63,4324036.293,165546.875,4670253.282,-0.600,-26.253,0.000,126,127
H64,4324001.028,165528.531,4670286.427,-14.615,23.570,0.000,128,129
H65,4324004.662,165529.868,4670283.031,-13.721,18.498,0.000,130,131
H66,4324008.295,165531.206,4670279.636,-12.826,13.427,0.000,132,133
H67,4324011.929,165532.543,4670276.240,-11.932,8.355,0.000,134,135
H68,4324015.563,165533.879,4670272.844,-11.038,3.283,0.000,136,137
H69,4324019.196,165535.216,4670269.448,-10.144,-1.789,0.000,138,139
H70,4324022.829,165536.554,4670266.053,-9.249,-6.860,0.000,140,141
H71,4324026.463,165537.891,4670262.657,-8.355,-11.932,0.000,142,143
H72,4324030.097,165539.228,4670259.261,-7.461,-17.004,0.000,144,145
H73,4324033.731,165540.566,4670255.865,-6.566,-22.076,0.000,146,147
H74,4324037.364,165541.903,4670252.470,-5.672,-27.147,0.000,148,149
H75,4324005.733,165524.897,4670282.220,-18.792,17.604,0.000,150,151
H76,4324009.366,165526.234,4670278.824,-17.898,12.532,0.000,152,153
H77,4324013.000,165527.571,4670275.429,-17.004,7.461,0.000,154,155
