NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826406.939,460538.280,5065064.610,0.000,0.000,0.000,0,1
L1,3826404.920,460538.037,5065066.148,0.000,2.550,0.000,2,3
L2,3826405.601,460540.385,5065065.424,2.250,1.350,0.000,4,5
L3,3826407.739,460540.643,5065063.796,2.250,-1.350,0.000,6,7
L4,3826408.958,460538.523,5065063.072,0.000,-2.550,0.000,8,9
L5,3826408.277,460536.175,5065063.796,-2.250,-1.350,0.000,10,11
L6,3826406.139,460535.917,5065065.424,-2.250,1.350,0.000,12,13
L7,3826411.063,460535.343,5065061.780,-3.409,-4.692,0.000,14,15
L8,3826408.723,460532.826,5065063.764,-5.628,-1.403,0.000,16,17
L9,3826405.549,460532.862,5065066.143,-5.213,2.543,0.000,18,19
L10,3826403.025,460535.432,5065067.806,-2.359,5.299,0.000,20,21
L11,3826402.333,460539.336,5065067.972,1.599,5.575,0.000,22,23
L12,3826403.796,460542.744,5065066.566,4.808,3.243,0.000,24,25
L13,3826406.729,460544.064,5065064.245,5.768,-0.606,0.000,26,27
L14,3826409.761,460542.678,5065062.094,4.029,-4.172,0.000,28,29
L15,3826411.473,460539.234,5065061.121,0.405,-5.786,0.000,30,31
L16,3826414.344,460539.005,5065058.986,-0.166,-9.325,0.000,32,33
L17,3826414.617,460535.360,5065059.111,-3.817,-9.118,0.000,34,35
L18,3826412.997,460530.873,5065060.732,-8.079,-6.430,0.000,36,37
L19,3826407.697,460528.215,5065064.950,-10.083,0.565,0.000,38,39
L20,3826405.115,460528.538,5065066.860,-9.454,3.731,0.000,40,41
L21,3826402.028,460530.631,5065068.988,-7.007,7.259,0.000,42,43
L22,3826400.383,460534.457,5065069.877,-3.011,8.733,0.000,44,45
L23,3826399.841,460540.224,5065069.762,2.779,8.543,0.000,46,47
L24,3826400.702,460544.810,5065068.702,7.229,6.784,0.000,48,49
L25,3826403.339,460547.517,5065066.477,9.601,3.096,0.000,50,51
L26,3826406.491,460547.568,5065064.107,9.275,-0.835,0.000,52,53
L27,3826410.245,460546.073,5065061.424,7.342,-5.283,0.000,54,55
L28,3826413.105,460542.891,5065059.565,3.840,-8.366,0.000,56,57
L29,3826418.423,460538.011,5065056.014,-1.641,-14.253,0.000,58,59
L30,3826418.482,460534.206,5065056.314,-5.426,-13.756,0.000,60,61
L31,3826417.210,460531.612,5065057.503,-7.849,-11.784,0.000,62,63
L32,3826412.410,460526.669,5065061.553,-12.182,-5.068,0.000,64,65
L33,3826411.455,460523.998,5065062.511,-14.720,-3.480,0.000,66,67
L34,3826405.493,460525.235,5065066.875,-12.778,3.756,0.000,68,69
L35,3826401.699,460527.310,5065069.534,-10.264,8.166,0.000,70,71
L36,3826397.658,460529.239,5065072.394,-7.866,12.907,0.000,72,73
L37,3826397.403,460532.584,5065072.283,-4.514,12.723,0.000,74,75
L38,3826396.581,460537.262,5065072.477,0.228,13.045,0.000,76,77
L39,3826397.216,460544.150,5065071.377,6.991,11.221,0.000,78,79
L40,3826397.915,460546.739,5065070.619,9.478,9.963,0.000,80,81
L41,3826401.253,460549.825,5065067.834,12.142,5.346,0.000,82,83
L42,3826403.355,460552.889,5065065.979,14.933,2.270,0.000,84,85
L43,3826410.414,460551.449,5065060.811,12.659,-6.300,0.000,86,87
L44,3826413.199,460549.325,5065058.912,10.217,-9.448,0.000,88,89
L45,3826416.593,460545.629,5065056.700,6.141,-13.117,0.000,90,91
L46,3826455.107,460510.336,5065030.980,-33.505,-55.762,0.000,92,93
L47,3826387.073,460479.721,5065084.814,-55.762,33.505,0.000,94,95
L48,3826420.123,460544.534,5065054.149,4.632,-17.347,0.000,1,0
L49,3826422.415,460543.261,5065052.543,3.094,-20.009,0.000,3,2
L50,3826421.420,460527.915,5065054.677,-12.023,-16.470,0.000,5,4
L51,3826411.109,460518.953,5065063.227,-19.687,-2.292,0.000,7,6
L52,3826407.329,460517.791,5065066.169,-20.388,2.587,0.000,9,8
L53,3826398.634,460523.784,5065072.154,-13.398,12.510,0.000,11,10
L54,3826392.942,460535.346,5065075.382,-1.239,17.861,0.000,13,12
L55,3826390.824,460542.968,5065076.283,6.582,19.355,0.000,15,14
L56,3826398.362,460553.349,5065069.686,15.987,8.416,0.000,17,16
L57,3826403.616,460557.851,5065065.336,19.828,1.202,0.000,19,18
L58,3826411.485,460555.751,5065059.618,16.802,-8.278,0.000,21,20
L59,3826417.532,460558.510,5065054.830,18.818,-16.218,0.000,23,22
L60,3826424.682,460548.597,5065050.360,8.121,-23.630,0.000,25,24
L61,3826427.255,460536.006,5065049.566,-4.688,-24.945,0.000,27,26
L62,3826426.634,460529.848,5065050.589,-10.727,-23.249,0.000,29,28
L63,3826424.565,460521.986,5065052.852,-18.285,-19.495,0.000,31,30
L64,3826411.958,460514.911,5065062.955,-23.802,-2.743,0.000,33,32
L65,3826405.653,460514.058,5065067.765,-23.894,5.232,0.000,35,34
L66,3826394.829,460517.832,5065075.548,-18.853,18.138,0.000,37,36
L67,3826388.347,460529.903,5065079.322,-6.093,24.396,0.000,39,38
L68,3826386.085,460538.888,5065080.209,3.098,25.865,0.000,41,40
L69,3826388.919,460549.838,5065077.091,13.631,20.695,0.000,43,42
L70,3826396.349,460562.467,5065070.373,25.280,9.554,0.000,45,44
L71,3826410.339,460564.636,5065059.676,25.760,-8.183,0.000,47,46
L72,3826421.126,460566.977,5065051.367,26.794,-21.960,0.000,49,48
L73,3826427.833,460554.247,5065047.484,13.353,-28.399,0.000,51,50
L74,3826431.827,460540.295,5065045.747,-0.977,-31.278,0.000,53,52
L75,3826432.883,460532.358,5065045.671,-8.983,-31.403,0.000,55,54
L76,3826425.875,460516.145,5065052.397,-24.241,-20.250,0.000,57,56
L77,3826414.899,460505.186,5065061.626,-33.809,-4.946,0.000,59,58
L78,3826405.109,460504.534,5065069.034,-33.285,7.337,0.000,61,60
L79,3826399.118,460510.555,5065072.986,-26.590,13.891,0.000,63,62
L80,3826387.805,460515.192,5065081.059,-20.633,27.276,0.000,65,64
L81,3826380.492,460532.295,5065085.002,-2.778,33.814,0.000,67,66
L82,3826379.884,460541.235,5065084.651,6.170,33.231,0.000,69,68
L83,3826382.605,460556.580,5065081.221,21.079,27.543,0.000,71,70
L84,3826387.804,460561.268,5065076.896,25.112,20.370,0.000,73,72
L85,3826401.821,460571.163,5065065.480,33.259,1.440,0.000,75,74
L86,3826406.956,460568.824,5065061.837,30.323,-4.600,0.000,77,76
L87,3826408.341,460574.742,5065060.262,36.032,-7.212,0.000,79,78
L88,3826436.544,460555.673,5065040.816,13.727,-39.455,0.000,81,80
L89,3826438.617,460530.117,5065041.570,-11.894,-38.203,0.000,83,82
L90,3826433.820,460511.357,5065046.866,-29.945,-29.420,0.000,85,84
L91,3826423.404,460502.630,5065055.473,-37.364,-15.148,0.000,87,86
L92,3826387.330,460506.636,5065082.189,-29.071,29.150,0.000,89,88
L93,3826379.552,460527.237,5065086.166,-7.688,35.743,0.000,91,90
L94,3826373.772,460542.261,5065089.146,7.920,40.684,0.000,93,92
L95,3826395.016,460574.747,5065070.263,37.631,9.372,0.000,95,94
H0,3826456.875,460542.976,5065026.703,-1.311,-62.856,0.000,0,1
H1,3826460.426,460545.347,5065023.823,0.618,-67.631,0.000,2,3
H2,3826455.424,460536.049,5065028.418,-8.015,-60.011,0.000,4,5
H3,3826458.974,460538.419,5065025.539,-6.086,-64.786,0.000,6,7
H4,3826462.525,460540.790,5065022.659,-4.157,-69.561,0.000,8,9
H5,3826466.076,460543.161,5065019.779,-2.228,-74.336,0.000,10,11
H6,3826453.972,460529.120,5065030.135,-14.720,-57.165,0.000,12,13
H7,3826457.522,460531.492,5065027.255,-12.790,-61.940,0.000,14,15
H8,3826461.073,460533.863,5065024.375,-10.861,-66.715,0.000,16,17
H9,3826464.624,460536.234,5065021.496,-8.932,-71.490,0.000,18,19
H10,3826468.175,460538.604,5065018.616,-7.003,-76.265,0.000,20,21
H11,3826471.726,460540.976,5065015.736,-5.073,-81.040,0.000,22,23
H12,3826456.070,460524.564,5065028.971,-19.495,-59.094,0.000,24,25
H13,3826459.621,460526.935,5065026.091,-17.565,-63.869,0.000,26,27
H14,3826463.172,460529.306,5065023.212,-15.636,-68.644,0.000,28,29
H15,3826466.723,460531.677,5065020.332,-13.707,-73.419,0.000,30,31
H16,3826470.274,460534.048,5065017.453,-11.778,-78.194,0.000,32,33
H17,3826473.824,460536.419,5065014.573,-9.848,-82.969,0.000,34,35
H18,3826461.720,460522.379,5065024.928,-22.340,-65.798,0.000,36,37
H19,3826465.271,460524.749,5065022.048,-20.411,-70.573,0.000,38,39
H20,3826468.822,460527.120,5065019.169,-18.482,-75.348,0.000,40,41
H21,3826472.372,460529.491,5065016.289,-16.553,-80.123,0.000,42,43
H22,3826467.370,460520.193,5065020.884,-25.186,-72.503,0.000,44,45
H23,3826470.921,460522.564,5065018.005,-23.257,-77.278,0.000,46,47
H24,3826362.186,460497.939,5065101.848,-34.698,61.749,0.000,48,49
H25,3826365.737,460500.310,5065098.969,-32.769,56.974,0.000,50,51
H26,3826360.735,460491.012,5065103.564,-41.402,64.594,0.000,52,53
H27,3826364.286,460493.382,5065100.684,-39.473,59.819,0.000,54,55
H28,3826367.837,460495.753,5065097.805,-37.544,55.044,0.000,56,57
H29,3826371.388,460498.124,5065094.925,-35.615,50.269,0.000,58,59
H30,3826359.283,460484.083,5065105.280,-48.107,67.440,0.000,60,61
