NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3837941.343,449560.431,5057381.027,0.000,0.000,0.000,0,1
L1,3837939.324,449560.188,5057382.565,0.000,2.550,0.000,2,3
L2,3837940.005,449562.536,5057381.841,2.250,1.350,0.000,4,5
L3,3837942.143,449562.794,5057380.213,2.250,-1.350,0.000,6,7
L4,3837943.362,449560.674,5057379.489,0.000,-2.550,0.000,8,9
L5,3837942.681,449558.326,5057380.213,-2.250,-1.350,0.000,10,11
L6,3837940.543,449558.068,5057381.841,-2.250,1.350,0.000,12,13
L7,3837937.080,449563.014,5057383.994,3.074,4.919,0.000,14,15
L8,3837939.264,449565.736,5057382.108,5.516,1.792,0.000,16,17
L9,3837942.421,449565.978,5057379.717,5.378,-2.173,0.000,18,19
L10,3837945.073,449563.623,5057377.939,2.723,-5.121,0.000,20,21
L11,3837945.980,449559.775,5057377.606,-1.206,-5.673,0.000,22,23
L12,3837944.718,449556.235,5057378.873,-4.570,-3.571,0.000,24,25
L13,3837941.876,449554.657,5057381.149,-5.796,0.202,0.000,26,27
L14,3837938.785,449555.782,5057383.367,-4.310,3.881,0.000,28,29
L15,3837936.891,449559.082,5057384.491,-0.807,5.744,0.000,30,31
L16,3837934.025,449559.061,5057386.644,-0.485,9.314,0.000,32,33
L17,3837933.549,449562.687,5057386.673,3.172,9.362,0.000,34,35
L18,3837934.907,449567.322,5057385.236,7.611,6.978,0.000,36,37
L19,3837940.024,449570.443,5057381.112,10.098,0.140,0.000,38,39
L20,3837942.610,449570.346,5057379.180,9.692,-3.063,0.000,40,41
L21,3837945.794,449568.518,5057376.955,7.497,-6.752,0.000,42,43
L22,3837947.644,449564.829,5057375.900,3.613,-8.502,0.000,44,45
L23,3837948.506,449559.101,5057375.770,-2.177,-8.716,0.000,46,47
L24,3837947.907,449554.435,5057376.642,-6.738,-7.271,0.000,48,49
L25,3837945.439,449551.495,5057378.760,-9.362,-3.758,0.000,50,51
L26,3837942.309,449551.169,5057381.139,-9.311,0.186,0.000,52,53
L27,3837938.495,449552.340,5057383.896,-7.692,4.758,0.000,54,55
L28,3837935.474,449555.278,5057385.898,-4.414,8.077,0.000,56,57
L29,3837929.915,449559.701,5057389.671,0.642,14.333,0.000,58,59
L30,3837929.643,449563.507,5057389.531,4.453,14.101,0.000,60,61
L31,3837930.762,449566.215,5057388.446,7.008,12.302,0.000,62,63
