NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3824756.246,426178.523,5069289.608,0.000,0.000,0.000,0,1
L1,3824754.227,426178.280,5069291.146,0.000,2.550,0.000,2,3
L2,3824754.908,426180.628,5069290.422,2.250,1.350,0.000,4,5
L3,3824757.046,426180.886,5069288.794,2.250,-1.350,0.000,6,7
L4,3824758.265,426178.766,5069288.070,0.000,-2.550,0.000,8,9
L5,3824757.584,426176.418,5069288.794,-2.250,-1.350,0.000,10,11
L6,3824755.446,426176.160,5069290.422,-2.250,1.350,0.000,12,13
L7,3824753.609,426183.456,5069291.142,5.213,2.543,0.000,14,15
L8,3824756.684,426184.244,5069288.762,5.628,-1.403,0.000,16,17
L9,3824759.554,426182.355,5069286.778,3.409,-4.692,0.000,18,19
L10,3824760.877,426178.673,5069286.119,-0.405,-5.786,0.000,20,21
L11,3824760.032,426174.921,5069287.092,-4.029,-4.172,0.000,22,23
L12,3824757.416,426172.854,5069289.242,-5.768,-0.606,0.000,24,25
L13,3824754.253,426173.440,5069291.564,-4.808,3.243,0.000,26,27
L14,3824752.022,426176.404,5069292.970,-1.599,5.575,0.000,28,29
L15,3824751.767,426180.359,5069292.804,2.359,5.299,0.000,30,31
L16,3824749.246,426182.236,5069294.527,4.524,8.156,0.000,32,33
L17,3824750.375,426185.522,5069293.382,7.651,6.258,0.000,34,35
L18,3824753.539,426188.422,5069290.745,10.152,1.885,0.000,36,37
L19,3824759.357,426187.597,5069286.453,8.637,-5.232,0.000,38,39
L20,3824761.581,426185.810,5069284.945,6.596,-7.733,0.000,40,41
L21,3824763.595,426182.208,5069283.759,2.779,-9.699,0.000,42,43
L22,3824763.644,426177.963,5069284.105,-1.441,-9.124,0.000,44,45
L23,3824761.959,426172.700,5069285.846,-6.465,-6.238,0.000,46,47
L24,3824759.446,426169.271,5069288.042,-9.568,-2.596,0.000,48,49
L25,3824756.029,426168.494,5069290.678,-9.931,1.774,0.000,50,51
L26,3824753.146,426170.295,5069292.679,-7.798,5.092,0.000,52,53
L27,3824750.301,426173.776,5069294.499,-4.002,8.111,0.000,54,55
L28,3824748.905,426178.179,5069295.150,0.537,9.189,0.000,56,57
L29,3824745.916,426185.477,5069296.734,8.140,11.815,0.000,58,59
L30,3824747.299,426188.775,5069295.397,11.249,9.599,0.000,60,61
L31,3824749.434,426190.255,5069293.660,12.463,6.719,0.000,62,63
L32,3824755.660,426191.682,5069288.858,13.135,-1.244,0.000,64,65
L33,3824757.536,426193.415,5069287.294,14.631,-3.838,0.000,66,67
L34,3824762.485,426188.863,5069283.991,9.519,-9.315,0.000,68,69
L35,3824765.146,426184.862,5069282.354,5.229,-12.028,0.000,70,71
L36,3824768.090,426180.842,5069280.508,0.886,-15.089,0.000,72,73
L37,3824767.059,426177.823,5069281.555,-1.988,-13.353,0.000,74,75
L38,3824766.039,426173.332,5069282.726,-6.325,-11.411,0.000,76,77
L39,3824762.861,426167.797,5069285.612,-11.440,-6.625,0.000,78,79
L40,3824761.249,426165.985,5069286.986,-13.046,-4.347,0.000,80,81
L41,3824757.052,426165.293,5069290.199,-13.231,0.980,0.000,82,83
L42,3824753.985,426163.897,5069292.627,-14.251,5.007,0.000,84,85
