-12,563 -6,4541
-13,2726    1,7248
-15,7716    -4,2843
-16,5441    2,6833
16,1327 13,3407
14,8658 19,5829
24,2154 11,1422
24,3151 16,2172
-18,1951    -9,0296
-19,488 -15,9105
-22,2205    -20,5718
-25,7877    -12,6999
3,9041  3,3027
-1,742  4,2874
-1,8492 7,7026
2,5874  9,5549
-4,6887 9,8306
-9,4169 8,1234
-7,4369 16,5615
-12,0413    15,6859
11,9652 -17,4725
5,3126  -23,553
17,0299 -25,2735
5,6213  -29,3131
-6,5766 -11,3486
-10,6499    -12,1119
-5,3212 -15,4347
-6,1064 -19,432
20,2159 -4,1196
24,0473 -3,3066
21,9001 -13,0119
27,7509 -11,6494
-6,1353 20,2508
-0,5381 23,6962
-2,0644 33,4913
-7,9707 30,6729
7,2295  -0,3092
8,5838  5,2761
11,1514 -1,1307
12,7741 2,2046
-25,4153    1,1582
-21,919 10,6075
-30,4327    7,3724
-25,4774    16,6694
4,1875  -6,0873
8,0048  -7,3558
1,8647  -10,292
7,0078  -11,4109
9,5171  15,3411
16,3116 -12,2601
15,9091 25,1842
2,5736  22,1167
-3,8813 -24,733
23,4461 -21,0509
6,1953  28,7821
5,2944  6,4171
-28,9859    -4,7641
1,1021  -19,9556
-13,8232    -14,4549
30,8221 -2,3733
14,6243 -8,522
3,4117  -16,8711
-18,0552    8,7081
-6,0272 3,2357
11,7455 9,833
-6,6882 -3,6904
23,3064 2,4224
16,143  -0,3428
-11,4337    -20,7203
-12,3804    -26,0328
-1,3251 -4,4831
-20,7495    0,3273
11,4421 -5,989
1,7516  17,0416
14,6684 7,8526
9,3731  27,0843
-5,1258 -8,0249
11,074  -12,2475
-21,6107    -7,3594
-17,6306    17,8073
-13,1917    11,0418
10,3463 19,6016
-4,3174 14,2733
-4,6612 -0,6756
16,8346 -20,105
4,5075  -2,5428
30,8426 8,5102
21,9519 5,5739
-9,1166 4,6835
-19,0147    25,4343
-10,1559    -3,8501
-3,6391 -28,8376
-10,7883    21,9306
-1,5913 -7,9448
0,2678  -13,4125
3,1851  12,922
