NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826462.450,461501.626,5064935.567,0.000,0.000,0.000,0,1
L1,3826460.431,461501.383,5064937.105,0.000,2.550,0.000,2,3
L2,3826461.112,461503.731,5064936.381,2.250,1.350,0.000,4,5
L3,3826463.250,461503.989,5064934.753,2.250,-1.350,0.000,6,7
L4,3826464.469,461501.869,5064934.029,0.000,-2.550,0.000,8,9
L5,3826463.788,461499.521,5064934.753,-2.250,-1.350,0.000,10,11
L6,3826461.650,461499.263,5064936.381,-2.250,1.350,0.000,12,13
L7,3826457.805,461501.879,5064939.031,0.807,5.744,0.000,14,15
L8,3826458.861,461505.535,5064937.908,4.310,3.881,0.000,16,17
L9,3826461.597,461507.362,5064935.689,5.797,0.202,0.000,18,19
L10,3826464.731,461506.505,5064933.414,4.571,-3.571,0.000,20,21
L11,3826466.799,461503.365,5064932.146,1.206,-5.673,0.000,22,23
L12,3826466.831,461499.411,5064932.479,-2.723,-5.121,0.000,24,25
L13,3826464.814,461496.494,5064934.256,-5.378,-2.173,0.000,26,27
L14,3826461.691,461495.979,5064936.648,-5.516,1.792,0.000,28,29
L15,3826458.922,461498.105,5064938.533,-3.074,4.919,0.000,30,31
L16,3826456.374,461496.631,5064940.579,-4.232,8.311,0.000,32,33
L17,3826454.764,461499.783,5064941.503,-0.910,9.843,0.000,34,35
L18,3826454.457,461504.808,5064941.279,4.115,9.471,0.000,36,37
L19,3826458.000,461510.324,5064938.121,9.168,4.235,0.000,38,39
L20,3826460.336,461511.543,5064936.257,10.099,1.144,0.000,40,41
L21,3826463.773,461511.450,5064933.686,9.595,-3.120,0.000,42,43
L22,3826466.629,461508.937,5064931.770,6.759,-6.297,0.000,44,45
L23,3826469.271,461504.016,5064930.231,1.557,-8.848,0.000,46,47
L24,3826470.263,461499.346,5064929.908,-3.198,-9.383,0.000,48,49
L25,3826469.025,461495.343,5064931.200,-7.024,-7.241,0.000,50,51
L26,3826466.341,461493.451,5064933.385,-8.582,-3.617,0.000,52,53
L27,3826462.557,461492.612,5064936.301,-8.962,1.218,0.000,54,55
L28,3826458.903,461493.828,5064938.934,-7.318,5.584,0.000,56,57
L29,3826452.500,461495.146,5064943.621,-5.243,13.355,0.000,58,59
L30,3826451.013,461498.568,5064944.428,-1.668,14.693,0.000,60,61
L31,3826451.125,461501.671,5064944.064,1.399,14.089,0.000,62,63
L32,3826453.375,461508.970,5064941.715,8.377,10.194,0.000,64,65
L33,3826453.185,461511.956,5064941.588,11.364,9.983,0.000,66,67
L34,3826458.765,461514.322,5064937.185,13.046,2.683,0.000,68,69
L35,3826462.801,461514.658,5064934.125,12.896,-2.391,0.000,70,71
L36,3826466.996,461515.273,5064930.921,13.005,-7.704,0.000,72,73
L37,3826468.478,461512.382,5064930.070,9.958,-9.115,0.000,74,75
L38,3826470.948,461508.616,5064928.556,5.923,-11.625,0.000,76,77
L39,3826473.003,461501.986,5064927.613,-0.905,-13.189,0.000,78,79
L40,3826473.382,461499.224,5064927.579,-3.692,-13.246,0.000,80,81
L41,3826471.685,461494.468,5064929.282,-8.211,-10.421,0.000,82,83
L42,3826471.039,461490.453,5064930.130,-12.120,-9.015,0.000,84,85
L43,3826464.442,461487.629,5064935.337,-14.135,-0.381,0.000,86,87
L44,3826461.251,461487.928,5064937.705,-13.456,3.546,0.000,88,89
L45,3826456.946,461489.299,5064940.813,-11.580,8.699,0.000,90,91
L46,3826413.941,461528.547,5064969.546,32.530,56.340,0.000,92,93
L47,3826481.474,461560.666,5064915.951,56.340,-32.530,0.000,94,95
L48,3826453.505,461488.227,5064943.492,-12.233,13.142,0.000,1,0
L49,3826451.059,461488.040,5064945.345,-12.126,16.214,0.000,3,2
L50,3826446.119,461502.562,5064947.741,2.883,20.186,0.000,5,4
L51,3826451.578,461516.741,5064942.362,16.307,11.266,0.000,7,6
L52,3826454.381,461520.009,5064939.962,19.216,7.287,0.000,9,8
L53,3826464.099,461519.656,5064932.699,17.703,-4.756,0.000,11,10
L54,3826473.345,461512.486,5064926.408,9.479,-15.188,0.000,13,12
L55,3826478.040,461506.803,5064923.397,3.275,-20.180,0.000,15,14
L56,3826475.494,461492.959,5064926.559,-10.165,-14.936,0.000,17,16
L57,3826472.689,461485.794,5064929.313,-16.943,-10.370,0.000,19,18
L58,3826465.147,461483.095,5064935.217,-18.721,-0.579,0.000,21,20
L59,3826461.003,461477.047,5064938.875,-24.229,5.486,0.000,23,22
L60,3826451.130,461481.866,5064945.850,-18.264,17.052,0.000,25,24
L61,3826444.170,461491.798,5064950.177,-7.571,24.226,0.000,27,26
L62,3826442.377,461497.754,5064950.984,-1.443,25.564,0.000,29,28
L63,3826441.184,461506.107,5064951.125,6.993,25.797,0.000,31,30
L64,3826449.322,461519.915,5064943.768,19.728,13.597,0.000,33,32
L65,3826454.408,461524.381,5064939.547,23.554,6.598,0.000,35,34
L66,3826465.114,461527.290,5064931.247,25.161,-7.164,0.000,37,36
L67,3826475.231,461520.121,5064924.302,16.833,-18.680,0.000,39,38
L68,3826480.563,461513.283,5064920.917,9.407,-24.292,0.000,41,40
L69,3826482.267,461501.677,5064920.688,-2.320,-24.672,0.000,43,42
L70,3826480.663,461485.856,5064923.322,-17.835,-20.304,0.000,45,44
L71,3826469.487,461475.692,5064932.629,-26.590,-4.870,0.000,47,46
L72,3826461.119,461467.250,5064939.673,-33.970,6.810,0.000,49,48
L73,3826450.558,461474.891,5064946.910,-25.120,18.810,0.000,51,50
L74,3826441.865,461485.226,5064952.501,-13.820,28.080,0.000,53,52
L75,3826437.969,461491.817,5064954.829,-6.810,31.940,0.000,55,54
L76,3826437.854,461510.649,5064953.213,11.900,29.260,0.000,57,56
L77,3826443.128,461527.027,5064947.774,27.530,20.240,0.000,59,58
L78,3826451.277,461533.347,5064941.086,32.830,9.150,0.000,61,60
L79,3826458.688,461531.390,5064935.701,30.000,0.220,0.000,63,62
L80,3826470.144,461533.797,5064926.884,31.020,-14.400,0.000,65,64
L81,3826482.868,461522.549,5064918.350,18.330,-28.550,0.000,67,66
