NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3829261.821,469161.961,5062137.050,0.000,0.000,0.000,0,1
L1,3829259.802,469161.718,5062138.588,0.000,2.550,0.000,2,3
L2,3829260.483,469164.066,5062137.864,2.250,1.350,0.000,4,5
L3,3829262.621,469164.324,5062136.236,2.250,-1.350,0.000,6,7
L4,3829263.840,469162.204,5062135.512,0.000,-2.550,0.000,8,9
L5,3829263.159,469159.856,5062136.236,-2.250,-1.350,0.000,10,11
L6,3829261.021,469159.598,5062137.864,-2.250,1.350,0.000,12,13
L7,3829265.900,469164.451,5062133.763,1.984,-5.450,0.000,14,15
L8,3829266.374,469160.511,5062133.763,-1.984,-5.450,0.000,16,17
L9,3829264.718,469157.251,5062135.301,-5.023,-2.900,0.000,18,19
L10,3829261.707,469156.194,5062137.657,-5.712,1.007,0.000,20,21
L11,3829258.748,469157.836,5062139.729,-3.728,4.443,0.000,22,23
L12,3829257.228,469161.408,5062140.548,0.000,5.800,0.000,24,25
L13,3829257.856,469165.238,5062139.730,3.728,4.443,0.000,26,27
L14,3829260.340,469167.536,5062137.657,5.712,1.007,0.000,28,29
L15,3829263.517,469167.225,5062135.301,5.023,-2.900,0.000,30,31
L16,3829265.146,469170.055,5062133.823,7.638,-5.352,0.000,32,33
L17,3829267.716,469168.135,5062132.067,5.424,-8.263,0.000,34,35
L18,3829269.876,469163.750,5062130.842,0.813,-10.294,0.000,36,37
L19,3829268.921,469156.665,5062132.199,-6.107,-8.043,0.000,38,39
L20,3829267.379,469154.190,5062133.581,-8.380,-5.752,0.000,40,41
L21,3829264.395,469152.263,5062135.994,-9.936,-1.750,0.000,42,43
L22,3829260.998,469152.873,5062138.489,-8.924,2.387,0.000,44,45
L23,3829256.874,469155.797,5062141.320,-5.528,7.081,0.000,46,47
L24,3829254.260,469159.458,5062142.952,-1.581,9.786,0.000,48,49
L25,3829253.811,469163.818,5062142.895,2.802,9.691,0.000,50,51
L26,3829255.398,469167.109,5062141.406,5.879,7.223,0.000,52,53
L27,3829258.325,469170.086,5062138.940,8.485,3.133,0.000,54,55
L28,3829261.919,469171.121,5062136.149,9.083,-1.495,0.000,56,57
L29,3829267.906,469173.672,5062131.424,10.899,-9.330,0.000,58,59
L30,3829270.474,469171.434,5062129.699,8.370,-12.190,0.000,60,61
L31,3829271.550,469168.552,5062129.152,5.380,-13.097,0.000,62,63
L32,3829272.376,469160.603,5062129.250,-2.611,-12.933,0.000,64,65
L33,3829273.667,469158.003,5062128.516,-5.347,-14.150,0.000,66,67
L34,3829269.774,469152.586,5062131.928,-10.259,-8.493,0.000,68,69
L35,3829266.440,469149.918,5062134.672,-12.509,-3.943,0.000,70,71
L36,3829263.075,469146.904,5062137.470,-15.099,0.697,0.000,72,73
L37,3829260.713,469148.661,5062139.084,-13.072,3.373,0.000,74,75
L38,3829257.173,469150.637,5062141.562,-10.687,7.483,0.000,76,77
L39,3829252.907,469155.455,5062144.329,-5.393,12.070,0.000,78,79
L40,3829251.540,469157.742,5062145.149,-2.959,13.429,0.000,80,81
L41,3829251.199,469163.056,5062144.924,2.358,13.056,0.000,82,83
L42,3829250.237,469167.081,5062145.282,6.469,13.650,0.000,84,85
L43,3829254.828,469173.509,5062141.255,12.302,6.972,0.000,86,87
