NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,2136833.225,810088.740,5935285.279,-0.000,-0.000,0.000,0,1
L1,2136832.313,810091.120,5935285.283,2.481,0.583,0.000,2,3
L2,2136830.780,810089.246,5935286.085,0.798,2.499,0.000,4,5
L3,2136831.746,810086.726,5935286.081,-1.830,1.881,0.000,6,7
L4,2136834.138,810086.358,5935285.276,-2.483,-0.584,0.000,8,9
L5,2136835.671,810088.232,5935284.474,-0.800,-2.500,0.000,10,11
L6,2136834.705,810090.754,5935284.477,1.829,-1.882,0.000,12,13
L7,2136832.683,810083.046,5935286.245,-5.609,1.479,0.000,14,15
L8,2136836.307,810083.846,5935284.841,-5.247,-2.473,0.000,16,17
L9,2136838.490,810086.934,5935283.641,-2.432,-5.268,0.000,18,19
L10,2136838.208,810090.869,5935283.209,1.523,-5.597,0.000,20,21
L11,2136835.595,810093.806,5935283.745,4.763,-3.308,0.000,22,23
L12,2136831.874,810094.373,5935284.999,5.775,0.529,0.000,24,25
L13,2136828.784,810092.304,5935286.384,4.085,4.118,0.000,26,27
L14,2136827.774,810088.567,5935287.252,0.482,5.779,0.000,28,29
L15,2136829.313,810084.910,5935287.197,-3.347,4.738,0.000,30,31
L16,2136827.496,810082.000,5935288.242,-6.028,7.119,0.000,32,33
L17,2136830.196,810079.620,5935287.599,-8.725,4.649,0.000,34,35
L18,2136834.881,810078.577,5935286.065,-10.326,-0.128,0.000,36,37
L19,2136840.678,810082.158,5935283.506,-7.454,-6.816,0.000,38,39
L20,2136842.220,810084.841,5935282.591,-4.966,-8.870,-0.000,40,41
L21,2136842.709,810089.042,5935281.847,-0.838,-10.055,-0.000,42,43
L22,2136840.820,810092.856,5935282.005,3.190,-8.670,-0.000,44,45
L23,2136836.624,810096.732,5935282.980,7.556,-4.860,-0.000,46,47
L24,2136832.390,810098.564,5935284.246,9.890,-0.684,0.000,48,49
L25,2136828.407,810097.589,5935285.802,9.396,3.674,0.000,50,51
L26,2136826.172,810094.571,5935287.011,6.657,6.514,0.000,52,53
L27,2136824.745,810090.073,5935288.131,2.346,8.735,0.001,54,55
L28,2136825.278,810085.457,5935288.566,-2.318,8.909,0.001,56,57
L29,2136825.444,810077.480,5935289.588,-10.287,10.004,0.001,58,59
L30,2136828.421,810075.211,5935288.832,-12.904,7.225,0.000,60,61
L31,2136831.364,810074.934,5935287.817,-13.534,4.164,0.000,62,63
L32,2136838.625,810076.703,5935284.980,-12.643,-3.780,0.000,64,65
L33,2136841.406,810076.073,5935284.071,-13.605,-6.614,-0.000,66,67
L34,2136844.576,810082.556,5935282.059,-7.525,-10.993,-0.000,68,69
L35,2136845.569,810087.431,5935281.043,-2.787,-12.817,-0.000,70,71
L36,2136846.854,810092.459,5935279.901,2.069,-14.974,-0.000,72,73
L37,2136844.379,810094.649,5935280.489,4.550,-12.711,-0.000,74,75
L38,2136841.244,810098.162,5935281.134,8.426,-9.963,-0.000,76,77
L39,2136835.339,810101.550,5935282.786,12.511,-4.272,0.000,78,79
L40,2136832.799,810102.379,5935283.582,13.642,-1.723,0.000,80,81
L41,2136828.030,810100.946,5935285.482,12.787,3.538,0.000,82,83
L42,2136824.136,810100.694,5935286.909,13.004,7.686,0.000,84,85
L43,2136820.365,810093.032,5935289.296,5.821,12.886,0.001,86,87
L44,2136820.109,810089.105,5935289.920,1.938,13.781,0.001,88,89
L45,2136820.680,810083.676,5935290.452,-3.540,14.045,0.001,90,91
L46,2136830.755,810101.266,5935284.464,12.779,0.611,0.000,92,93
L47,2136827.708,810078.052,5935288.701,-9.988,7.525,0.000,94,95
H0,2136799.803,810023.941,5935308.107,-13.251,22.953,-0.003,0,1
H1,2136801.609,810028.590,5935306.831,-8.836,20.306,-0.002,2,3
H2,2136803.417,810033.240,5935305.554,-4.419,17.658,-0.002,4,5
H3,2136805.223,810037.888,5935304.278,-0.004,15.011,-0.002,6,7
H4,2136808.838,810047.186,5935301.725,8.827,9.715,-0.001,8,9
H5,2136810.645,810051.834,5935300.448,13.242,7.067,-0.001,10,11
H6,2136814.260,810061.132,5935297.895,22.073,1.772,-0.001,12,13
H7,2136816.066,810065.780,5935296.619,26.488,-0.875,-0.001,14,15
H8,2136804.306,810021.828,5935306.783,-15.898,18.537,-0.002,16,17
H9,2136806.113,810026.476,5935305.507,-11.483,15.890,-0.002,18,19
H10,2136807.921,810031.125,5935304.231,-7.067,13.242,-0.001,20,21
H11,2136809.727,810035.774,5935302.954,-2.652,10.595,-0.001,22,23
H12,2136813.342,810045.071,5935300.401,6.179,5.300,-0.001,24,25
H13,2136815.149,810049.721,5935299.125,10.595,2.652,-0.001,26,27
H14,2136818.763,810059.018,5935296.572,19.426,-2.643,-0.000,28,29
H15,2136820.570,810063.667,5935295.295,23.841,-5.290,-0.000,30,31
H16,2136808.810,810019.713,5935305.460,-18.546,14.122,-0.001,32,33
H17,2136810.617,810024.361,5935304.183,-14.131,11.475,-0.001,34,35
H18,2136812.424,810029.011,5935302.907,-9.714,8.827,-0.001,36,37
H19,2136814.231,810033.660,5935301.630,-5.299,6.180,-0.001,38,39
H20,2136817.845,810042.957,5935299.077,3.532,0.885,-0.000,40,41
H21,2136819.652,810047.606,5935297.801,7.947,-1.763,-0.000,42,43
H22,2136823.267,810056.903,5935295.248,16.778,-7.059,0.000,44,45
H23,2136825.073,810061.552,5935293.971,21.193,-9.706,0.001,46,47
H24,2136813.314,810017.599,5935304.136,-21.193,9.707,-0.001,48,49
H25,2136815.120,810022.248,5935302.860,-16.778,7.060,-0.001,50,51
H26,2136816.928,810026.897,5935301.583,-12.363,4.412,-0.000,52,53
H27,2136818.734,810031.545,5935300.307,-7.947,1.764,-0.000,54,55
H28,2136822.349,810040.842,5935297.754,0.883,-3.531,0.000,56,57
H29,2136824.156,810045.492,5935296.477,5.300,-6.179,0.001,58,59
H30,2136827.770,810054.789,5935293.924,14.131,-11.474,0.001,60,61
H31,2136829.577,810059.438,5935292.648,18.546,-14.121,0.001,62,63
H32,2136817.817,810015.485,5935302.812,-23.841,5.291,-0.000,64,65
H33,2136819.624,810020.133,5935301.536,-19.426,2.644,0.000,66,67
H34,2136821.431,810024.783,5935300.259,-15.010,-0.004,0.000,68,69
H35,2136823.238,810029.431,5935298.983,-10.594,-2.651,0.001,70,71
H36,2136826.853,810038.729,5935296.429,-1.763,-7.947,0.001,72,73
H37,2136828.660,810043.377,5935295.153,2.652,-10.594,0.001,74,75
H38,2136832.274,810052.675,5935292.600,11.483,-15.889,0.002,76,77
H39,2136834.082,810057.324,5935291.323,15.898,-18.537,0.002,78,79
H40,2136822.321,810013.371,5935301.488,-26.488,0.876,0.000,80,81
H41,2136824.128,810018.020,5935300.212,-22.073,-1.772,0.001,82,83
H42,2136825.935,810022.668,5935298.935,-17.658,-4.419,0.001,84,85
H43,2136827.743,810027.317,5935297.659,-13.242,-7.067,0.001,86,87
H44,2136831.357,810036.614,5935295.106,-4.412,-12.362,0.002,88,89
H45,2136833.163,810041.264,5935293.829,0.005,-15.009,0.002,90,91
H46,2136836.777,810050.561,5935291.276,8.835,-20.305,0.002,92,93
H47,2136838.585,810055.210,5935290.000,13.251,-22.953,0.002,94,95
CLBA,2136833.225,810088.740,5935285.279,-0.000,-0.000,0.000,-1,-1
CHBA,2136819.1940,810039.5757,5935299.0536,0.0,0.0,0.0,-1,-1
