NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3811596.257,453444.359,5076770.170,0.000,0.000,0.000,0,1
L1,3811594.238,453444.116,5076771.708,0.000,2.550,0.000,2,3
L2,3811594.919,453446.464,5076770.984,2.250,1.350,0.000,4,5
L3,3811597.057,453446.722,5076769.356,2.250,-1.350,0.000,6,7
L4,3811598.276,453444.602,5076768.632,0.000,-2.550,0.000,8,9
L5,3811597.595,453442.254,5076769.356,-2.250,-1.350,0.000,10,11
L6,3811595.457,453441.996,5076770.984,-2.250,1.350,0.000,12,13
L7,3811592.292,453447.636,5076772.850,3.728,4.443,0.000,14,15
L8,3811594.776,453449.934,5076770.777,5.712,1.007,0.000,16,17
L9,3811597.953,453449.623,5076768.421,5.023,-2.900,0.000,18,19
L10,3811600.336,453446.849,5076766.883,1.984,-5.450,0.000,20,21
L11,3811600.810,453442.909,5076766.883,-1.984,-5.450,0.000,22,23
L12,3811599.154,453439.649,5076768.421,-5.023,-2.900,0.000,24,25
L13,3811596.143,453438.592,5076770.777,-5.712,1.007,0.000,26,27
L14,3811593.184,453440.234,5076772.849,-3.728,4.443,0.000,28,29
L15,3811591.664,453443.806,5076773.668,0.000,5.800,0.000,30,31
L16,3811588.801,453444.283,5076775.773,0.816,9.291,0.000,32,33
L17,3811588.733,453447.929,5076775.495,4.444,8.829,0.000,34,35
L18,3811590.606,453452.248,5076773.699,8.508,5.851,0.000,36,37
L19,3811596.062,453454.427,5076769.406,10.019,-1.267,0.000,38,39
L20,3811598.631,453453.882,5076767.528,9.171,-4.382,0.000,40,41
L21,3811601.603,453451.534,5076765.508,6.484,-7.730,0.000,42,43
L22,3811603.036,453447.588,5076764.789,2.395,-8.922,0.000,44,45
L23,3811603.255,453441.810,5076765.147,-3.368,-8.328,0.000,46,47
L24,3811602.136,453437.327,5076766.393,-7.685,-6.263,0.000,48,49
L25,3811599.344,453434.866,5076768.711,-9.794,-2.419,0.000,50,51
L26,3811596.185,453435.089,5076771.062,-9.195,1.480,0.000,52,53
L27,3811592.510,453436.902,5076773.657,-6.955,5.782,0.000,54,55
L28,3811589.824,453440.313,5076775.364,-3.247,8.613,0.000,56,57
L29,3811584.773,453445.625,5076778.676,2.631,14.104,0.000,58,59
L30,3811584.927,453449.412,5076778.218,6.372,13.344,0.000,60,61
L31,3811586.347,453451.880,5076776.929,8.652,11.207,0.000,62,63
L32,3811591.430,453456.374,5076772.707,12.506,4.206,0.000,64,65
L33,3811592.536,453458.946,5076771.644,14.927,2.444,0.000,66,67
L34,3811598.437,453457.197,5076767.373,12.485,-4.638,0.000,68,69
L35,3811602.119,453454.804,5076764.826,9.669,-8.862,0.000,70,71
L36,3811606.058,453452.536,5076762.074,6.946,-13.425,0.000,72,73
L37,3811606.126,453449.189,5076762.326,3.615,-13.007,0.000,74,75
L38,3811606.686,453444.470,5076762.332,-1.137,-12.997,0.000,76,77
L39,3811605.663,453437.679,5076763.713,-7.757,-10.706,0.000,78,79
L40,3811604.818,453435.167,5076764.575,-10.150,-9.277,0.000,80,81
L41,3811601.303,453432.391,5076767.464,-12.486,-4.486,0.000,82,83
L42,3811599.026,453429.529,5076769.432,-15.055,-1.223,0.000,84,85
L43,3811592.038,453431.574,5076774.492,-12.189,7.168,0.000,86,87
L44,3811589.368,453433.927,5076776.284,-9.533,10.138,0.000,88,89
L45,3811586.179,453437.896,5076778.319,-5.211,13.513,0.000,90,91
L46,3811552.824,453456.428,5076801.681,17.178,52.249,0.000,92,93
