NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826654.593,460939.252,5064842.166,-92.000,-83.500,0.000,0,1
L1,3826652.573,460939.008,5064843.704,-92.000,-80.950,0.000,2,3
L2,3826653.255,460941.357,5064842.980,-89.750,-82.150,0.000,4,5
L3,3826655.393,460941.614,5064841.352,-89.750,-84.850,0.000,6,7
L4,3826656.612,460939.495,5064840.628,-92.000,-86.050,0.000,8,9
L5,3826655.931,460937.147,5064841.352,-94.250,-84.850,0.000,10,11
L6,3826653.793,460936.889,5064842.980,-94.250,-82.150,0.000,12,13
L7,3826653.112,460944.827,5064842.773,-86.288,-82.493,0.000,14,15
L8,3826656.289,460944.515,5064840.417,-86.977,-86.400,0.000,16,17
L9,3826658.672,460941.742,5064838.879,-90.016,-88.950,0.000,18,19
L10,3826659.146,460937.802,5064838.879,-93.984,-88.950,0.000,20,21
L11,3826657.490,460934.542,5064840.417,-97.023,-86.400,0.000,22,23
L12,3826654.479,460933.485,5064842.773,-97.712,-82.493,0.000,24,25
L13,3826651.520,460935.127,5064844.845,-95.728,-79.057,0.000,26,27
L14,3826650.000,460938.698,5064845.664,-92.000,-77.700,0.000,28,29
L15,3826650.628,460942.529,5064844.846,-88.272,-79.057,0.000,30,31
L16,3826648.583,460945.172,5064846.142,-85.403,-76.907,0.000,32,33
L17,3826650.413,460947.894,5064844.522,-82.920,-79.593,0.000,34,35
L18,3826654.145,460949.550,5064841.571,-81.722,-84.487,0.000,36,37
L19,3826659.642,460946.771,5064837.697,-85.139,-90.911,0.000,38,39
L20,3826661.417,460944.313,5064836.586,-87.791,-92.752,0.000,40,41
L21,3826662.583,460940.212,5064836.081,-92.002,-93.589,0.000,42,43
L22,3826661.691,460936.179,5064837.116,-95.900,-91.874,0.000,44,45
L23,3826658.880,460931.777,5064839.624,-99.934,-87.715,0.000,46,47
L24,3826655.666,460929.397,5064842.251,-101.912,-83.358,0.000,48,49
L25,3826652.158,460929.836,5064844.844,-101.057,-79.058,0.000,50,51
L26,3826649.743,460932.531,5064846.414,-98.092,-76.456,0.000,52,53
L27,3826647.737,460936.802,5064847.533,-93.612,-74.600,0.000,54,55
L28,3826647.350,460941.450,5064847.404,-88.951,-74.815,0.000,56,57
L29,3826646.051,460949.384,5064847.662,-80.919,-74.387,0.000,58,59
L30,3826648.132,460952.030,5064845.861,-78.541,-77.374,0.000,60,61
L31,3826650.544,460952.696,5064843.990,-78.168,-80.476,0.000,62,63
L32,3826656.939,460951.906,5064839.261,-79.717,-88.317,0.000,64,65
L33,3826659.154,460952.901,5064837.509,-78.994,-91.223,0.000,66,67
L34,3826662.975,460946.892,5064835.184,-85.417,-95.078,0.000,68,69
L35,3826664.686,460942.191,5064834.324,-90.289,-96.503,0.000,70,71
L36,3826666.669,460937.375,5064833.271,-95.308,-98.249,0.000,72,73
L37,3826664.993,460934.873,5064834.755,-97.591,-95.788,0.000,74,75
L38,3826663.002,460930.973,5064836.602,-101.225,-92.725,0.000,76,77
L39,3826658.673,460926.828,5064840.227,-104.823,-86.715,0.000,78,79
L40,3826656.697,460925.667,5064841.814,-105.739,-84.082,0.000,80,81
L41,3826652.447,460926.455,5064844.933,-104.448,-78.911,0.000,82,83
L42,3826649.144,460926.187,5064847.437,-104.319,-74.759,0.000,84,85
L43,3826644.605,460933.284,5064850.202,-96.730,-70.174,0.000,86,87
L44,3826643.684,460937.146,5064850.544,-92.786,-69.607,0.000,88,89
L45,3826643.181,460942.606,5064850.429,-87.305,-69.799,0.000,90,91
L46,3826665.235,460885.432,5064839.043,-146.706,-88.676,0.000,92,93
L47,3826611.842,460928.938,5064875.188,-97.126,-28.744,0.000,94,95
L48,3826641.120,460946.410,5064851.632,-83.282,-67.804,0.000,1,0
L49,3826640.096,460949.262,5064852.143,-80.327,-66.957,0.000,3,2
L50,3826649.422,460958.863,5064844.275,-71.911,-80.004,0.000,5,4
L51,3826662.234,460956.040,5064834.913,-76.246,-95.527,0.000,7,6
L52,3826665.743,460953.556,5064832.503,-79.132,-99.523,0.000,9,8
L53,3826668.977,460941.940,5064831.126,-91.052,-101.806,0.000,11,10
L54,3826666.827,460929.127,5064833.898,-103.516,-97.209,0.000,13,12
L55,3826664.173,460922.095,5064836.526,-110.180,-92.851,0.000,15,14
L56,3826652.666,460921.548,5064845.212,-109.346,-78.448,0.000,17,16
L57,3826646.175,460923.030,5064849.951,-107.098,-70.591,0.000,19,18
L58,3826641.392,460931.279,5064852.796,-98.336,-65.874,0.000,21,20
L59,3826635.273,460934.638,5064857.085,-94.270,-58.762,0.000,23,22
L60,3826635.399,460947.590,5064855.819,-81.426,-60.861,0.000,25,24
L61,3826640.486,460958.403,5064851.024,-71.299,-68.813,0.000,27,26
L62,3826644.396,460962.062,5064847.758,-68.134,-74.228,0.000,29,28
L63,3826650.354,460965.629,5064842.963,-65.305,-82.179,0.000,31,30
L64,3826663.849,460959.533,5064833.385,-72.972,-98.061,0.000,33,32
L65,3826669.098,460954.651,5064829.886,-78.446,-103.862,0.000,35,34
