NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826667.465,461285.525,5064801.332,0.000,0.000,0.000,0,1
L1,3826665.446,461285.282,5064802.870,0.000,2.550,0.000,2,3
L2,3826666.127,461287.630,5064802.146,2.250,1.350,0.000,4,5
L3,3826668.265,461287.888,5064800.518,2.250,-1.350,0.000,6,7
L4,3826669.484,461285.768,5064799.794,0.000,-2.550,0.000,8,9
L5,3826668.803,461283.420,5064800.518,-2.250,-1.350,0.000,10,11
L6,3826666.665,461283.162,5064802.146,-2.250,1.350,0.000,12,13
L7,3826669.746,461290.404,5064799.179,4.571,-3.571,0.000,14,15
L8,3826671.814,461287.264,5064797.911,1.206,-5.673,0.000,16,17
L9,3826671.846,461283.310,5064798.244,-2.723,-5.121,0.000,18,19
L10,3826669.829,461280.393,5064800.021,-5.378,-2.173,0.000,20,21
L11,3826666.706,461279.878,5064802.413,-5.516,1.792,0.000,22,23
L12,3826663.937,461282.004,5064804.298,-3.074,4.919,0.000,24,25
L13,3826662.820,461285.778,5064804.796,0.807,5.744,0.000,26,27
L14,3826663.876,461289.434,5064803.673,4.310,3.881,0.000,28,29
L15,3826666.612,461291.260,5064801.454,5.796,0.202,0.000,30,31
L16,3826666.740,461294.819,5064801.036,9.314,-0.491,0.000,32,33
L17,3826669.664,461294.834,5064798.840,8.979,-4.133,0.000,34,35
L18,3826673.303,461292.417,5064796.327,6.144,-8.299,0.000,36,37
L19,3826675.539,461285.575,5064795.267,-0.916,-10.057,0.000,38,39
L20,3826675.330,461282.384,5064795.712,-4.059,-9.318,0.000,40,41
L21,3826673.708,461278.724,5064797.261,-7.499,-6.750,0.000,42,43
L22,3826670.664,461277.014,5064799.700,-8.833,-2.705,0.000,44,45
L23,3826666.038,461276.851,5064803.187,-8.441,3.076,0.000,46,47
L24,3826662.337,461278.333,5064805.831,-6.527,7.461,0.000,48,49
L25,3826660.111,461281.860,5064807.184,-2.759,9.703,0.000,50,51
L26,3826660.008,461285.793,5064806.905,1.158,9.241,0.000,52,53
L27,3826661.138,461290.339,5064805.646,5.536,7.153,0.000,54,55
L28,3826663.641,461293.620,5064803.471,8.494,3.546,0.000,56,57
L29,3826667.461,461299.814,5064800.044,14.187,-2.137,0.000,58,59
L30,3826670.518,461299.549,5064797.773,13.558,-5.902,0.000,60,61
L31,3826672.628,461297.732,5064796.353,11.502,-8.256,0.000,62,63
L32,3826676.692,461291.310,5064793.884,4.640,-12.351,0.000,64,65
L33,3826678.858,461289.883,5064792.387,2.964,-14.833,0.000,66,67
L34,3826677.977,461282.562,5064793.710,-4.199,-12.639,0.000,68,69
L35,3826676.381,461278.019,5064795.318,-8.519,-9.972,0.000,70,71
L36,3826674.910,461273.153,5064796.862,-13.174,-7.411,0.000,72,73
L37,3826672.225,461273.132,5064798.879,-12.873,-4.067,0.000,74,75
L38,3826668.482,461272.524,5064801.743,-13.029,0.683,0.000,76,77
L39,3826662.934,461273.930,5064805.781,-10.970,7.378,0.000,78,79
L40,3826660.839,461275.031,5064807.254,-9.626,9.820,0.000,80,81
L41,3826658.295,461279.466,5064808.763,-4.919,12.322,0.000,82,83
L42,3826655.791,461282.359,5064810.381,-1.747,15.004,0.000,84,85
L43,3826656.814,461291.028,5064808.830,6.738,12.432,0.000,86,87
L44,3826658.468,461294.311,5064807.291,9.799,9.881,0.000,88,89
L45,3826661.374,461298.210,5064804.757,13.323,5.679,0.000,90,91
L46,3826626.738,461247.856,5064835.307,-32.527,56.338,0.000,92,93
L47,3826634.967,461338.355,5064820.950,56.338,32.527,0.000,94,95
L48,3826662.186,461302.514,5064803.759,17.498,4.023,0.000,1,0
L49,3826663.165,461305.257,5064802.776,20.105,2.394,0.000,3,2
L50,3826675.517,461302.651,5064793.740,16.040,-12.590,0.000,5,4
L51,3826682.918,461289.002,5064789.418,1.604,-19.755,0.000,7,6
L52,3826683.924,461284.187,5064789.098,-3.297,-20.285,0.000,9,8
L53,3826679.275,461273.884,5064793.519,-12.970,-12.954,0.000,11,10
L54,3826670.092,461267.819,5064800.961,-17.893,-0.615,0.000,13,12
L55,3826664.006,461265.856,5064805.706,-19.114,7.254,0.000,15,14
L56,3826655.518,461276.176,5064811.144,-7.853,16.271,0.000,17,16
L57,3826651.799,461283.124,5064813.308,-0.510,19.858,0.000,19,18
L58,3826653.336,461292.747,5064811.285,8.860,16.503,0.000,21,20
L59,3826651.003,461300.529,5064812.333,16.865,18.240,0.000,23,22
L60,3826658.833,461308.557,5064805.730,23.899,7.291,0.000,25,24
L61,3826668.903,461310.643,5064797.982,24.766,-5.556,0.000,27,26
L62,3826673.864,461309.321,5064794.378,22.860,-11.532,0.000,29,28
L63,3826680.222,461306.043,5064789.902,18.845,-18.954,0.000,31,30
L64,3826686.151,461289.701,5064786.928,1.911,-23.884,0.000,33,32
L65,3826686.957,461281.767,5064787.041,-6.063,-23.697,0.000,35,34
L66,3826684.132,461268.612,5064790.351,-18.785,-18.208,0.000,37,36
L67,3826674.554,461261.608,5064798.172,-24.593,-5.238,0.000,39,38
L68,3826667.376,461259.587,5064803.743,-25.741,3.999,0.000,41,40
L69,3826658.521,461264.094,5064809.982,-20.207,14.345,0.000,43,42
L70,3826648.229,461274.479,5064816.769,-8.666,25.598,0.000,45,44
L71,3826646.217,461292.108,5064816.686,9.077,25.459,0.000,47,46
L72,3826644.129,461305.761,5064817.019,22.882,26.011,0.000,49,48
L73,3826654.231,461312.987,5064808.783,28.848,12.354,0.000,51,50
L74,3826665.368,461316.723,5064800.086,31.225,-2.068,0.000,53,52
L75,3826671.727,461317.333,5064795.258,31.070,-10.073,0.000,55,54
L76,3826684.892,461307.157,5064786.296,19.392,-24.933,0.000,57,56
L77,3826693.911,461292.502,5064780.851,3.763,-33.961,0.000,59,58
L78,3826694.622,461280.242,5064781.425,-8.494,-33.008,0.000,61,60
L79,3826689.898,461273.311,5064785.598,-14.810,-26.089,0.000,63,62
L80,3826686.388,461259.624,5064789.469,-27.979,-19.669,0.000,65,64
L81,3826672.782,461252.030,5064800.368,-33.891,-1.596,0.000,67,66
L82,3826665.609,461252.068,5064805.749,-32.995,7.326,0.000,69,68
