NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826766.502,460100.064,5064836.210,0.000,0.000,0.000,0,1
L1,3826764.483,460099.821,5064837.748,0.000,2.550,0.000,2,3
L2,3826765.164,460102.169,5064837.024,2.250,1.350,0.000,4,5
L3,3826767.302,460102.427,5064835.396,2.250,-1.350,0.000,6,7
L4,3826768.521,460100.307,5064834.672,0.000,-2.550,0.000,8,9
L5,3826767.840,460097.959,5064835.396,-2.250,-1.350,0.000,10,11
L6,3826765.702,460097.701,5064837.024,-2.250,1.350,0.000,12,13
L7,3826761.896,460101.120,5064839.572,1.599,5.575,0.000,14,15
L8,3826763.359,460104.528,5064838.166,4.808,3.243,0.000,16,17
L9,3826766.292,460105.848,5064835.845,5.768,-0.606,0.000,18,19
L10,3826769.324,460104.462,5064833.694,4.029,-4.172,0.000,20,21
L11,3826771.036,460101.018,5064832.721,0.405,-5.786,0.000,22,23
L12,3826770.626,460097.127,5064833.380,-3.409,-4.692,0.000,24,25
L13,3826768.286,460094.610,5064835.364,-5.628,-1.403,0.000,26,27
L14,3826765.112,460094.646,5064837.743,-5.213,2.543,0.000,28,29
L15,3826762.588,460097.216,5064839.406,-2.359,5.299,0.000,30,31
L16,3826759.881,460096.210,5064841.528,-3.034,8.819,0.000,32,33
L17,3826758.626,460099.587,5064842.165,0.469,9.874,0.000,34,35
L18,3826758.883,460104.578,5064841.521,5.393,8.806,0.000,36,37
L19,3826763.035,460109.384,5064837.970,9.668,2.918,0.000,38,39
L20,3826765.503,460110.177,5064836.046,10.160,-0.273,0.000,40,41
L21,3826768.922,460109.488,5064833.542,9.067,-4.425,0.000,42,43
L22,3826771.490,460106.523,5064831.883,5.816,-7.176,0.000,44,45
L23,3826773.575,460101.228,5064830.796,0.310,-8.978,0.000,46,47
L24,3826774.043,460096.467,5064830.874,-4.473,-8.847,0.000,48,49
L25,3826772.359,460092.749,5064832.475,-7.963,-6.193,0.000,50,51
L26,3826769.470,460091.354,5064834.770,-9.002,-2.388,0.000,52,53
L27,3826765.601,460091.186,5064837.689,-8.706,2.453,0.000,54,55
L28,3826762.090,460093.017,5064840.159,-6.469,6.548,0.000,56,57
L29,3826755.849,460095.423,5064844.626,-3.333,13.955,0.000,58,59
L30,3826754.748,460099.045,5064845.125,0.394,14.782,0.000,60,61
L31,3826755.206,460102.073,5064844.507,3.346,13.758,0.000,62,63
L32,3826758.269,460108.856,5064841.595,9.714,8.929,0.000,64,65
L33,3826758.413,460111.824,5064841.219,12.643,8.305,0.000,66,67
L34,3826764.246,460113.180,5064836.718,13.292,0.841,0.000,68,69
L35,3826768.312,460112.809,5064833.700,12.437,-4.163,0.000,70,71
L36,3826772.565,460112.686,5064830.518,11.806,-9.439,0.000,72,73
L37,3826773.720,460109.589,5064829.931,8.593,-10.412,0.000,74,75
L38,3826775.764,460105.459,5064828.771,4.248,-12.336,0.000,76,77
L39,3826777.073,460098.586,5064828.409,-2.732,-12.935,0.000,78,79
L40,3826777.141,460095.807,5064828.609,-5.499,-12.604,0.000,80,81
L41,3826774.916,460091.426,5064830.675,-9.582,-9.177,0.000,82,83
L42,3826773.822,460087.594,5064831.843,-13.256,-7.241,0.000,84,85
L43,3826766.923,460085.963,5064837.168,-14.050,1.590,0.000,86,87
L44,3826763.773,460086.810,5064839.457,-12.832,5.384,0.000,88,89
L45,3826759.630,460088.905,5064842.377,-10.257,10.226,0.000,90,91
L46,3826807.229,460137.733,5064802.235,32.527,-56.338,0.000,92,93
L47,3826799.000,460047.234,5064816.592,-56.338,-32.527,0.000,94,95
L48,3826756.077,460088.449,5064845.085,-10.285,14.717,0.000,1,0
L49,3826753.616,460088.690,5064846.911,-9.751,17.744,0.000,3,2
L50,3826750.311,460103.819,5064848.024,5.665,19.589,0.000,5,4
L51,3826757.345,460116.805,5064841.570,17.716,8.887,0.000,7,6
L52,3826760.508,460119.530,5064838.950,20.043,4.542,0.000,9,8
L53,3826770.165,460117.496,5064831.885,16.869,-7.173,0.000,11,10
L54,3826778.589,460108.846,5064826.344,7.273,-16.360,0.000,13,12
L55,3826782.637,460102.446,5064823.884,0.435,-20.439,0.000,15,14
L56,3826778.548,460089.283,5064828.143,-12.144,-13.376,0.000,17,16
L57,3826774.946,460082.729,5064831.438,-18.221,-7.911,0.000,19,18
L58,3826767.120,460081.384,5064837.435,-18.620,2.032,0.000,21,20
L59,3826762.308,460076.161,5064841.519,-23.230,8.804,0.000,23,22
L60,3826752.995,460082.610,5064847.926,-15.713,19.428,0.000,25,24
L61,3826747.162,460093.578,5064851.313,-4.126,25.044,0.000,27,26
L62,3826746.040,460099.743,5064851.598,2.129,25.516,0.000,29,28
L63,3826745.784,460108.159,5064851.030,10.515,24.573,0.000,31,30
L64,3826755.450,460120.316,5064842.675,21.429,10.719,0.000,33,32
L65,3826761.024,460123.822,5064838.174,24.243,3.256,0.000,35,34
