NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3824090.848,459437.959,5066897.930,0.000,0.000,0.000,0,1
L1,3824088.829,459437.716,5066899.468,0.000,2.550,0.000,2,3
L2,3824089.510,459440.064,5066898.744,2.250,1.350,0.000,4,5
L3,3824091.648,459440.322,5066897.116,2.250,-1.350,0.000,6,7
L4,3824092.867,459438.202,5066896.392,0.000,-2.550,0.000,8,9
L5,3824092.186,459435.854,5066897.116,-2.250,-1.350,0.000,10,11
L6,3824090.048,459435.596,5066898.744,-2.250,1.350,0.000,12,13
L7,3824089.458,459432.541,5066899.463,-5.213,2.543,0.000,14,15
L8,3824086.934,459435.111,5066901.126,-2.359,5.299,0.000,16,17
L9,3824086.242,459439.015,5066901.292,1.599,5.575,0.000,18,19
L10,3824087.705,459442.423,5066899.886,4.808,3.243,0.000,20,21
L11,3824090.638,459443.743,5066897.565,5.768,-0.606,0.000,22,23
L12,3824093.670,459442.357,5066895.414,4.029,-4.172,0.000,24,25
L13,3824095.382,459438.913,5066894.441,0.405,-5.786,0.000,26,27
L14,3824094.972,459435.022,5066895.100,-3.409,-4.692,0.000,28,29
L15,3824092.632,459432.505,5066897.084,-5.628,-1.403,0.000,30,31
L16,3824093.103,459428.952,5066897.052,-9.212,-1.456,0.000,32,33
L17,3824090.278,459428.179,5066899.242,-9.642,2.176,0.000,34,35
L18,3824086.356,459429.627,5066902.055,-7.735,6.840,0.000,36,37
L19,3824083.049,459435.816,5066903.978,-1.195,10.028,0.000,38,39
L20,3824082.718,459439.027,5066903.936,2.033,9.959,0.000,40,41
L21,3824083.675,459443.070,5066902.852,5.932,8.161,0.000,42,43
L22,3824086.332,459445.550,5066900.633,8.077,4.482,0.000,44,45
L23,3824090.777,459446.911,5066897.174,8.896,-1.254,0.000,46,47
L24,3824094.604,459446.405,5066894.347,7.936,-5.941,0.000,48,49
L25,3824097.347,459443.492,5066892.552,4.716,-8.918,0.000,50,51
L26,3824098.102,459439.627,5066892.334,0.788,-9.279,0.000,52,53
L27,3824097.771,459434.837,5066893.016,-3.928,-8.148,0.000,54,55
L28,3824095.899,459430.941,5066894.773,-7.572,-5.234,0.000,56,57
L29,3824093.241,459423.822,5066897.411,-14.322,-0.859,0.000,58,59
L30,3824090.241,459423.292,5066899.711,-14.489,2.954,0.000,60,61
L31,3824087.897,459424.542,5066901.357,-12.968,5.684,0.000,62,63
L32,3824082.894,459429.843,5066904.634,-7.106,11.117,0.000,64,65
L33,3824080.561,459430.693,5066906.308,-5.983,13.893,0.000,66,67
L34,3824080.189,459438.165,5066905.912,1.480,13.236,0.000,68,69
L35,3824080.971,459443.073,5066904.881,6.259,11.526,0.000,70,71
L36,3824081.581,459448.270,5066903.954,11.345,9.988,0.000,72,73
L37,3824084.174,459448.986,5066901.943,11.746,6.654,0.000,74,75
L38,3824087.691,459450.558,5066899.161,12.886,2.041,0.000,76,77
L39,3824093.290,459450.606,5066894.954,12.264,-4.936,0.000,78,79
L40,3824095.500,459450.059,5066893.345,11.457,-7.604,0.000,80,81
L41,3824098.701,459446.332,5066891.278,7.373,-11.030,0.000,82,83
L42,3824101.605,459444.119,5066889.299,4.829,-14.312,0.000,84,85
L43,3824102.067,459435.276,5066889.752,-4.006,-13.561,0.000,86,87
L44,3824101.016,459431.600,5066890.873,-7.530,-11.702,0.000,88,89
L45,3824098.858,459426.987,5066892.909,-11.851,-8.325,0.000,90,91
L46,3824055.702,459462.934,5066922.054,29.000,40.000,0.000,92,93
L47,3824119.176,459496.266,5066871.396,54.500,-44.000,0.000,94,95
L48,3824098.793,459422.520,5066893.362,-16.279,-7.574,0.000,1,0
L49,3824098.305,459419.552,5066893.996,-19.167,-6.522,0.000,3,2
L50,3824085.926,459418.927,5066903.345,-18.307,8.980,0.000,5,4
L51,3824076.488,459430.512,5066909.382,-5.676,18.990,0.000,7,6
L52,3824074.710,459435.015,5066910.309,-0.992,20.527,0.000,9,8
L53,3824077.483,459446.415,5066907.198,9.994,15.367,0.000,11,10
L54,3824085.347,459454.796,5066900.537,17.374,4.322,0.000,13,12
L55,3824090.903,459458.316,5066896.048,20.204,-3.121,0.000,15,14
L56,3824100.836,459450.306,5066889.317,11.064,-14.283,0.000,17,16
L57,3824105.594,459444.396,5066886.280,4.627,-19.318,0.000,19,18
L58,3824105.717,459434.478,5066887.084,-5.235,-17.984,0.000,21,20
L59,3824109.274,459427.383,5066885.055,-12.704,-21.348,0.000,23,22
L60,3824103.046,459417.410,5066890.631,-21.861,-12.101,0.000,25,24
L61,3824093.657,459412.734,5066898.102,-25.380,0.286,0.000,27,26
