NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826517.144,460929.742,5064946.197,-85.000,89.000,0.000,0,1
L1,3826515.124,460929.498,5064947.735,-85.000,91.550,0.000,2,3
L2,3826515.805,460931.847,5064947.011,-82.750,90.350,0.000,4,5
L3,3826517.944,460932.104,5064945.383,-82.750,87.650,0.000,6,7
L4,3826519.163,460929.985,5064944.659,-85.000,86.450,0.000,8,9
L5,3826518.482,460927.637,5064945.383,-87.250,87.650,0.000,10,11
L6,3826516.344,460927.379,5064947.011,-87.250,90.350,0.000,12,13
L7,3826521.697,460928.292,5064942.910,-86.984,83.550,0.000,14,15
L8,3826520.041,460925.032,5064944.448,-90.023,86.100,0.000,16,17
L9,3826517.029,460923.975,5064946.804,-90.712,90.007,0.000,18,19
L10,3826514.071,460925.617,5064948.877,-88.728,93.443,0.000,20,21
L11,3826512.550,460929.188,5064949.695,-85.000,94.800,0.000,22,23
L12,3826513.179,460933.019,5064948.877,-81.272,93.443,0.000,24,25
L13,3826515.663,460935.317,5064946.805,-79.288,90.007,0.000,26,27
L14,3826518.840,460935.005,5064944.448,-79.977,86.100,0.000,28,29
L15,3826521.223,460932.232,5064942.910,-83.016,83.550,0.000,30,31
L16,3826523.991,460932.995,5064940.763,-82.589,79.990,0.000,32,33
L17,3826525.057,460929.531,5064940.277,-86.156,79.183,0.000,34,35
L18,3826524.519,460924.593,5064941.126,-90.994,80.592,0.000,36,37
L19,3826520.092,460920.178,5064944.848,-94.848,86.764,0.000,38,39
L20,3826517.577,460919.604,5064946.788,-95.117,89.981,0.000,40,41
L21,3826514.192,460920.586,5064949.240,-93.737,94.046,0.000,42,43
L22,3826511.787,460923.756,5064950.759,-90.302,96.565,0.000,44,45
L23,3826509.996,460929.200,5064951.612,-84.683,97.978,0.000,46,47
L24,3826509.794,460933.972,5064951.331,-79.921,97.513,0.000,48,49
L25,3826511.689,460937.521,5064949.589,-76.624,94.623,0.000,50,51
L26,3826514.661,460938.655,5064947.255,-75.854,90.754,0.000,52,53
L27,3826518.544,460938.485,5064944.356,-76.487,85.946,0.000,54,55
L28,3826521.957,460936.362,5064941.986,-79.003,82.017,0.000,56,57
L29,3826528.071,460933.427,5064937.662,-82.648,74.847,0.000,58,59
L30,3826528.971,460929.732,5064937.320,-86.424,74.281,0.000,60,61
L31,3826528.342,460926.763,5064938.061,-89.297,75.509,0.000,62,63
L32,3826524.894,460920.288,5064941.234,-95.313,80.771,0.000,64,65
L33,3826524.583,460917.352,5064941.733,-98.191,81.598,0.000,66,67
L34,3826518.667,460916.511,5064946.250,-98.318,89.088,0.000,68,69
L35,3826514.617,460917.233,5064949.224,-97.117,94.020,0.000,70,71
L36,3826510.365,460917.726,5064952.372,-96.119,99.239,0.000,72,73
L37,3826509.382,460920.904,5064952.822,-92.846,99.986,0.000,74,75
L38,3826507.567,460925.187,5064953.797,-88.377,101.602,0.000,76,77
L39,3826506.642,460932.130,5064953.864,-81.373,101.713,0.000,78,79
L40,3826506.729,460934.898,5064953.548,-78.635,101.189,0.000,80,81
L41,3826509.203,460939.057,5064951.315,-74.802,97.486,0.000,82,83
L42,3826510.514,460942.771,5064949.996,-71.271,95.298,0.000,84,85
L43,3826517.514,460943.792,5064944.650,-71.095,86.433,0.000,86,87
L44,3826520.620,460942.676,5064942.419,-72.575,82.734,0.000,88,89
L45,3826524.650,460940.233,5064939.614,-75.482,78.084,0.000,90,91
L46,3826478.494,460906.098,5064977.346,-103.851,140.650,0.000,92,93
L47,3826495.992,460979.267,5064957.598,-33.300,107.901,0.000,94,95
L48,3826528.234,460940.379,5064936.911,-75.766,73.602,0.000,1,0
L49,3826530.685,460939.925,5064935.112,-76.510,70.619,0.000,3,2
L50,3826533.146,460924.602,5064934.650,-92.017,69.854,0.000,5,4
L51,3826525.374,460912.308,5064941.595,-103.293,81.370,0.000,7,6
L52,3826522.054,460909.876,5064944.307,-105.311,85.867,0.000,9,8
L53,3826512.497,460912.736,5064951.222,-101.328,97.333,0.000,11,10
L54,3826504.549,460922.066,5064956.345,-91.114,105.827,0.000,13,12
L55,3826500.853,460928.778,5064958.512,-84.008,109.420,0.000,15,14
L56,3826505.687,460941.504,5064953.734,-71.952,101.496,0.000,17,16
L57,3826509.660,460947.705,5064950.191,-66.271,95.621,0.000,19,18
L58,3826517.573,460948.360,5064944.192,-66.567,85.674,0.000,21,20
L59,3826522.684,460953.132,5064939.924,-62.441,78.597,0.000,23,22
L60,3826531.648,460945.912,5064933.848,-70.681,68.523,0.000,25,24
L61,3826536.874,460934.505,5064930.957,-82.631,63.729,0.000,27,26
L62,3826537.651,460928.281,5064930.936,-88.903,63.695,0.000,29,28
L63,3826537.435,460919.895,5064931.856,-97.203,65.221,0.000,31,30
L64,3826527.074,460908.654,5064940.649,-107.124,79.802,0.000,33,32
L65,3826521.296,460905.655,5064945.257,-109.411,87.443,0.000,35,34
L66,3826510.216,460905.618,5064953.577,-108.122,101.239,0.000,37,36
L67,3826501.407,460915.174,5064959.326,-97.581,110.771,0.000,39,38
L68,3826497.273,460923.167,5064961.706,-89.151,114.717,0.000,41,40
L69,3826497.528,460934.831,5064960.461,-77.601,112.651,0.000,43,42
L70,3826501.761,460949.712,5064955.939,-63.333,105.152,0.000,45,44
L71,3826514.519,460956.639,5064945.736,-57.982,88.234,0.000,47,46
L72,3826524.208,460962.632,5064937.922,-53.191,75.276,0.000,49,48
L73,3826533.378,460952.510,5064931.954,-64.337,65.381,0.000,51,50
L74,3826540.250,460940.263,5064927.902,-77.318,58.664,0.000,53,52
L75,3826543.008,460932.879,5064926.499,-84.979,56.338,0.000,55,54
L76,3826539.970,460914.644,5064930.428,-102.720,62.853,0.000,57,56
L77,3826532.013,460900.172,5064937.709,-116.136,74.927,0.000,59,58
L78,3826522.892,460896.171,5064944.916,-119.017,86.878,0.000,61,60
L79,3826515.888,460899.989,5064949.829,-114.389,95.023,0.000,63,62
L80,3826504.154,460900.627,5064958.579,-112.352,109.532,0.000,65,64
L81,3826493.442,460914.808,5064965.338,-96.991,120.739,0.000,67,66
L82,3826490.885,460923.326,5064966.487,-88.229,122.644,0.000,69,68
L83,3826490.059,460939.241,5064965.669,-72.329,121.286,0.000,71,70
L84,3826493.939,460945.604,5064962.181,-66.476,115.503,0.000,73,72
L85,3826505.011,460960.082,5064952.562,-53.426,99.552,0.000,75,74
L86,3826510.389,460959.564,5064948.572,-54.584,92.936,0.000,77,76
L87,3826510.389,460965.817,5064948.007,-48.376,91.999,0.000,79,78
L88,3826541.305,460956.898,5064925.607,-60.929,54.857,0.000,81,80
L89,3826548.931,460932.662,5064922.073,-85.903,48.998,0.000,83,82
L90,3826548.550,460912.700,5064924.163,-105.676,52.465,0.000,85,84
L91,3826540.628,460900.601,5064931.204,-116.741,64.140,0.000,87,86
L92,3826505.601,460892.112,5064958.262,-120.979,109.008,0.000,89,88
L93,3826493.674,460909.547,5064965.639,-102.242,121.239,0.000,91,90
L94,3826484.874,460922.227,5064971.099,-88.601,130.291,0.000,93,92
L95,3826497.778,460961.241,5064957.887,-51.410,108.381,0.000,95,94
H0,3826461.391,461002.804,5064981.442,4.207,12.438,0.000,0,1
H1,3826462.896,461007.479,5064979.889,8.668,9.863,0.000,2,3
H2,3826463.725,460995.999,5064980.305,-2.828,10.553,0.000,4,5
H3,3826465.231,461000.673,5064978.752,1.632,7.978,0.000,6,7
H4,3826466.736,461005.348,5064977.200,6.093,5.403,0.000,8,9
H5,3826468.242,461010.021,5064975.647,10.553,2.828,0.000,10,11
H6,3826466.059,460989.195,5064979.168,-9.863,8.668,0.000,12,13
H7,3826467.565,460993.868,5064977.615,-5.403,6.093,0.000,14,15
H8,3826469.071,460998.542,5064976.063,-0.943,3.518,0.000,16,17
H9,3826470.576,461003.217,5064974.510,3.518,0.943,0.000,18,19
H10,3826472.082,461007.890,5064972.957,7.978,-1.632,0.000,20,21
H11,3826473.588,461012.564,5064971.404,12.438,-4.207,0.000,22,23
H12,3826469.900,460987.064,5064976.478,-12.438,4.207,0.000,24,25
H13,3826471.406,460991.738,5064974.925,-7.978,1.632,0.000,26,27
H14,3826472.912,460996.411,5064973.372,-3.518,-0.943,0.000,28,29
H15,3826474.417,461001.086,5064971.819,0.943,-3.518,0.000,30,31
H16,3826475.923,461005.760,5064970.267,5.403,-6.093,0.000,32,33
H17,3826477.429,461010.433,5064968.714,9.863,-8.668,0.000,34,35
H18,3826475.246,460989.607,5064972.235,-10.553,-2.828,0.000,36,37
H19,3826476.752,460994.280,5064970.682,-6.093,-5.403,0.000,38,39
H20,3826478.257,460998.955,5064969.130,-1.632,-7.978,0.000,40,41
H21,3826479.763,461003.629,5064967.577,2.828,-10.553,0.000,42,43
H22,3826480.592,460992.149,5064967.993,-8.668,-9.863,0.000,44,45
H23,3826482.097,460996.824,5064966.440,-4.207,-12.438,0.000,46,47
H24,3826509.300,461042.483,5064941.895,8.560,9.956,0.000,48,49
H25,3826512.134,461046.018,5064939.447,11.731,5.898,0.000,50,51
H26,3826509.462,461035.221,5064942.429,1.331,10.843,0.000,52,53
H27,3826512.296,461038.756,5064939.982,4.502,6.785,0.000,54,55
H28,3826515.131,461042.292,5064937.535,7.673,2.727,0.000,56,57
H29,3826517.965,461045.826,5064935.088,10.843,-1.331,0.000,58,59
H30,3826509.623,461027.959,5064942.965,-5.898,11.731,0.000,60,61
H31,3826512.457,461031.494,5064940.517,-2.727,7.673,0.000,62,63
H32,3826515.293,461035.030,5064938.070,0.444,3.614,0.000,64,65
H33,3826518.127,461038.564,5064935.622,3.614,-0.444,0.000,66,67
H34,3826520.962,461042.100,5064933.175,6.785,-4.502,0.000,68,69
H35,3826523.796,461045.635,5064930.728,9.956,-8.560,0.000,70,71
H36,3826512.620,461024.233,5064941.052,-9.956,8.560,0.000,72,73
H37,3826515.454,461027.768,5064938.605,-6.785,4.502,0.000,74,75
H38,3826518.289,461031.304,5064936.158,-3.614,0.444,0.000,76,77
H39,3826521.123,461034.838,5064933.710,-0.444,-3.614,0.000,78,79
H40,3826523.959,461038.374,5064931.263,2.727,-7.673,0.000,80,81
H41,3826526.793,461041.909,5064928.815,5.898,-11.731,0.000,82,83
H42,3826518.451,461024.042,5064936.692,-10.843,1.331,0.000,84,85
H43,3826521.285,461027.576,5064934.245,-7.673,-2.727,0.000,86,87
H44,3826524.120,461031.112,5064931.798,-4.502,-6.785,0.000,88,89
H45,3826526.954,461034.647,5064929.351,-1.331,-10.843,0.000,90,91
H46,3826524.282,461023.850,5064932.333,-11.731,-5.898,0.000,92,93
H47,3826527.116,461027.385,5064929.885,-8.560,-9.956,0.000,94,95
CLBA,3826517.144,460929.742,5064946.197,-85.000,89.000,0.000,-1,-1
CHBA0,3826471.744,460999.814,5064973.941,-10.000,135.000,0.000,-1,-1
CHBA1,3826518.208,461034.934,5064935.890,19.310,71.904,0.000,-1,-1
CHBA ,3826494.976,461017.374,5064954.916,4.655,103.452,0.000,-1,-1
