NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,4034033.347,487013.892,4900285.590,0.000,0.000,0.000,0,1
L1,4034029.374,487020.589,4900288.223,0.000,0.000,0.000,2,3
L2,4034030.373,487014.167,4900288.028,0.000,0.000,0.000,4,5
L3,4034026.867,487019.788,4900290.357,0.000,0.000,0.000,6,7
L4,4034043.285,487045.409,4900274.365,0.000,0.000,0.000,8,9
L5,4034039.743,487050.144,4900276.800,0.000,0.000,0.000,10,11
L6,4034049.398,487047.611,4900269.126,0.000,0.000,0.000,12,13
L7,4034047.268,487052.001,4900270.298,0.000,0.000,0.000,14,15
L8,4034030.861,487008.854,4900288.138,0.000,0.000,0.000,16,17
L9,4034032.968,487002.322,4900287.043,0.000,0.000,0.000,18,19
L10,4034030.474,487000.052,4900289.308,0.000,0.000,0.000,20,21
L11,4034027.561,487001.916,4900291.548,0.000,0.000,0.000,22,23
L12,4034039.707,487030.613,4900278.699,0.000,0.000,0.000,24,25
L13,4034035.670,487028.638,4900282.247,0.000,0.000,0.000,26,27
L14,4034034.133,487031.493,4900283.264,0.000,0.000,0.000,28,29
L15,4034036.197,487035.336,4900281.186,0.000,0.000,0.000,30,31
L16,4034031.412,487031.898,4900285.447,0.000,0.000,0.000,32,33
L17,4034029.085,487028.053,4900287.700,0.000,0.000,0.000,34,35
L18,4034026.720,487036.318,4900288.838,0.000,0.000,0.000,36,37
L19,4034024.119,487033.236,4900291.240,0.000,0.000,0.000,38,39
L20,4034053.919,487016.781,4900268.485,0.000,0.000,0.000,40,41
L21,4034052.207,487008.224,4900270.666,0.000,0.000,0.000,42,43
L22,4034060.495,487012.599,4900263.452,0.000,0.000,0.000,44,45
L23,4034054.947,487003.398,4900268.951,0.000,0.000,0.000,46,47
L24,4034039.309,487012.752,4900280.798,0.000,0.000,0.000,48,49
L25,4034037.017,487010.014,4900282.947,0.000,0.000,0.000,50,51
L26,4034041.901,487009.815,4900279.008,0.000,0.000,0.000,52,53
L27,4034043.105,487006.009,4900278.384,0.000,0.000,0.000,54,55
L28,4034053.457,487032.393,4900267.331,0.000,0.000,0.000,56,57
L29,4034055.536,487035.042,4900265.336,0.000,0.000,0.000,58,59
L30,4034058.415,487025.612,4900264.001,0.000,0.000,0.000,60,61
L31,4034061.530,487029.743,4900260.984,0.000,0.000,0.000,62,63
L32,4034025.941,487040.171,4900289.098,0.000,0.000,0.000,64,65
L33,4034028.092,487045.952,4900286.784,0.000,0.000,0.000,66,67
L34,4034022.824,487053.581,4900290.317,0.000,0.000,0.000,68,69
L35,4034020.266,487048.216,4900292.959,0.000,0.000,0.000,70,71
L36,4034043.400,487029.155,4900275.814,0.000,0.000,0.000,72,73
L37,4034041.882,487034.592,4900276.534,0.000,0.000,0.000,74,75
L38,4034046.314,487030.388,4900273.337,0.000,0.000,0.000,76,77
L39,4034045.902,487034.110,4900273.310,0.000,0.000,0.000,78,79
L40,4034021.811,487014.001,4900295.090,0.000,0.000,0.000,80,81
L41,4034020.023,487023.885,4900295.622,0.000,0.000,0.000,82,83
L42,4034015.932,487016.799,4900299.658,0.000,0.000,0.000,84,85
L43,4034015.086,487027.327,4900299.313,0.000,0.000,0.000,86,87
L44,4034043.951,487022.656,4900276.024,0.000,0.000,0.000,88,89
L45,4034046.978,487023.474,4900273.481,0.000,0.000,0.000,90,91
L46,4034044.297,487017.889,4900276.252,0.000,0.000,0.000,92,93
L47,4034048.107,487019.463,4900272.998,0.000,0.000,0.000,94,95
L48,4034038.141,487043.803,4900278.736,0.000,0.000,0.000,96,97
L49,4034054.470,487023.447,4900267.430,0.000,0.000,0.000,98,99
L50,4034038.090,487054.699,4900277.651,0.000,0.000,0.000,100,101
L51,4034030.801,487046.129,4900284.587,0.000,0.000,0.000,102,103
L52,4034046.825,487002.539,4900275.652,0.000,0.000,0.000,104,105
L53,4034062.848,487019.479,4900260.902,0.000,0.000,0.000,106,107
L54,4034030.207,487053.677,4900284.281,0.000,0.000,0.000,108,109
L55,4034039.240,487033.959,4900278.779,0.000,0.000,0.000,110,111
L56,4034022.092,487007.100,4900295.570,0.000,0.000,0.000,112,113
L57,4034047.947,487009.170,4900274.079,0.000,0.000,0.000,114,115
L58,4034035.955,487006.383,4900284.149,0.000,0.000,0.000,116,117
L59,4034059.474,487039.290,4900261.617,0.000,0.000,0.000,118,119
L60,4034051.743,487025.820,4900269.377,0.000,0.000,0.000,120,121
L61,4034048.140,487012.974,4900273.587,0.000,0.000,0.000,122,123
L62,4034023.309,487024.198,4900292.821,0.000,0.000,0.000,124,125
L63,4034033.370,487025.532,4900284.437,0.000,0.000,0.000,126,127
L64,4034041.953,487040.192,4900275.947,0.000,0.000,0.000,128,129
L65,4034035.921,487019.267,4900282.931,0.000,0.000,0.000,130,131
L66,4034052.546,487039.630,4900267.259,0.000,0.000,0.000,132,133
L67,4034049.152,487033.638,4900270.651,0.000,0.000,0.000,134,135
L68,4034040.211,487002.213,4900281.093,0.000,0.000,0.000,136,137
L69,4034038.095,487000.422,4900283.026,0.000,0.000,0.000,138,139
L70,4034039.746,487021.259,4900279.660,0.000,0.000,0.000,140,141
L71,4034025.196,487015.613,4900292.184,0.000,0.000,0.000,142,143
L72,4034048.596,487026.407,4900271.859,0.000,0.000,0.000,144,145
L73,4034032.445,487041.349,4900283.689,0.000,0.000,0.000,146,147
L74,4034044.669,487039.963,4900273.706,0.000,0.000,0.000,148,149
L75,4034032.977,487053.849,4900281.961,0.000,0.000,0.000,150,151
L76,4034038.816,487016.294,4900280.872,0.000,0.000,0.000,152,153
L77,4034051.089,487020.822,4900270.427,0.000,0.000,0.000,154,155
L78,4034027.920,487008.577,4900290.545,0.000,0.000,0.000,156,157
L79,4034019.633,487032.252,4900295.069,0.000,0.000,0.000,158,159
L80,4034025.391,487028.657,4900290.693,0.000,0.000,0.000,160,161
L81,4034036.852,487047.888,4900279.413,0.000,0.000,0.000,162,163
L82,4034029.710,487035.916,4900286.441,0.000,0.000,0.000,164,165
L83,4034035.942,487022.864,4900282.568,0.000,0.000,0.000,166,167
L84,4034058.181,487016.929,4900264.967,0.000,0.000,0.000,168,169
L85,4034042.629,487025.880,4900276.770,0.000,0.000,0.000,170,171
L86,4034054.796,487048.725,4900264.467,0.000,0.000,0.000,172,173
L87,4034050.342,487041.582,4900268.873,0.000,0.000,0.000,174,175
L88,4034030.768,487025.234,4900286.586,0.000,0.000,0.000,176,177
L89,4034015.433,487038.140,4900297.956,0.000,0.000,0.000,178,179
L90,4034033.755,487017.367,4900284.880,0.000,0.000,0.000,180,181
L91,4034049.289,487001.601,4900273.749,0.000,0.000,0.000,182,183
L92,4034022.234,487039.225,4900292.229,0.000,0.000,0.000,184,185
L93,4034041.064,487018.150,4900278.858,0.000,0.000,0.000,186,187
L94,4034044.655,487014.362,4900276.344,0.000,0.000,0.000,188,189
L95,4034035.142,487038.556,4900281.737,0.000,0.000,0.000,190,191
H0,4034122.709,486997.076,4900214.711,0.000,0.000,0.000,0,1
H1,4034123.206,487002.115,4900213.812,0.000,0.000,0.000,2,3
H2,4034123.703,487007.159,4900212.916,0.000,0.000,0.000,4,5
H3,4034124.189,487012.202,4900212.013,0.000,0.000,0.000,6,7
H4,4034124.677,487017.242,4900211.114,0.000,0.000,0.000,8,9
H5,4034118.252,486992.988,4900218.755,0.000,0.000,0.000,10,11
H6,4034118.753,486998.032,4900217.855,0.000,0.000,0.000,12,13
H7,4034119.244,487003.080,4900216.956,0.000,0.000,0.000,14,15
H8,4034119.743,487008.127,4900216.051,0.000,0.000,0.000,16,17
H9,4034120.227,487013.161,4900215.147,0.000,0.000,0.000,18,19
H10,4034120.728,487018.187,4900214.255,0.000,0.000,0.000,20,21
H11,4034121.218,487023.240,4900213.352,0.000,0.000,0.000,22,23
