NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3796334.300,877578.736,5032754.591,-13.079,-5.338,0.000,0,1
L1,3796327.889,877577.966,5032759.657,-13.076,2.869,0.000,2,3
L2,3796332.902,877575.552,5032756.288,-16.082,-2.899,0.000,4,5
L3,3796327.453,877574.727,5032760.627,-16.250,4.113,0.000,6,7
L4,3796315.727,877606.926,5032763.297,17.230,11.890,0.000,8,9
L5,3796310.908,877605.628,5032767.246,16.515,18.214,0.000,10,11
L6,3796316.577,877614.898,5032761.081,25.069,9.109,0.000,12,13
L7,3796312.631,877614.984,5032764.090,25.628,14.040,0.000,14,15
L8,3796336.904,877573.198,5032753.682,-18.907,-7.412,0.000,16,17
L9,3796342.493,877571.969,5032749.638,-20.802,-14.158,0.000,18,19
L10,3796343.107,877568.001,5032749.946,-24.829,-14.074,0.000,20,21
L11,3796340.579,877565.726,5032752.331,-26.791,-10.413,0.000,22,23
L12,3796324.915,877594.924,5032758.609,4.172,2.949,0.000,24,25
L13,3796324.698,877589.342,5032759.871,-1.362,4.423,0.000,26,27
L14,3796322.002,877589.208,5032761.964,-1.172,7.834,0.000,28,29
L15,3796320.091,877593.578,5032762.571,3.410,9.290,0.000,30,31
L16,3796320.598,877586.389,5032763.593,-3.811,10.201,0.000,32,33
L17,3796322.428,877581.725,5032763.106,-8.677,8.910,0.000,34,35
L18,3796315.535,877583.615,5032768.019,-5.967,17.149,0.000,36,37
L19,3796316.692,877579.075,5032768.023,-10.628,16.675,0.000,38,39
L20,3796340.578,877603.064,5032745.004,10.401,-18.449,0.000,40,41
L21,3796346.063,877596.541,5032742.079,3.245,-23.925,0.000,42,43
L22,3796346.257,877608.135,5032739.656,14.770,-26.663,0.000,44,45
L23,3796350.599,877596.891,5032738.534,3.049,-29.689,0.000,46,47
L24,3796337.577,877584.698,5032750.909,-7.533,-10.732,0.000,48,49
L25,3796338.595,877580.677,5032750.918,-11.661,-11.143,0.000,50,51
L26,3796340.696,877585.966,5032748.270,-6.645,-14.916,0.000,52,53
L27,3796343.941,877585.226,5032745.927,-7.771,-18.827,0.000,54,55
L28,3796329.162,877611.104,5032752.178,19.779,-5.860,0.000,56,57
L29,3796328.132,877614.885,5032752.226,23.669,-5.382,0.000,58,59
L30,3796336.047,877612.844,5032746.558,20.686,-14.871,0.000,60,61
L31,3796334.377,877618.609,5032746.707,26.629,-14.017,0.000,62,63
