NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,4034032.589,487014.603,4900286.169,0.000,0.000,0.000,0,1
L1,4034028.615,487021.301,4900288.802,0.000,0.000,0.000,2,3
L2,4034029.615,487014.879,4900288.607,0.000,0.000,0.000,4,5
L3,4034026.109,487020.500,4900290.936,0.000,0.000,0.000,6,7
L4,4034042.526,487046.121,4900274.944,0.000,0.000,0.000,8,9
L5,4034038.984,487050.856,4900277.379,0.000,0.000,0.000,10,11
L6,4034048.639,487048.323,4900269.705,0.000,0.000,0.000,12,13
L7,4034046.510,487052.713,4900270.876,0.000,0.000,0.000,14,15
L8,4034030.103,487009.566,4900288.716,0.000,0.000,0.000,16,17
L9,4034032.210,487003.034,4900287.622,0.000,0.000,0.000,18,19
L10,4034029.716,487000.764,4900289.887,0.000,0.000,0.000,20,21
L11,4034026.803,487002.628,4900292.127,0.000,0.000,0.000,22,23
L12,4034038.949,487031.324,4900279.278,0.000,0.000,0.000,24,25
L13,4034034.912,487029.350,4900282.826,0.000,0.000,0.000,26,27
L14,4034033.375,487032.204,4900283.843,0.000,0.000,0.000,28,29
L15,4034035.439,487036.048,4900281.765,0.000,0.000,0.000,30,31
L16,4034030.654,487032.610,4900286.026,0.000,0.000,0.000,32,33
L17,4034028.327,487028.765,4900288.278,0.000,0.000,0.000,34,35
L18,4034025.961,487037.029,4900289.417,0.000,0.000,0.000,36,37
L19,4034023.360,487033.948,4900291.819,0.000,0.000,0.000,38,39
L20,4034053.160,487017.493,4900269.063,0.000,0.000,0.000,40,41
L21,4034051.449,487008.936,4900271.245,0.000,0.000,0.000,42,43
L22,4034059.737,487013.311,4900264.031,0.000,0.000,0.000,44,45
L23,4034054.189,487004.109,4900269.529,0.000,0.000,0.000,46,47
L24,4034038.550,487013.464,4900281.377,0.000,0.000,0.000,48,49
L25,4034036.259,487010.726,4900283.526,0.000,0.000,0.000,50,51
L26,4034041.143,487010.526,4900279.587,0.000,0.000,0.000,52,53
L27,4034042.347,487006.721,4900278.963,0.000,0.000,0.000,54,55
L28,4034052.698,487033.105,4900267.910,0.000,0.000,0.000,56,57
L29,4034054.777,487035.754,4900265.914,0.000,0.000,0.000,58,59
L30,4034057.657,487026.323,4900264.580,0.000,0.000,0.000,60,61
L31,4034060.772,487030.455,4900261.562,0.000,0.000,0.000,62,63
L32,4034025.183,487040.883,4900289.677,0.000,0.000,0.000,64,65
L33,4034027.334,487046.664,4900287.363,0.000,0.000,0.000,66,67
L34,4034022.066,487054.293,4900290.896,0.000,0.000,0.000,68,69
L35,4034019.508,487048.928,4900293.538,0.000,0.000,0.000,70,71
L36,4034042.641,487029.867,4900276.392,0.000,0.000,0.000,72,73
L37,4034041.123,487035.304,4900277.113,0.000,0.000,0.000,74,75
L38,4034045.556,487031.099,4900273.916,0.000,0.000,0.000,76,77
L39,4034045.144,487034.822,4900273.889,0.000,0.000,0.000,78,79
L40,4034021.053,487014.712,4900295.668,0.000,0.000,0.000,80,81
L41,4034019.264,487024.597,4900296.201,0.000,0.000,0.000,82,83
L42,4034015.174,487017.511,4900300.236,0.000,0.000,0.000,84,85
L43,4034014.327,487028.039,4900299.892,0.000,0.000,0.000,86,87
L44,4034043.193,487023.368,4900276.602,0.000,0.000,0.000,88,89
L45,4034046.220,487024.185,4900274.060,0.000,0.000,0.000,90,91
L46,4034043.538,487018.600,4900276.831,0.000,0.000,0.000,92,93
L47,4034047.349,487020.174,4900273.576,0.000,0.000,0.000,94,95
L48,4034037.383,487044.515,4900279.315,0.000,0.000,0.000,96,97
L49,4034053.712,487024.159,4900268.009,0.000,0.000,0.000,98,99
L50,4034037.332,487055.411,4900278.230,0.000,0.000,0.000,100,101
L51,4034030.042,487046.841,4900285.166,0.000,0.000,0.000,102,103
L52,4034046.066,487003.251,4900276.231,0.000,0.000,0.000,104,105
L53,4034062.090,487020.191,4900261.481,0.000,0.000,0.000,106,107
L54,4034029.449,487054.389,4900284.859,0.000,0.000,0.000,108,109
L55,4034038.482,487034.671,4900279.358,0.000,0.000,0.000,110,111
L56,4034021.334,487007.812,4900296.149,0.000,0.000,0.000,112,113
L57,4034047.189,487009.882,4900274.657,0.000,0.000,0.000,114,115
L58,4034035.197,487007.095,4900284.728,0.000,0.000,0.000,116,117
L59,4034058.716,487040.001,4900262.196,0.000,0.000,0.000,118,119
L60,4034050.985,487026.532,4900269.955,0.000,0.000,0.000,120,121
L61,4034047.382,487013.686,4900274.166,0.000,0.000,0.000,122,123
L62,4034022.551,487024.910,4900293.400,0.000,0.000,0.000,124,125
L63,4034032.612,487026.243,4900285.015,0.000,0.000,0.000,126,127
L64,4034041.195,487040.904,4900276.526,0.000,0.000,0.000,128,129
L65,4034035.163,487019.979,4900283.510,0.000,0.000,0.000,130,131
L66,4034051.788,487040.342,4900267.838,0.000,0.000,0.000,132,133
L67,4034048.393,487034.349,4900271.230,0.000,0.000,0.000,134,135
L68,4034039.452,487002.925,4900281.672,0.000,0.000,0.000,136,137
L69,4034037.337,487001.134,4900283.604,0.000,0.000,0.000,138,139
L70,4034038.988,487021.971,4900280.238,0.000,0.000,0.000,140,141
L71,4034024.438,487016.325,4900292.763,0.000,0.000,0.000,142,143
L72,4034047.837,487027.119,4900272.438,0.000,0.000,0.000,144,145
L73,4034031.686,487042.061,4900284.268,0.000,0.000,0.000,146,147
L74,4034043.911,487040.675,4900274.285,0.000,0.000,0.000,148,149
L75,4034032.219,487054.560,4900282.540,0.000,0.000,0.000,150,151
L76,4034038.058,487017.005,4900281.451,0.000,0.000,0.000,152,153
L77,4034050.331,487021.534,4900271.006,0.000,0.000,0.000,154,155
L78,4034027.162,487009.289,4900291.124,0.000,0.000,0.000,156,157
L79,4034018.875,487032.963,4900295.647,0.000,0.000,0.000,158,159
L80,4034024.633,487029.369,4900291.272,0.000,0.000,0.000,160,161
L81,4034036.094,487048.600,4900279.992,0.000,0.000,0.000,162,163
L82,4034028.952,487036.628,4900287.020,0.000,0.000,0.000,164,165
L83,4034035.184,487023.576,4900283.147,0.000,0.000,0.000,166,167
L84,4034057.422,487017.640,4900265.545,0.000,0.000,0.000,168,169
L85,4034041.871,487026.592,4900277.349,0.000,0.000,0.000,170,171
L86,4034054.037,487049.436,4900265.046,0.000,0.000,0.000,172,173
L87,4034049.584,487042.294,4900269.452,0.000,0.000,0.000,174,175
L88,4034030.009,487025.945,4900287.165,0.000,0.000,0.000,176,177
L89,4034014.675,487038.852,4900298.535,0.000,0.000,0.000,178,179
L90,4034032.997,487018.079,4900285.459,0.000,0.000,0.000,180,181
L91,4034048.531,487002.313,4900274.328,0.000,0.000,0.000,182,183
L92,4034021.476,487039.937,4900292.808,0.000,0.000,0.000,184,185
L93,4034040.305,487018.862,4900279.436,0.000,0.000,0.000,186,187
L94,4034043.897,487015.074,4900276.922,0.000,0.000,0.000,188,189
L95,4034034.383,487039.267,4900282.315,0.000,0.000,0.000,190,191
H0,4034121.951,486997.788,4900215.290,0.000,0.000,0.000,0,1
H1,4034122.448,487002.827,4900214.390,0.000,0.000,0.000,2,3
H2,4034122.945,487007.871,4900213.494,0.000,0.000,0.000,4,5
H3,4034123.431,487012.914,4900212.592,0.000,0.000,0.000,6,7
H4,4034123.919,487017.954,4900211.693,0.000,0.000,0.000,8,9
H5,4034117.494,486993.700,4900219.334,0.000,0.000,0.000,10,11
H6,4034117.995,486998.744,4900218.434,0.000,0.000,0.000,12,13
H7,4034118.486,487003.792,4900217.534,0.000,0.000,0.000,14,15
H8,4034118.985,487008.838,4900216.630,0.000,0.000,0.000,16,17
H9,4034119.469,487013.873,4900215.726,0.000,0.000,0.000,18,19
H10,4034119.970,487018.899,4900214.834,0.000,0.000,0.000,20,21
H11,4034120.460,487023.952,4900213.931,0.000,0.000,0.000,22,23
H12,4034113.037,486989.604,4900223.364,0.000,0.000,0.000,24,25
H13,4034113.537,486994.656,4900222.457,0.000,0.000,0.000,26,27
H14,4034114.041,486999.717,4900221.553,0.000,0.000,0.000,28,29
H15,4034114.535,487004.757,4900220.669,0.000,0.000,0.000,30,31
H16,4034115.018,487009.801,4900219.772,0.000,0.000,0.000,32,33
H17,4034115.502,487014.834,4900218.867,0.000,0.000,0.000,34,35
H18,4034115.998,487019.857,4900217.971,0.000,0.000,0.000,36,37
H19,4034116.494,487024.899,4900217.069,0.000,0.000,0.000,38,39
H20,4034116.977,487029.920,4900216.144,0.000,0.000,0.000,40,41
H21,4034109.077,486990.559,4900226.518,0.000,0.000,0.000,42,43
H22,4034109.580,486995.610,4900225.612,0.000,0.000,0.000,44,45
H23,4034110.077,487000.672,4900224.697,0.000,0.000,0.000,46,47
H24,4034110.583,487005.718,4900223.809,0.000,0.000,0.000,48,49
H25,4034111.071,487010.754,4900222.906,0.000,0.000,0.000,50,51
H26,4034111.560,487015.791,4900221.998,0.000,0.000,0.000,52,53
H27,4034112.045,487020.803,4900221.117,0.000,0.000,0.000,54,55
H28,4034112.527,487025.833,4900220.227,0.000,0.000,0.000,56,57
H29,4034113.031,487030.872,4900219.310,0.000,0.000,0.000,58,59
H30,4034105.127,486991.513,4900229.661,0.000,0.000,0.000,60,61
H31,4034105.613,486996.563,4900228.773,0.000,0.000,0.000,62,63
H32,4034106.106,487001.641,4900227.861,0.000,0.000,0.000,64,65
H33,4034106.609,487006.679,4900226.958,0.000,0.000,0.000,66,67
H34,4034107.108,487011.700,4900226.054,0.000,0.000,0.000,68,69
H35,4034107.592,487016.735,4900225.162,0.000,0.000,0.000,70,71
H36,4034108.076,487021.754,4900224.273,0.000,0.000,0.000,72,73
H37,4034108.568,487026.782,4900223.379,0.000,0.000,0.000,74,75
H38,4034109.068,487031.829,4900222.466,0.000,0.000,0.000,76,77
H39,4034101.167,486992.451,4900232.824,0.000,0.000,0.000,78,79
H40,4034101.649,486997.507,4900231.923,0.000,0.000,0.000,80,81
H41,4034102.145,487002.578,4900231.017,0.000,0.000,0.000,82,83
H42,4034102.634,487007.632,4900230.118,0.000,0.000,0.000,84,85
H43,4034103.121,487012.652,4900229.214,0.000,0.000,0.000,86,87
H44,4034103.614,487017.684,4900228.320,0.000,0.000,0.000,88,89
H45,4034104.093,487022.708,4900227.435,0.000,0.000,0.000,90,91
H46,4034104.592,487027.742,4900226.535,0.000,0.000,0.000,92,93
H47,4034105.093,487032.791,4900225.594,0.000,0.000,0.000,94,95
H48,4034097.189,486993.399,4900235.993,0.000,0.000,0.000,96,97
H49,4034097.675,486998.482,4900235.085,0.000,0.000,0.000,98,99
H50,4034098.174,487003.548,4900234.157,0.000,0.000,0.000,100,101
H51,4034098.676,487008.588,4900233.250,0.000,0.000,0.000,102,103
H52,4034099.179,487013.605,4900232.352,0.000,0.000,0.000,104,105
H53,4034099.672,487018.632,4900231.452,0.000,0.000,0.000,106,107
H54,4034100.157,487023.650,4900230.572,0.000,0.000,0.000,108,109
H55,4034100.628,487028.676,4900229.684,0.000,0.000,0.000,110,111
H56,4034101.094,487033.750,4900228.748,0.000,0.000,0.000,112,113
H57,4034093.231,486994.345,4900239.147,0.000,0.000,0.000,114,115
H58,4034093.715,486999.410,4900238.235,0.000,0.000,0.000,116,117
H59,4034094.206,487004.499,4900237.320,0.000,0.000,0.000,118,119
H60,4034094.711,487009.545,4900236.415,0.000,0.000,0.000,120,121
H61,4034095.199,487014.564,4900235.513,0.000,0.000,0.000,122,123
H62,4034095.686,487019.595,4900234.616,0.000,0.000,0.000,124,125
H63,4034096.176,487024.602,4900233.725,0.000,0.000,0.000,126,127
H64,4034096.673,487029.637,4900232.821,0.000,0.000,0.000,128,129
H65,4034097.142,487034.700,4900231.876,0.000,0.000,0.000,130,131
H66,4034089.267,486995.304,4900242.275,0.000,0.000,0.000,132,133
H67,4034089.750,487000.340,4900241.377,0.000,0.000,0.000,134,135
H68,4034090.236,487005.426,4900240.475,0.000,0.000,0.000,136,137
H69,4034090.741,487010.486,4900239.565,0.000,0.000,0.000,138,139
H70,4034091.242,487015.521,4900238.655,0.000,0.000,0.000,140,141
H71,4034091.726,487020.540,4900237.767,0.000,0.000,0.000,142,143
H72,4034092.208,487025.559,4900236.869,0.000,0.000,0.000,144,145
H73,4034092.705,487030.615,4900235.948,0.000,0.000,0.000,146,147
H74,4034093.181,487035.647,4900235.019,0.000,0.000,0.000,148,149
H75,4034085.305,486996.259,4900245.426,0.000,0.000,0.000,150,151
H76,4034085.790,487001.280,4900244.528,0.000,0.000,0.000,152,153
H77,4034086.275,487006.377,4900243.609,0.000,0.000,0.000,154,155
H78,4034086.774,487011.448,4900242.704,0.000,0.000,0.000,156,157
H79,4034087.271,487016.459,4900241.805,0.000,0.000,0.000,158,159
H80,4034087.746,487021.459,4900240.925,0.000,0.000,0.000,160,161
H81,4034088.238,487026.518,4900240.014,0.000,0.000,0.000,162,163
H82,4034088.748,487031.583,4900239.079,0.000,0.000,0.000,164,165
H83,4034089.244,487036.617,4900238.164,0.000,0.000,0.000,166,167
H84,4034081.842,487002.237,4900247.654,0.000,0.000,0.000,168,169
H85,4034082.322,487007.302,4900246.744,0.000,0.000,0.000,170,171
H86,4034082.806,487012.386,4900245.848,0.000,0.000,0.000,172,173
H87,4034083.298,487017.412,4900244.955,0.000,0.000,0.000,174,175
H88,4034083.791,487022.403,4900244.060,0.000,0.000,0.000,176,177
H89,4034084.299,487027.474,4900243.134,0.000,0.000,0.000,178,179
H90,4034084.778,487032.536,4900242.193,0.000,0.000,0.000,180,181
H91,4034078.371,487008.219,4900249.884,0.000,0.000,0.000,182,183
H92,4034078.851,487013.309,4900248.986,0.000,0.000,0.000,184,185
H93,4034079.351,487018.345,4900248.095,0.000,0.000,0.000,186,187
H94,4034079.839,487023.355,4900247.197,0.000,0.000,0.000,188,189
H95,4034080.324,487028.407,4900246.288,0.000,0.000,0.000,190,191
CLBA 4034037.877,487026.935,4900280.635,0.000,0.000,0.000,-1,-1
CHBA,4034101.143,487013.113,4900230.789,0.000,0.000,0.000,-1,-1
