NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3850970.305,1439050.163,4860487.165,-10.196,9.777,0.000,0,1
L1,3850965.869,1439056.983,4860488.248,-2.697,13.113,0.000,2,3
L2,3850967.358,1439050.794,4860489.591,-9.190,13.513,0.000,4,5
L3,3850963.476,1439056.542,4860490.635,-2.852,16.518,0.000,6,7
L4,3850977.426,1439078.546,4860468.215,17.870,-10.905,0.000,8,9
L5,3850973.618,1439083.467,4860469.552,23.356,-7.678,0.000,10,11
L6,3850983.179,1439079.875,4860462.357,18.518,-19.197,0.000,12,13
L7,3850980.816,1439084.231,4860462.617,23.250,-17.702,0.000,14,15
L8,3850968.266,1439045.734,4860490.973,-14.461,14.258,0.000,16,17
L9,3850970.886,1439039.249,4860491.409,-21.395,13.245,0.000,18,19
L10,3850968.657,1439037.450,4860494.240,-22.956,16.958,0.000,20,21
L11,3850965.614,1439039.581,4860496.098,-20.409,20.239,0.000,22,23
L12,3850975.179,1439065.056,4860476.179,4.391,-2.612,0.000,24,25
L13,3850971.382,1439063.711,4860480.249,3.486,3.043,0.000,26,27
L14,3850969.640,1439066.634,4860480.567,6.681,4.257,0.000,28,29
L15,3850971.337,1439069.969,4860477.551,9.873,0.664,0.000,30,31
L16,3850966.929,1439067.375,4860482.728,7.769,7.631,0.000,32,33
L17,3850964.989,1439064.044,4860485.965,4.611,11.551,0.000,34,35
L18,3850962.004,1439072.146,4860485.156,13.239,12.426,0.000,36,37
L19,3850959.732,1439069.589,4860488.358,10.911,16.492,0.000,38,39
L20,3850990.125,1439050.169,4860468.989,-12.624,-17.006,0.000,40,41
L21,3850989.206,1439042.298,4860473.277,-20.537,-12.696,0.000,42,43
L22,3850996.935,1439045.373,4860464.844,-18.351,-24.338,0.000,44,45
L23,3850992.216,1439037.419,4860472.653,-25.882,-14.861,0.000,46,47
L24,3850976.228,1439048.256,4860482.569,-12.868,2.517,0.000,48,49
L25,3850974.213,1439045.998,4860485.405,-14.923,6.120,0.000,50,51
L26,3850978.972,1439045.192,4860481.394,-16.329,0.004,0.000,52,53
L27,3850980.476,1439041.420,4860481.666,-20.360,-0.558,0.000,54,55
L28,3850988.404,1439064.982,4860464.085,2.691,-20.452,0.000,56,57
L29,3850990.255,1439067.186,4860461.423,4.711,-23.812,0.000,58,59
L30,3850993.767,1439057.917,4860462.259,-5.172,-24.946,0.000,60,61
L31,3850996.528,1439061.385,4860458.210,-1.975,-30.028,0.000,62,63
L32,3850960.956,1439075.853,4860484.495,17.148,12.398,0.000,64,65
L33,3850962.551,1439081.030,4860480.766,22.230,8.225,0.000,66,67
L34,3850956.836,1439088.934,4860482.547,30.992,12.867,0.000,68,69
L35,3850954.742,1439084.240,4860486.521,26.463,17.525,0.000,70,71
L36,3850978.904,1439063.227,4860473.563,2.069,-6.933,0.000,72,73
L37,3850976.959,1439068.599,4860472.996,7.785,-6.398,0.000,74,75
L38,3850981.611,1439064.041,4860470.725,2.566,-10.908,0.000,76,77
L39,3850980.931,1439067.570,4860469.804,6.248,-11.364,0.000,78,79
L40,3850959.020,1439051.758,4860496.815,-7.183,24.404,0.000,80,81
L41,3850956.426,1439061.322,4860495.007,2.888,24.181,0.000,82,83
L42,3850953.016,1439055.193,4860500.817,-2.943,31.177,0.000,84,85
L43,3850951.355,1439065.196,4860497.962,7.461,29.523,0.000,86,87
L44,3850979.963,1439057.017,4860475.311,-4.394,-5.943,0.000,88,89
L45,3850982.823,1439057.411,4860472.515,-4.343,-9.962,0.000,90,91
L46,3850980.664,1439052.462,4860476.661,-9.124,-5.116,0.000,92,93
L47,3850984.232,1439053.499,4860472.936,-8.505,-10.340,0.000,94,95
L48,3850972.557,1439077.703,4860473.048,17.609,-3.998,0.000,96,97
L49,3850990.111,1439056.391,4860466.279,-6.279,-19.411,0.000,98,99
L50,3850971.627,1439088.026,4860469.382,28.249,-6.765,0.000,100,101
L51,3850965.157,1439080.869,4860478.447,21.746,4.767,0.000,102,103
L52,3850984.384,1439037.681,4860479.719,-24.652,-4.381,0.000,104,105
L53,3850998.627,1439051.545,4860460.592,-12.266,-29.029,0.000,106,107
L54,3850964.004,1439088.067,4860476.355,29.227,3.520,0.000,108,109
L55,3850974.469,1439068.302,4860475.409,7.788,-2.918,0.000,110,111
L56,3850959.830,1439045.221,4860498.934,-13.948,25.857,0.000,112,113
L57,3850984.964,1439043.777,4860476.519,-18.508,-7.541,0.000,114,115
L58,3850973.497,1439042.730,4860487.492,-18.167,8.361,0.000,116,117
L59,3850993.772,1439070.660,4860456.678,7.821,-29.918,0.000,118,119
L60,3850987.288,1439058.982,4860467.733,-3.290,-16.607,0.000,120,121
L61,3850984.804,1439047.354,4860475.101,-14.841,-8.718,0.000,122,123
L62,3850959.633,1439061.181,4860492.129,2.350,19.903,0.000,124,125
L63,3850969.381,1439061.131,4860483.213,1.101,6.752,0.000,126,127
L64,3850976.574,1439073.792,4860471.076,13.127,-7.902,0.000,128,129
L65,3850972.399,1439054.857,4860483.191,-5.667,5.119,0.000,130,131
L66,3850986.987,1439071.852,4860462.377,9.870,-21.216,0.000,132,133
L67,3850984.161,1439066.670,4860467.236,4.933,-15.378,0.000,134,135
L68,3850977.977,1439038.223,4860485.356,-23.313,4.064,0.000,136,137
L69,3850976.053,1439036.835,4860487.728,-24.492,7.205,0.000,138,139
L70,3850975.933,1439056.263,4860479.336,-4.667,-0.204,0.000,140,141
L71,3850962.169,1439052.858,4860493.446,-6.448,19.720,0.000,142,143
L72,3850984.172,1439059.937,4860470.173,-1.933,-12.768,0.000,144,145
L73,3850967.167,1439076.150,4860478.670,16.687,3.890,0.000,146,147
L74,3850979.267,1439073.213,4860468.860,12.206,-11.315,0.000,148,149
L75,3850966.705,1439087.838,4860473.978,28.662,-0.041,0.000,150,151
L76,3850975.448,1439051.702,4860481.776,-9.258,2.228,0.000,152,153
L77,3850987.031,1439054.359,4860469.993,-7.972,-14.457,0.000,154,155
L78,3850965.434,1439045.851,4860493.519,-13.994,18.039,0.000,156,157
L79,3850955.411,1439069.249,4860492.469,11.095,22.464,0.000,158,159
