NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3797202.513,463087.188,5086604.779,0.000,0.000,0.000,0,1
L1,3797200.484,463086.944,5086606.304,0.000,2.550,0.000,2,3
L2,3797201.171,463089.293,5086605.588,2.250,1.350,0.000,4,5
L3,3797203.319,463089.551,5086603.973,2.250,-1.350,0.000,6,7
L4,3797204.542,463087.432,5086603.254,0.000,-2.550,0.000,8,9
L5,3797203.855,463085.083,5086603.970,-2.250,-1.350,0.000,10,11
L6,3797201.707,463084.825,5086605.585,-2.250,1.350,0.000,12,13
L7,3797198.911,463091.095,5086607.103,4.310,3.881,0.000,14,15
L8,3797201.662,463092.923,5086604.904,5.796,0.202,0.000,16,17
L9,3797204.810,463092.069,5086602.647,4.571,-3.571,0.000,18,19
L10,3797206.884,463088.929,5086601.388,1.206,-5.673,0.000,20,21
L11,3797206.912,463084.975,5086601.715,-2.723,-5.121,0.000,22,23
L12,3797204.883,463082.057,5086603.476,-5.378,-2.173,0.000,24,25
L13,3797201.744,463081.539,5086605.847,-5.516,1.792,0.000,26,27
L14,3797198.965,463083.664,5086607.718,-3.074,4.919,0.000,28,29
L15,3797197.846,463087.439,5086608.214,0.807,5.744,0.000,30,31
L16,3797195.032,463088.403,5086610.214,2.101,9.087,0.000,32,33
L17,3797195.377,463091.999,5086609.642,5.630,8.125,0.000,34,35
L18,3797197.744,463095.920,5086607.542,9.240,4.610,0.000,36,37
L19,3797203.460,463097.118,5086603.202,9.745,-2.649,0.000,38,39
L20,3797205.972,463096.138,5086601.427,8.472,-5.615,0.000,40,41
L21,3797208.686,463093.315,5086599.666,5.345,-8.557,0.000,42,43
L22,3797209.674,463089.189,5086599.298,1.130,-9.168,0.000,44,45
L23,3797209.239,463083.471,5086600.124,-4.495,-7.779,0.000,46,47
L24,3797207.607,463079.259,5086601.704,-8.481,-5.132,0.000,48,49
L25,3797204.529,463077.323,5086604.155,-10.035,-1.032,0.000,50,51
L26,3797201.388,463078.089,5086606.414,-8.899,2.745,0.000,52,53
L27,3797197.911,463080.506,5086608.778,-6.083,6.694,0.000,54,55
L28,3797195.607,463084.324,5086610.148,-2.017,8.981,0.000,56,57
L29,3797191.146,463090.419,5086612.915,4.568,13.601,0.000,58,59
L30,3797191.730,463094.115,5086612.157,8.167,12.328,0.000,60,61
L31,3797193.434,463096.295,5086610.703,10.128,9.894,0.000,62,63
L32,3797199.040,463099.832,5086606.238,12.969,2.424,0.000,64,65
L33,3797200.439,463102.169,5086604.995,15.122,0.343,0.000,66,67
L34,3797206.155,463099.430,5086601.002,11.718,-6.330,0.000,68,69
L35,3797209.573,463096.441,5086598.733,8.342,-10.121,0.000,70,71
L36,3797213.265,463093.530,5086596.255,5.010,-14.261,0.000,72,73
L37,3797212.952,463090.229,5086596.778,1.770,-13.383,0.000,74,75
L38,3797212.978,463085.493,5086597.175,-2.935,-12.712,0.000,76,77
L39,3797211.182,463078.995,5086599.078,-9.171,-9.522,0.000,78,79
L40,3797210.050,463076.671,5086600.122,-11.343,-7.774,0.000,80,81
L41,3797206.212,463074.551,5086603.152,-12.989,-2.705,0.000,82,83
L42,3797203.605,463072.132,5086605.297,-15.079,0.884,0.000,84,85
L43,3797196.834,463075.351,5086610.030,-11.073,8.794,0.000,86,87
L44,3797194.425,463078.126,5086611.570,-8.029,11.366,0.000,88,89
L45,3797191.678,463082.580,5086613.212,-3.279,14.107,0.000,90,91
L46,3797160.948,463071.100,5086636.990,-11.000,53.880,0.000,92,93
L47,3797187.350,463139.641,5086611.389,53.890,10.990,0.000,94,95
L48,3797188.354,463084.551,5086615.501,-0.924,17.931,0.000,1,0
L49,3797186.292,463086.375,5086616.868,1.133,20.215,0.000,3,2
L50,3797189.874,463100.959,5086612.928,15.184,13.610,0.000,5,4
L51,3797201.636,463106.959,5086603.686,19.734,-1.851,0.000,7,6
L52,3797205.589,463107.103,5086600.745,19.404,-6.770,0.000,9,8
L53,3797213.217,463099.058,5086595.803,10.504,-15.023,0.000,11,10
L54,3797216.918,463086.404,5086594.176,-2.502,-17.728,0.000,13,12
L55,3797217.736,463078.484,5086594.269,-10.462,-17.564,0.000,15,14
L56,3797208.489,463070.395,5086601.832,-17.387,-4.908,0.000,17,16
L57,3797202.508,463067.400,5086606.527,-19.645,2.946,0.000,19,18
L58,3797195.042,463071.468,5086611.700,-14.713,11.591,0.000,21,20
L59,3797188.566,463070.365,5086616.594,-15.034,19.776,0.000,23,22
L60,3797183.137,463081.802,5086619.608,-3.030,24.802,0.000,25,24
L61,3797182.709,463094.645,5086618.794,9.772,23.425,0.000,27,26
L62,3797184.367,463100.439,5086617.055,15.327,20.510,0.000,29,28
L63,3797187.751,463107.507,5086613.924,21.939,15.267,0.000,31,30
L64,3797201.475,463111.088,5086603.442,23.853,-2.265,0.000,33,32
L65,3797207.889,463110.277,5086598.761,22.280,-10.090,0.000,35,34
L66,3797218.002,463103.830,5086591.837,14.670,-21.660,0.000,37,36
L67,3797222.404,463090.481,5086589.752,0.890,-25.130,0.000,39,38
L68,3797223.138,463081.202,5086590.027,-8.410,-24.660,0.000,41,40
L69,3797218.468,463071.343,5086594.356,-17.640,-17.410,0.000,43,42
L70,3797208.949,463061.060,5086602.314,-26.710,-4.090,0.000,45,44
L71,3797194.680,463062.574,5086612.751,-23.500,13.360,0.000,47,46
L72,3797183.565,463063.109,5086620.939,-21.640,27.050,0.000,49,48
L73,3797179.055,463077.150,5086623.042,-7.160,30.550,0.000,51,50
L74,3797177.442,463091.681,5086622.957,7.460,30.390,0.000,53,52
L75,3797177.731,463099.633,5086622.042,15.320,28.850,0.000,55,54
L76,3797187.435,463113.493,5086613.631,27.920,14.770,0.000,57,56
L77,3797200.195,463121.255,5086603.494,34.100,-2.190,0.000,59,58
L78,3797210.038,463119.349,5086596.370,31.030,-14.100,0.000,61,60
L79,3797214.975,463111.977,5086593.362,23.120,-19.120,0.000,63,62
L80,3797225.430,463104.564,5086586.270,14.510,-30.970,0.000,65,64
L81,3797229.803,463086.135,5086584.654,-4.310,-33.650,0.000,67,66
L82,3797228.898,463077.333,5086586.101,-12.940,-31.220,0.000,69,68
L83,3797223.602,463063.198,5086591.270,-26.340,-22.560,0.000,71,70
L84,3797217.640,463060.002,5086595.968,-28.800,-14.700,0.000,73,72
L85,3797202.038,463054.063,5086608.050,-32.830,5.510,0.000,75,74
L86,3797197.337,463057.657,5086611.217,-28.700,10.800,0.000,77,76
L87,3797194.954,463052.283,5086613.455,-33.750,14.550,0.000,79,78
L88,3797170.151,463078.031,5086629.561,-5.220,41.450,0.000,81,80
L89,3797172.409,463103.283,5086625.662,19.580,34.900,0.000,83,82
L90,3797180.352,463120.184,5086618.289,35.410,22.550,0.000,85,84
L91,3797192.175,463125.930,5086609.023,39.700,7.050,0.000,87,86
L92,3797227.350,463112.712,5086584.129,22.370,-34.560,0.000,89,88
L93,3797231.595,463090.783,5086582.917,0.090,-36.560,0.000,91,90
L94,3797234.802,463074.751,5086581.955,-16.210,-38.150,0.000,93,92
L95,3797208.195,463048.832,5086603.950,-38.760,-1.340,0.000,95,94
H0,3797121.180,463113.199,5086662.741,0.958,19.587,0.000,0,1
H1,3797122.425,463118.012,5086661.395,5.587,17.330,0.000,2,3
H2,3797123.671,463122.824,5086660.048,10.216,15.072,0.000,4,5
H3,3797124.916,463127.637,5086658.701,14.845,12.814,0.000,6,7
H4,3797125.133,463111.402,5086659.972,-1.299,14.958,0.000,8,9
H5,3797126.378,463116.215,5086658.625,3.330,12.701,0.000,10,11
H6,3797127.623,463121.026,5086657.278,7.958,10.443,0.000,12,13
H7,3797128.868,463125.839,5086655.932,12.587,8.186,0.000,14,15
H8,3797126.594,463099.980,5086659.896,-12.814,14.845,0.000,16,17
H9,3797127.840,463104.791,5086658.549,-8.186,12.587,0.000,18,19
H10,3797129.084,463109.604,5086657.203,-3.557,10.330,0.000,20,21
H11,3797130.330,463114.416,5086655.856,1.072,8.072,0.000,22,23
H12,3797131.576,463119.229,5086654.509,5.701,5.814,0.000,24,25
H13,3797132.820,463124.041,5086653.162,10.330,3.557,0.000,26,27
H14,3797134.066,463128.853,5086651.815,14.958,1.299,0.000,28,29
H15,3797135.311,463133.665,5086650.469,19.587,-0.958,0.000,30,31
H16,3797130.546,463098.182,5086657.126,-15.072,10.216,0.000,32,33
H17,3797131.792,463102.994,5086655.779,-10.443,7.958,0.000,34,35
H18,3797133.037,463107.807,5086654.433,-5.814,5.701,0.000,36,37
H19,3797134.282,463112.618,5086653.086,-1.186,3.443,0.000,38,39
H20,3797135.527,463117.431,5086651.740,3.443,1.186,0.000,40,41
H21,3797136.773,463122.243,5086650.393,8.072,-1.072,0.000,42,43
H22,3797138.018,463127.056,5086649.046,12.701,-3.330,0.000,44,45
