NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826014.662,460387.065,5065372.068,0.000,0.000,0.000,0,1
L1,3826012.643,460386.822,5065373.606,0.000,2.550,0.000,2,3
L2,3826013.324,460389.170,5065372.882,2.250,1.350,0.000,4,5
L3,3826015.462,460389.428,5065371.254,2.250,-1.350,0.000,6,7
L4,3826016.681,460387.308,5065370.530,0.000,-2.550,0.000,8,9
L5,3826016.000,460384.960,5065371.254,-2.250,-1.350,0.000,10,11
L6,3826013.862,460384.702,5065372.882,-2.250,1.350,0.000,12,13
L7,3826017.559,460382.355,5065370.319,-5.023,-2.900,0.000,14,15
L8,3826014.548,460381.298,5065372.675,-5.712,1.007,0.000,16,17
L9,3826011.589,460382.940,5065374.747,-3.728,4.443,0.000,18,19
L10,3826010.069,460386.512,5065375.566,0.000,5.800,0.000,20,21
L11,3826010.697,460390.342,5065374.748,3.728,4.443,0.000,22,23
L12,3826013.181,460392.640,5065372.675,5.712,1.007,0.000,24,25
L13,3826016.358,460392.329,5065370.319,5.023,-2.900,0.000,26,27
L14,3826018.741,460389.555,5065368.781,1.984,-5.450,0.000,28,29
L15,3826019.215,460385.615,5065368.781,-1.984,-5.450,0.000,30,31
L16,3826021.827,460383.956,5065366.971,-3.944,-8.452,0.000,32,33
L17,3826020.890,460380.567,5065367.981,-7.196,-6.777,0.000,34,35
L18,3826017.907,460377.388,5065370.507,-9.996,-2.588,0.000,36,37
L19,3826012.080,460377.708,5065374.852,-8.981,4.617,0.000,38,39
L20,3826009.769,460379.305,5065376.442,-7.119,7.254,0.000,40,41
L21,3826007.565,460382.736,5065377.786,-3.449,9.482,0.000,42,43
L22,3826007.278,460386.982,5065377.618,0.801,9.203,0.000,44,45
L23,3826008.657,460392.399,5065376.093,6.014,6.674,0.000,46,47
L24,3826010.963,460396.050,5065374.033,9.363,3.257,0.000,48,49
L25,3826014.315,460397.126,5065371.419,10.030,-1.077,0.000,50,51
L26,3826017.281,460395.573,5065369.333,8.134,-4.535,0.000,52,53
L27,3826020.304,460392.336,5065367.357,4.558,-7.812,0.000,54,55
L28,3826021.939,460388.047,5065366.517,0.105,-9.204,0.000,56,57
L29,3826025.318,460381.000,5065364.617,-7.296,-12.354,0.000,58,59
L30,3826024.129,460377.577,5065365.820,-10.552,-10.360,0.000,60,61
L31,3826022.090,460375.909,5065367.501,-11.964,-7.572,0.000,62,63
L32,3826015.982,460373.939,5065372.264,-13.190,0.325,0.000,64,65
L33,3826014.216,460372.041,5065373.761,-14.863,2.808,0.000,66,67
L34,3826009.042,460376.169,5065377.271,-10.146,8.628,0.000,68,69
L35,3826006.173,460379.943,5065379.084,-6.055,11.634,0.000,70,71
L36,3826003.021,460383.712,5065381.109,-1.936,14.991,0.000,72,73
L37,3826003.877,460386.824,5065380.185,1.051,13.459,0.000,74,75
L38,3826004.638,460391.411,5065379.199,5.514,11.824,0.000,76,77
L39,3826007.486,460397.230,5065376.535,10.950,7.407,0.000,78,79
L40,3826008.987,460399.184,5065375.232,12.711,5.246,0.000,80,81
L41,3826013.119,460400.242,5065372.035,13.267,-0.055,0.000,82,83
L42,3826016.088,460401.908,5065369.656,14.566,-4.000,0.000,84,85
L43,3826022.221,460397.043,5065365.492,9.002,-10.904,0.000,86,87
L44,3826024.132,460393.737,5065364.357,5.491,-12.787,0.000,88,89
L45,3826026.097,460388.720,5065363.335,0.275,-14.481,0.000,90,91
L46,3826022.442,460322.478,5065372.066,-65.054,0.000,0.000,92,93
L47,3825963.142,460380.858,5065411.301,0.000,65.054,0.000,94,95
L48,3826029.042,460385.953,5065361.375,-2.824,-17.731,0.000,1,0
L49,3826030.770,460383.656,5065360.285,-5.311,-19.538,0.000,3,2
L50,3826024.820,460370.479,5065365.943,-17.682,-10.156,0.000,5,4
L51,3826012.241,460367.718,5065375.634,-18.918,5.914,0.000,7,6
L52,3826008.325,460368.601,5065378.494,-17.573,10.656,0.000,9,8
L53,3826002.151,460378.354,5065382.247,-7.152,16.878,0.000,11,10
L54,3826000.607,460391.549,5065382.213,6.133,16.821,0.000,13,12
L55,3826001.118,460399.420,5065381.118,13.886,15.005,0.000,15,14
L56,3826011.567,460404.850,5065372.784,18.028,1.186,0.000,17,16
L57,3826017.954,460406.199,5065367.868,18.603,-6.966,0.000,19,18
L58,3826024.630,460400.335,5065363.386,11.982,-14.396,0.000,21,20
L59,3826031.190,460399.727,5065358.517,10.594,-22.470,0.000,23,22
L60,3826034.636,460387.263,5065357.057,-2.193,-24.890,0.000,25,24
L61,3826032.925,460374.732,5065359.474,-14.429,-20.882,0.000,27,26
L62,3826030.330,460369.557,5065361.890,-19.256,-16.876,0.000,29,28
L63,3826025.822,460363.598,5065365.812,-24.633,-10.372,0.000,31,30
L64,3826011.714,460363.684,5065376.394,-22.860,7.175,0.000,33,32
L65,3826005.536,460366.122,5065380.811,-19.701,14.498,0.000,35,34
L66,3825996.644,460374.977,5065386.685,-9.846,24.238,0.000,37,36
L67,3825994.528,460389.027,5065387.003,4.356,24.765,0.000,39,38
L68,3825995.351,460398.186,5065385.558,13.351,22.368,0.000,41,40
L69,3826001.584,460406.510,5065380.127,20.870,13.362,0.000,43,42
L70,3826012.666,460414.000,5065371.132,26.980,-1.554,0.000,45,44
L71,3826026.464,460408.837,5065361.242,20.204,-17.953,0.000,47,46
L72,3826037.322,460405.453,5065353.397,15.545,-30.960,0.000,49,48
L73,3826039.432,460390.701,5065353.146,0.647,-31.375,0.000,51,50
L74,3826038.605,460376.236,5065355.075,-13.615,-28.177,0.000,53,52
L75,3826036.997,460368.625,5065356.970,-20.979,-25.034,0.000,55,54
L76,3826025.138,460357.725,5065366.856,-30.382,-8.640,0.000,57,56
L77,3826011.284,460353.523,5065377.635,-32.897,9.233,0.000,59,58
L78,3826001.912,460357.908,5065384.273,-27.423,20.240,0.000,61,60
L79,3825998.277,460366.314,5065386.243,-18.642,23.505,0.000,63,62
L80,3825989.210,460376.186,5065392.156,-7.756,33.310,0.000,65,64
L81,3825987.961,460395.145,5065391.380,11.216,32.021,0.000,67,66
L82,3825990.317,460403.423,5065388.863,19.153,27.848,0.000,69,68
L83,3825997.882,460415.723,5065382.073,30.459,16.588,0.000,71,70
L84,3826004.279,460417.266,5065377.132,31.226,8.395,0.000,73,72
L85,3826020.629,460418.978,5065364.704,30.970,-12.212,0.000,75,74
L86,3826024.669,460414.287,5065362.096,25.830,-16.536,0.000,77,76
L87,3826027.900,460418.860,5065359.257,29.983,-21.244,0.000,79,78
L88,3826048.048,460387.555,5065346.964,-3.507,-41.627,0.000,81,80
L89,3826041.628,460363.719,5065353.937,-26.404,-30.063,0.000,83,82
L90,3826031.004,460349.427,5065363.203,-39.323,-14.697,0.000,85,84
L91,3826018.405,460346.930,5065372.886,-40.295,1.359,0.000,87,86
L92,3825985.966,460368.800,5065395.258,-14.701,38.454,0.000,89,88
L93,3825985.427,460391.112,5065393.646,7.515,35.780,0.000,91,90
L94,3825984.934,460407.438,5065392.541,23.783,33.946,0.000,93,92
L95,3826015.436,460425.623,5065368.002,38.189,-6.744,0.000,95,94
H0,3826031.562,460325.594,5065364.939,-63.051,-11.818,0.000,0,1
H1,3826032.933,460330.339,5065363.481,-58.504,-14.236,0.000,2,3
H2,3826034.082,460318.882,5065363.654,-70.016,-13.948,0.000,4,5
H3,3826035.452,460323.627,5065362.196,-65.469,-16.365,0.000,6,7
H4,3826036.823,460328.373,5065360.738,-60.922,-18.783,0.000,8,9
H5,3826038.194,460333.118,5065359.280,-56.375,-21.201,0.000,10,11
H6,3826036.601,460312.171,5065362.370,-76.981,-16.077,0.000,12,13
H7,3826037.972,460316.916,5065360.912,-72.434,-18.495,0.000,14,15
H8,3826039.343,460321.661,5065359.454,-67.887,-20.913,0.000,16,17
H9,3826040.713,460326.406,5065357.996,-63.340,-23.330,0.000,18,19
H10,3826042.084,460331.152,5065356.538,-58.792,-25.748,0.000,20,21
