NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,4005672.111,450976.288,4926464.967,9.042,10.853,0.000,0,1
L1,4005677.298,450980.791,4926460.475,12.893,3.605,0.000,2,3
L2,4005672.292,450980.133,4926464.576,12.839,10.110,0.000,4,5
L3,4005676.647,450984.121,4926460.791,16.278,3.997,0.000,6,7
L4,4005696.723,450960.451,4926446.024,-9.632,-18.587,0.000,8,9
L5,4005700.395,450964.519,4926442.787,-6.031,-23.835,0.000,10,11
L6,4005698.516,450952.384,4926445.084,-17.858,-19.812,0.000,12,13
L7,4005701.885,450954.624,4926442.211,-16.037,-24.428,0.000,14,15
L8,4005668.161,450980.013,4926467.932,13.214,15.420,0.000,16,17
L9,4005663.040,450977.892,4926472.219,11.720,22.267,0.000,18,19
L10,4005661.269,450981.299,4926473.437,15.316,24.083,0.000,20,21
L11,4005662.695,450984.945,4926472.049,18.766,21.771,0.000,22,23
L12,4005685.160,450966.440,4926455.016,-2.300,-4.563,0.000,24,25
L13,4005683.584,450971.868,4926455.948,3.279,-3.265,0.000,26,27
L14,4005685.827,450973.582,4926454.021,4.713,-6.367,0.000,28,29
L15,4005688.821,450970.558,4926451.786,1.351,-9.803,0.000,30,31
L16,4005686.127,450977.083,4926453.554,8.154,-7.218,0.000,32,33
L17,4005683.108,450980.436,4926455.788,11.845,-3.794,0.000,34,35
L18,4005689.541,450982.695,4926450.428,13.319,-12.340,0.000,36,37
L19,4005687.131,450986.325,4926452.151,17.213,-9.734,0.000,38,39
L20,4005674.459,450949.499,4926464.771,-17.845,11.407,0.000,40,41
L21,4005667.759,450952.465,4926470.015,-14.098,19.601,0.000,42,43
L22,4005671.248,450941.345,4926467.895,-25.559,16.608,0.000,44,45
L23,4005664.028,450949.466,4926473.230,-16.630,24.782,0.000,46,47
L24,4005671.214,450968.700,4926466.179,1.613,13.013,0.000,48,49
L25,4005669.084,450971.919,4926467.700,5.065,15.314,0.000,50,51
L26,4005668.972,450965.663,4926468.189,-1.135,16.290,0.000,52,53
L27,4005665.992,450964.456,4926470.683,-1.977,20.271,0.000,54,55
L28,4005686.661,450948.583,4926454.938,-20.215,-4.111,0.000,56,57
L29,4005688.726,450945.599,4926453.454,-23.425,-6.360,0.000,58,59
L30,4005681.378,450942.881,4926459.584,-25.246,3.419,0.000,60,61
L31,4005684.610,450938.390,4926457.251,-30.093,-0.125,0.000,62,63
L32,4005692.521,450983.301,4926447.973,13.564,-16.241,0.000,64,65
L33,4005697.045,450980.011,4926444.516,9.756,-21.602,0.000,66,67
L34,4005702.990,450986.005,4926439.314,14.997,-30.019,0.000,68,69
L35,4005698.811,450989.862,4926442.456,19.328,-25.176,0.000,70,71
L36,4005684.069,450961.806,4926456.197,-6.772,-2.547,0.000,72,73
L37,4005688.337,450963.260,4926452.643,-5.839,-8.212,0.000,74,75
L38,4005685.071,450957.970,4926455.629,-10.702,-3.321,0.000,76,77
L39,4005687.946,450958.116,4926453.288,-10.901,-7.026,0.000,78,79
L40,4005672.113,450991.191,4926464.016,23.843,8.868,0.000,80,81
L41,4005679.817,450992.603,4926457.680,24.323,-1.195,0.000,82,83
L42,4005674.280,450998.554,4926461.789,30.896,5.111,0.000,84,85
L43,4005682.461,450998.608,4926455.153,29.971,-5.383,0.000,86,87
L44,4005678.992,450961.735,4926460.316,-6.235,3.969,0.000,88,89
L45,4005679.661,450957.783,4926460.026,-10.240,3.638,0.000,90,91
L46,4005675.261,450961.784,4926463.338,-5.740,8.745,0.000,92,93
L47,4005676.551,450956.736,4926462.614,-10.908,7.763,0.000,94,95
L48,4005695.442,450967.216,4926446.631,-2.760,-17.845,0.000,96,97
L49,4005679.668,450948.156,4926460.635,-19.802,4.910,0.000,98,99
L50,4005703.978,450966.213,4926439.775,-4.778,-28.652,0.000,100,101
L51,4005697.219,450976.524,4926444.597,6.272,-21.361,0.000,102,103
L52,4005663.322,450959.993,4926473.131,-6.090,24.286,0.000,104,105
L53,4005676.617,450937.707,4926463.775,-29.814,10.211,0.000,106,107
L54,4005703.110,450976.507,4926439.822,5.550,-28.910,0.000,108,109
L55,4005687.794,450966.689,4926452.865,-2.368,-7.972,0.000,110,111
L56,4005666.734,450991.528,4926468.354,24.821,15.717,0.000,112,113
L57,4005668.496,450957.875,4926469.072,-8.813,17.937,0.000,114,115
L58,4005666.263,450973.601,4926469.879,7.073,18.706,0.000,116,117
L59,4005692.050,450940.085,4926451.111,-29.300,-9.888,0.000,118,119
L60,4005681.505,450951.404,4926458.938,-16.796,2.123,0.000,120,121
L61,4005671.473,450957.308,4926466.695,-9.732,14.196,0.000,122,123
L62,4005680.077,450988.301,4926457.743,20.019,-0.956,0.000,124,125
L63,4005681.187,450975.136,4926457.683,6.812,-0.627,0.000,126,127
L64,4005692.641,450962.643,4926449.194,-6.967,-13.646,0.000,128,129
L65,4005676.290,450972.432,4926461.825,4.712,6.010,0.000,130,131
L66,4005692.248,450948.993,4926450.383,-20.476,-11.326,0.000,132,133
L67,4005687.573,450953.948,4926453.857,-14.996,-5.993,0.000,134,135
L68,4005663.018,450968.533,4926472.834,2.428,23.540,0.000,136,137
L69,4005661.628,450971.438,4926473.775,5.479,24.935,0.000,138,139
L70,4005677.886,450967.347,4926460.856,-0.529,4.641,0.000,140,141
L71,4005673.407,450986.694,4926463.253,19.222,7.808,0.000,142,143
L72,4005681.936,450955.407,4926458.334,-12.872,1.038,0.000,144,145
L73,4005693.504,450974.841,4926447.716,5.045,-16.375,0.000,146,147
L74,4005692.475,450959.130,4926449.552,-10.436,-12.966,0.000,148,149
L75,4005703.238,450972.906,4926439.948,1.958,-28.595,0.000,150,151
L76,4005674.008,450969.000,4926463.894,1.577,9.391,0.000,152,153
L77,4005677.602,450952.764,4926462.015,-14.978,6.944,0.000,154,155
L78,4005667.924,450983.815,4926467.882,17.018,15.218,0.000,156,157
L79,4005686.335,450992.241,4926452.419,23.184,-9.501,0.000,158,159
L80,4005683.564,450985.133,4926455.118,16.456,-5.004,0.000,160,161
L81,4005698.619,450968.507,4926443.973,-1.858,-22.089,0.000,162,163
L82,4005689.242,450978.872,4926450.914,9.558,-11.449,0.000,164,165
