-12,563 -6,4541
-13,2726    1,7248
-15,7716    -4,2843
-16,5441    2,6833
16,1327 13,3407
14,8658 19,5829
24,2154 11,1422
24,3151 16,2172
-18,1951    -9,0296
-19,488 -15,9105
-22,2205    -20,5718
-25,7877    -12,6999
3,9041  3,3027
-1,742  4,2874
-1,8492 7,7026
2,5874  9,5549
-4,6887 9,8306
-9,4169 8,1234
-7,4369 16,5615
-12,0413    15,6859
11,9652 -17,4725
5,3126  -23,553
17,0299 -25,2735
5,6213  -29,3131
-6,5766 -11,3486
-10,6499    -12,1119
-5,3212 -15,4347
-6,1064 -19,432
20,2159 -4,1196
24,0473 -3,3066
21,9001 -13,0119
27,7509 -11,6494
-6,1353 20,2508
-0,5381 23,6962
-2,0644 33,4913
-7,9707 30,6729
7,2295  -0,3092
8,5838  5,2761
11,1514 -1,1307
12,7741 2,2046
-25,4153    1,1582
-21,919 10,6075
-30,4327    7,3724
-25,4774    16,6694
4,1875  -6,0873
8,0048  -7,3558
1,8647  -10,292
7,0078  -11,4109
