NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3831438.959,463435.116,5061025.206,0.000,0.000,0.000,0,1
L1,3831436.940,463434.873,5061026.744,0.000,2.550,0.000,2,3
L2,3831437.621,463437.221,5061026.020,2.250,1.350,0.000,4,5
L3,3831439.759,463437.479,5061024.392,2.250,-1.350,0.000,6,7
L4,3831440.978,463435.359,5061023.668,0.000,-2.550,0.000,8,9
L5,3831440.297,463433.011,5061024.392,-2.250,-1.350,0.000,10,11
L6,3831438.159,463432.753,5061026.020,-2.250,1.350,0.000,12,13
L7,3831442.267,463438.948,5061022.376,3.409,-4.692,0.000,14,15
L8,3831443.590,463435.266,5061021.717,-0.405,-5.786,0.000,16,17
L9,3831442.745,463431.514,5061022.690,-4.029,-4.172,0.000,18,19
L10,3831440.129,463429.447,5061024.840,-5.768,-0.606,0.000,20,21
L11,3831436.966,463430.033,5061027.162,-4.808,3.243,0.000,22,23
L12,3831434.735,463432.997,5061028.568,-1.599,5.575,0.000,24,25
L13,3831434.480,463436.952,5061028.402,2.359,5.299,0.000,26,27
L14,3831436.322,463440.049,5061026.740,5.213,2.543,0.000,28,29
L15,3831439.397,463440.837,5061024.360,5.628,-1.403,0.000,30,31
L16,3831440.311,463444.161,5061023.374,8.818,-3.039,0.000,32,33
L17,3831443.170,463443.169,5061021.318,7.492,-6.448,0.000,34,35
L18,3831446.185,463439.632,5061019.374,3.619,-9.671,0.000,36,37
L19,3831446.852,463432.388,5061019.528,-3.653,-9.415,0.000,38,39
L20,3831445.941,463429.440,5061020.478,-6.470,-7.839,0.000,40,41
L21,3831443.545,463426.534,5061022.539,-9.069,-4.421,0.000,42,43
L22,3831440.194,463425.962,5061025.106,-9.236,-0.165,0.000,44,45
L23,3831435.644,463427.398,5061028.392,-7.266,5.283,0.000,46,47
L24,3831432.359,463430.072,5061030.616,-4.218,8.971,0.000,48,49
L25,3831430.967,463434.175,5061031.290,0.022,10.088,0.000,50,51
L26,3831431.740,463437.933,5061030.370,3.660,8.563,0.000,52,53
L27,3831433.850,463441.846,5061028.433,7.293,5.350,0.000,54,55
L28,3831437.021,463444.092,5061025.850,9.143,1.067,0.000,56,57
L29,3831442.122,463448.641,5061021.609,13.049,-5.965,0.000,58,59
L30,3831445.048,463447.338,5061019.531,11.406,-9.411,0.000,60,61
L31,3831446.705,463444.894,5061018.508,8.781,-11.107,0.000,62,63
L32,3831449.249,463437.418,5061017.274,1.055,-13.152,0.000,64,65
L33,3831451.046,463435.324,5061016.115,-1.239,-15.075,0.000,66,67
L34,3831448.564,463428.699,5061018.577,-7.520,-10.992,0.000,68,69
L35,3831445.999,463424.947,5061020.841,-10.938,-7.238,0.000,70,71
L36,3831443.483,463420.849,5061023.100,-14.706,-3.492,0.000,72,73
L37,3831440.859,463421.752,5061024.988,-13.495,-0.361,0.000,74,75
L38,3831437.070,463422.463,5061027.767,-12.336,4.248,0.000,76,77
