NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3845433.443,413580.563,5054755.909,0.000,0.000,0.000,0,1
L1,3845431.428,413580.320,5054757.453,0.000,2.550,0.000,2,3
L2,3845432.117,413582.669,5054756.740,2.250,1.350,0.000,4,5
L3,3845434.251,413582.927,5054755.105,2.250,-1.350,0.000,6,7
L4,3845435.458,413580.806,5054754.365,0.000,-2.550,0.000,8,9
L5,3845434.769,413578.457,5054755.078,-2.250,-1.350,0.000,10,11
L6,3845432.635,413578.199,5054756.713,-2.250,1.350,0.000,12,13
L7,3845431.434,413575.478,5054757.843,-4.808,3.243,0.000,14,15
L8,3845429.221,413578.444,5054759.274,-1.599,5.575,0.000,16,17
L9,3845428.984,413582.402,5054759.131,2.359,5.299,0.000,18,19
L10,3845430.833,413585.499,5054757.480,5.213,2.543,0.000,20,21
L11,3845433.904,413586.287,5054755.093,5.628,-1.403,0.000,22,23
L12,3845436.759,413584.396,5054753.089,3.409,-4.692,0.000,24,25
L13,3845438.062,413580.712,5054752.404,-0.405,-5.786,0.000,26,27
L14,3845437.204,413576.958,5054753.359,-4.029,-4.172,0.000,28,29
L15,3845434.586,413574.891,5054755.508,-5.768,-0.606,0.000,30,31
L16,3845434.643,413571.315,5054755.756,-9.325,-0.160,0.000,32,33
L17,3845431.744,413571.047,5054757.971,-9.245,3.497,0.000,34,35
L18,3845428.012,413573.152,5054760.621,-6.708,7.850,0.000,36,37
L19,3845425.440,413579.813,5054762.022,0.213,10.096,0.000,38,39
L20,3845425.482,413583.027,5054761.728,3.399,9.579,0.000,40,41
L21,3845426.902,413586.835,5054760.343,7.010,7.256,0.000,42,43
L22,3845429.832,413588.813,5054757.967,8.623,3.314,0.000,44,45
L23,3845434.408,413589.376,5054754.460,8.635,-2.479,0.000,46,47
L24,3845438.156,413588.213,5054751.721,7.032,-6.988,0.000,48,49
L25,3845440.545,413584.872,5054750.187,3.429,-9.487,0.000,50,51
L26,3845440.850,413580.941,5054750.277,-0.511,-9.299,0.000,52,53
