NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3738425.901,1148173.139,5021753.822,-13.593,3.846,0.000,0,1
L1,3738419.860,1148177.474,5021757.299,-8.537,10.312,0.000,2,3
L2,3738423.080,1148171.933,5021756.179,-14.458,7.617,0.000,4,5
L3,3738417.862,1148175.495,5021759.224,-10.273,13.245,0.000,6,7
L4,3738423.568,1148207.393,5021747.763,20.898,-1.239,0.000,8,9
L5,3738418.668,1148210.136,5021750.759,24.227,4.185,0.000,10,11
L6,3738428.291,1148212.433,5021743.130,25.363,-8.256,0.000,12,13
L7,3738424.852,1148215.499,5021744.973,28.839,-4.715,0.000,14,15
L8,3738425.438,1148167.207,5021755.512,-19.462,5.800,0.000,16,17
L9,3738429.757,1148162.073,5021753.487,-25.109,1.650,0.000,18,19
L10,3738428.320,1148158.774,5021755.298,-28.231,4.196,0.000,20,21
L11,3738424.955,1148159.078,5021757.715,-27.522,8.289,0.000,22,23
L12,3738425.691,1148191.834,5021749.730,5.103,-0.245,0.000,24,25
L13,3738422.716,1148188.017,5021752.794,1.649,4.324,0.000,26,27
L14,3738420.270,1148189.976,5021754.156,3.900,6.895,0.000,28,29
L15,3738420.763,1148194.547,5021752.753,8.406,5.221,0.000,30,31
L16,3738417.627,1148189.034,5021756.322,3.277,10.385,0.000,32,33
L17,3738416.915,1148184.313,5021757.920,-1.352,12.364,0.000,34,35
L18,3738411.777,1148190.911,5021760.217,5.856,17.187,0.000,36,37
L19,3738410.533,1148186.791,5021762.071,1.891,19.684,0.000,38,39
L20,3738443.569,1148185.712,5021737.915,-3.162,-20.942,0.000,40,41
L21,3738445.156,1148176.882,5021738.749,-12.172,-20.851,0.000,42,43
L22,3738451.106,1148185.003,5021732.509,-4.777,-30.104,0.000,44,45
L23,3738449.332,1148173.676,5021736.393,-15.876,-25.272,0.000,46,47
L24,3738431.765,1148174.896,5021749.091,-12.544,-3.819,0.000,48,49
L25,3738430.659,1148171.252,5021750.736,-16.050,-1.602,0.000,50,51
L26,3738435.148,1148173.425,5021746.926,-14.420,-7.663,0.000,52,53
L27,3738437.642,1148170.426,5021745.765,-17.715,-10.051,0.000,54,55
L28,3738437.503,1148200.141,5021739.117,11.978,-16.795,0.000,56,57
L29,3738438.479,1148203.623,5021737.605,15.338,-18.813,0.000,58,59
L30,3738444.446,1148196.138,5021734.899,7.145,-24.454,0.000,60,61
L31,3738445.846,1148201.522,5021732.641,12.354,-27.440,0.000,62,63
L32,3738409.707,1148194.130,5021761.014,9.320,18.998,0.000,64,65
L33,3738409.547,1148200.565,5021759.671,15.766,17.699,0.000,66,67
L34,3738402.034,1148205.224,5021764.161,21.323,25.911,0.000,68,69
L35,3738401.604,1148198.979,5021765.898,15.138,27.897,0.000,70,71
L36,3738429.572,1148192.279,5021746.762,5.081,-5.151,0.000,72,73
L37,3738426.194,1148196.674,5021748.259,9.877,-1.994,0.000,74,75
L38,3738431.736,1148194.849,5021744.580,7.387,-8.427,0.000,76,77
L39,3738430.050,1148198.115,5021745.083,10.852,-7.101,0.000,78,79
L40,3738415.352,1148167.657,5021762.859,-17.799,18.175,0.000,80,81
L41,3738410.114,1148176.034,5021764.824,-8.802,22.706,0.000,82,83
L42,3738408.949,1148167.449,5021767.636,-17.236,26.146,0.000,84,85
L43,3738404.409,1148176.878,5021768.847,-7.273,29.570,0.000,86,87
L44,3738432.415,1148186.443,5021745.988,-1.090,-7.311,0.000,88,89
L45,3738434.844,1148188.670,5021743.687,0.842,-10.835,0.000,90,91
L46,3738434.433,1148182.116,5021745.480,-5.654,-8.801,0.000,92,93
