NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826709.325,461913.423,5064713.578,0.000,0.000,0.000,0,1
L1,3826707.306,461913.180,5064715.116,0.000,2.550,0.000,2,3
L2,3826707.987,461915.528,5064714.392,2.250,1.350,0.000,4,5
L3,3826710.125,461915.786,5064712.764,2.250,-1.350,0.000,6,7
L4,3826711.344,461913.666,5064712.040,0.000,-2.550,0.000,8,9
L5,3826710.663,461911.318,5064712.764,-2.250,-1.350,0.000,10,11
L6,3826708.525,461911.060,5064714.392,-2.250,1.350,0.000,12,13
L7,3826711.021,461918.687,5064711.829,5.023,-2.900,0.000,14,15
L8,3826713.404,461915.913,5064710.291,1.984,-5.450,0.000,16,17
L9,3826713.878,461911.973,5064710.291,-1.984,-5.450,0.000,18,19
L10,3826712.222,461908.713,5064711.829,-5.023,-2.900,0.000,20,21
L11,3826709.211,461907.656,5064714.185,-5.712,1.007,0.000,22,23
L12,3826706.252,461909.298,5064716.257,-3.728,4.443,0.000,24,25
L13,3826704.732,461912.870,5064717.076,0.000,5.800,0.000,26,27
L14,3826705.360,461916.700,5064716.258,3.728,4.443,0.000,28,29
L15,3826707.844,461918.998,5064714.185,5.712,1.007,0.000,30,31
L16,3826707.572,461922.570,5064714.067,9.291,0.810,0.000,32,33
L17,3826710.444,461923.093,5064711.864,9.467,-2.843,0.000,34,35
L18,3826714.290,461921.314,5064709.138,7.240,-7.363,0.000,36,37
L19,3826717.255,461914.874,5064707.495,0.492,-10.087,0.000,38,39
L20,3826717.406,461911.654,5064707.672,-2.723,-9.793,0.000,40,41
L21,3826716.221,461907.720,5064708.917,-6.487,-7.728,0.000,42,43
L22,3826713.421,461905.486,5064711.221,-8.370,-3.908,0.000,44,45
L23,3826708.894,461904.521,5064714.706,-8.787,1.871,0.000,46,47
L24,3826705.090,461905.357,5064717.486,-7.502,6.480,0.000,48,49
L25,3826702.508,461908.489,5064719.141,-4.083,9.225,0.000,50,51
L26,3826701.967,461912.396,5064719.194,-0.139,9.312,0.000,52,53
L27,3826702.568,461917.127,5064718.315,4.486,7.854,0.000,54,55
L28,3826704.661,461920.836,5064716.409,7.918,4.693,0.000,56,57
L29,3826707.722,461927.681,5064713.493,14.347,-0.142,0.000,58,59
L30,3826710.756,461927.946,5064711.191,14.248,-3.958,0.000,60,61
L31,3826713.032,461926.500,5064709.613,12.540,-6.575,0.000,62,63
L32,3826717.745,461920.796,5064706.592,6.313,-11.585,0.000,64,65
L33,3826720.033,461919.748,5064704.969,4.999,-14.276,0.000,66,67
L34,3826719.987,461912.291,5064705.677,-2.399,-13.101,0.000,68,69
L35,3826718.928,461907.481,5064706.907,-7.048,-11.061,0.000,70,71
L36,3826718.026,461902.369,5064708.046,-12.015,-9.172,0.000,72,73
L37,3826715.390,461901.885,5064710.068,-12.181,-5.819,0.000,74,75
L38,3826711.780,461900.628,5064712.892,-12.997,-1.137,0.000,76,77
L39,3826706.169,461901.067,5064717.063,-11.890,5.780,0.000,78,79
L40,3826703.988,461901.802,5064718.634,-10.899,8.385,0.000,80,81
L41,3826700.992,461905.785,5064720.523,-6.586,11.517,0.000,82,83
L42,3826698.208,461908.238,5064722.391,-3.818,14.614,0.000,84,85
L43,3826698.242,461917.065,5064721.568,4.942,13.248,0.000,86,87
L44,3826699.500,461920.628,5064720.301,8.328,11.148,0.000,88,89
L45,3826701.919,461925.023,5064718.088,12.403,7.478,0.000,90,91
L46,3826668.597,461875.751,5064747.554,-32.530,56.340,0.000,92,93
L47,3826676.825,461966.255,5064733.198,56.340,32.530,0.000,94,95
L48,3826702.235,461929.458,5064717.450,16.768,6.420,0.000,1,0
L49,3826702.890,461932.365,5064716.696,19.576,5.169,0.000,3,2
L50,3826715.321,461931.909,5064707.406,17.636,-10.235,0.000,5,4
L51,3826724.123,461919.574,5064701.915,4.337,-19.340,0.000,7,6
L52,3826725.649,461914.945,5064701.187,-0.442,-20.546,0.000,9,8
L53,3826722.234,461903.858,5064704.753,-11.041,-14.633,0.000,11,10
L54,3826713.888,461896.212,5064711.708,-17.633,-3.099,0.000,13,12
L55,3826708.127,461893.198,5064716.305,-19.937,4.523,0.000,15,14
L56,3826698.631,461902.021,5064722.636,-10.041,15.020,0.000,17,16
L57,3826694.198,461908.309,5064725.395,-3.268,19.594,0.000,19,18
L58,3826694.632,461918.177,5064724.177,6.477,17.575,0.000,21,20
L59,3826691.467,461925.537,5064725.887,14.163,20.410,0.000,23,22
L60,3826698.264,461934.906,5064719.939,22.652,10.546,0.000,25,24
L61,3826707.927,461938.737,5064712.340,25.299,-2.055,0.000,27,26
L62,3826712.950,461938.278,5064708.611,24.243,-8.238,0.000,29,28
L63,3826719.565,461936.110,5064703.841,21.299,-16.147,0.000,31,30
L64,3826727.221,461920.833,5064699.475,5.216,-23.385,0.000,33,32
L65,3826728.901,461913.056,5064698.917,-2.706,-24.310,0.000,35,34
L66,3826727.597,461899.440,5064701.126,-16.068,-20.646,0.000,37,36
L67,3826718.969,461890.789,5064708.385,-23.625,-8.610,0.000,39,38
L68,3826712.141,461887.527,5064713.805,-26.047,0.378,0.000,41,40
L69,3826702.934,461890.487,5064720.448,-22.007,11.393,0.000,43,42
L70,3826691.658,461899.063,5064728.137,-12.144,24.142,0.000,45,44
L71,3826687.710,461916.308,5064729.542,5.450,26.470,0.000,47,46
L72,3826684.129,461929.565,5064731.032,19.040,28.940,0.000,49,48
L73,3826693.245,461938.530,5064723.379,26.850,16.250,0.000,51,50
L74,3826703.771,461944.190,5064714.966,31.210,2.300,0.000,53,52
L75,3826709.952,461945.901,5064710.172,32.170,-5.650,0.000,55,54
L76,3826724.029,461938.029,5064700.317,22.670,-21.990,0.000,57,56
L77,3826734.536,461924.972,5064693.610,8.450,-33.110,0.000,59,58
L78,3826736.605,461912.862,5064693.152,-3.820,-33.870,0.000,61,60
L79,3826732.741,461905.124,5064696.752,-11.040,-27.900,0.000,63,62
L80,3826730.819,461890.862,5064699.483,-24.970,-23.370,0.000,65,64
L81,3826718.302,461880.923,5064709.778,-33.340,-6.300,0.000,67,66
L82,3826711.248,461879.721,5064715.181,-33.690,2.660,0.000,69,68
L83,3826698.546,461882.310,5064724.481,-29.600,18.080,0.000,71,70
L84,3826693.965,461888.527,5064727.358,-22.880,22.850,0.000,73,72
L85,3826683.833,461905.406,5064733.437,-4.910,32.930,0.000,75,74
L86,3826684.891,461911.899,5064732.056,1.410,30.640,0.000,77,76
L87,3826679.940,461913.317,5064735.645,3.410,36.590,0.000,79,78
L88,3826690.723,461949.255,5064724.302,37.800,17.780,0.000,81,80
L89,3826710.841,461953.129,5064708.851,39.240,-7.840,0.000,83,82
L90,3826726.604,461948.129,5064697.471,32.390,-26.710,0.000,85,84
L91,3826735.234,461935.652,5064692.121,18.970,-35.580,0.000,87,86
L92,3826737.739,461890.709,5064694.303,-25.950,-31.960,0.000,89,88
L93,3826722.492,461880.018,5064706.714,-34.740,-11.380,0.000,91,90
L94,3826711.396,461872.084,5064715.760,-41.290,3.620,0.000,93,92
L95,3826682.051,461896.791,5064735.554,-13.250,36.440,0.000,95,94
H0,3826669.934,461860.495,5064747.930,-47.836,56.963,0.000,0,1
H1,3826672.205,461864.624,5064745.851,-44.008,53.517,0.000,2,3
H2,3826671.105,461853.311,5064747.700,-55.109,56.582,0.000,4,5
H3,3826673.377,461857.439,5064745.621,-51.282,53.136,0.000,6,7
H4,3826675.648,461861.568,5064743.543,-47.454,49.690,0.000,8,9
H5,3826677.919,461865.697,5064741.465,-43.627,46.244,0.000,10,11
H6,3826672.277,461846.126,5064747.470,-62.382,56.201,0.000,12,13
H7,3826674.548,461850.254,5064745.391,-58.555,52.755,0.000,14,15
H8,3826676.820,461854.383,5064743.313,-54.728,49.309,0.000,16,17
H9,3826679.091,461858.512,5064741.235,-50.900,45.863,0.000,18,19
H10,3826681.362,461862.640,5064739.157,-47.073,42.417,0.000,20,21
H11,3826683.634,461866.769,5064737.079,-43.246,38.971,0.000,22,23
H12,3826675.721,461843.070,5064745.161,-65.828,52.373,0.000,24,25
H13,3826677.992,461847.198,5064743.083,-62.001,48.927,0.000,26,27
H14,3826680.263,461851.327,5064741.005,-58.174,45.481,0.000,28,29
H15,3826682.535,461855.456,5064738.927,-54.346,42.035,0.000,30,31
H16,3826684.806,461859.584,5064736.849,-50.519,38.589,0.000,32,33
H17,3826687.077,461863.713,5064734.770,-46.692,35.143,0.000,34,35
H18,3826681.435,461844.142,5064740.775,-65.447,45.100,0.000,36,37
H19,3826683.706,461848.271,5064738.697,-61.620,41.654,0.000,38,39
H20,3826685.978,461852.400,5064736.619,-57.792,38.208,0.000,40,41
H21,3826688.249,461856.528,5064734.540,-53.965,34.762,0.000,42,43
H22,3826687.149,461845.215,5064736.388,-65.066,37.827,0.000,44,45
H23,3826689.421,461849.344,5064734.310,-61.238,34.381,0.000,46,47
H24,3826681.474,461987.391,5064727.798,76.768,23.575,0.000,48,49
H25,3826683.745,461991.520,5064725.720,80.596,20.129,0.000,50,51
H26,3826682.645,461980.206,5064727.568,69.495,23.194,0.000,52,53
H27,3826684.917,461984.334,5064725.490,73.322,19.748,0.000,54,55
H28,3826687.188,461988.464,5064723.412,77.150,16.302,0.000,56,57
H29,3826689.459,461992.592,5064721.334,80.977,12.856,0.000,58,59
H30,3826683.817,461973.022,5064727.338,62.222,22.813,0.000,60,61
H31,3826686.088,461977.150,5064725.260,66.049,19.367,0.000,62,63
H32,3826688.359,461981.278,5064723.182,69.876,15.921,0.000,64,65
H33,3826690.631,461985.408,5064721.104,73.704,12.475,0.000,66,67
H34,3826692.902,461989.536,5064719.026,77.531,9.029,0.000,68,69
H35,3826695.173,461993.664,5064716.948,81.358,5.583,0.000,70,71
H36,3826687.260,461969.966,5064725.029,58.776,18.985,0.000,72,73
H37,3826689.532,461974.094,5064722.951,62.603,15.539,0.000,74,75
H38,3826691.803,461978.222,5064720.873,66.430,12.093,0.000,76,77
H39,3826694.074,461982.352,5064718.795,70.258,8.647,0.000,78,79
H40,3826696.346,461986.480,5064716.717,74.085,5.201,0.000,80,81
H41,3826698.617,461990.608,5064714.639,77.912,1.755,0.000,82,83
H42,3826692.975,461971.038,5064720.643,59.157,11.712,0.000,84,85
H43,3826695.246,461975.166,5064718.565,62.984,8.266,0.000,86,87
H44,3826697.517,461979.296,5064716.487,66.812,4.820,0.000,88,89
H45,3826699.789,461983.424,5064714.409,70.639,1.374,0.000,90,91
H46,3826698.689,461972.110,5064716.257,59.538,4.439,0.000,92,93
H47,3826700.960,461976.239,5064714.179,63.366,0.993,0.000,94,95
CLBA,3826709.325,461913.423,5064713.578,0.000,0.000,0.000,-1,-1
CHBA0,3826679.677,461854.919,5064741.120,-54.537,45.672,0.000,-1,-1
