NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3818468.029,451974.278,5071790.337,0.000,0.000,0.000,0,1
L1,3818465.996,451974.033,5071791.857,0.000,2.550,0.000,2,3
L2,3818466.676,451976.381,5071791.131,2.250,1.350,0.000,4,5
L3,3818468.828,451976.640,5071789.521,2.250,-1.350,0.000,6,7
L4,3818470.062,451974.523,5071788.817,0.000,-2.550,0.000,8,9
L5,3818469.382,451972.175,5071789.543,-2.250,-1.350,0.000,10,11
L6,3818467.230,451971.916,5071791.153,-2.250,1.350,0.000,12,13
L7,3818465.466,451969.628,5071792.672,-4.310,3.881,0.000,14,15
L8,3818463.550,451972.926,5071793.765,-0.807,5.744,0.000,16,17
L9,3818463.730,451976.856,5071793.255,3.074,4.919,0.000,18,19
L10,3818465.921,451979.580,5071791.379,5.516,1.792,0.000,20,21
L11,3818469.099,451979.824,5071789.016,5.378,-2.173,0.000,22,23
L12,3818471.775,451977.472,5071787.271,2.723,-5.121,0.000,24,25
L13,3818472.699,451973.626,5071786.960,-1.206,-5.673,0.000,26,27
L14,3818471.438,451970.086,5071788.230,-4.570,-3.571,0.000,28,29
L15,3818468.582,451968.507,5071790.485,-5.796,0.202,0.000,30,31
L16,3818468.261,451964.982,5071791.060,-9.257,1.139,0.000,32,33
L17,3818465.311,451965.219,5071793.210,-8.669,4.749,0.000,34,35
L18,3818461.773,451967.933,5071795.555,-5.551,8.707,0.000,36,37
L19,3818459.884,451974.924,5071796.273,1.616,9.969,0.000,38,39
L20,3818460.266,451978.076,5071795.688,4.699,9.013,0.000,40,41
L21,3818462.100,451981.573,5071794.001,7.952,6.210,0.000,42,43
L22,3818465.261,451983.009,5071791.535,9.000,2.082,0.000,44,45
L23,3818469.933,451982.773,5071788.117,8.206,-3.657,0.000,46,47
L24,3818473.587,451980.982,5071785.599,5.991,-7.899,0.000,48,49
L25,3818475.642,451977.286,5071784.441,2.076,-9.872,0.000,50,51
L26,3818475.533,451973.369,5071784.898,-1.800,-9.137,0.000,52,53
