NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3827429.858,460989.900,5064257.417,0.000,0.000,0.000,0,1
L1,3827427.839,460989.657,5064258.955,0.000,2.550,0.000,2,3
L2,3827428.520,460992.005,5064258.231,2.250,1.350,0.000,4,5
L3,3827430.658,460992.263,5064256.603,2.250,-1.350,0.000,6,7
L4,3827431.877,460990.143,5064255.879,0.000,-2.550,0.000,8,9
L5,3827431.196,460987.795,5064256.603,-2.250,-1.350,0.000,10,11
L6,3827429.058,460987.537,5064258.231,-2.250,1.350,0.000,12,13
L7,3827432.680,460994.298,5064254.901,4.029,-4.172,0.000,14,15
L8,3827434.392,460990.854,5064253.928,0.405,-5.786,0.000,16,17
L9,3827433.982,460986.963,5064254.587,-3.409,-4.692,0.000,18,19
L10,3827431.642,460984.446,5064256.571,-5.628,-1.403,0.000,20,21
L11,3827428.468,460984.482,5064258.950,-5.213,2.543,0.000,22,23
L12,3827425.944,460987.052,5064260.613,-2.359,5.299,0.000,24,25
L13,3827425.252,460990.956,5064260.779,1.599,5.575,0.000,26,27
L14,3827426.715,460994.364,5064259.373,4.808,3.243,0.000,28,29
L15,3827429.648,460995.684,5064257.052,5.768,-0.606,0.000,30,31
L16,3827430.174,460999.159,5064256.343,9.155,-1.782,0.000,32,33
L17,3827433.095,460998.666,5064254.195,8.316,-5.343,0.000,34,35
L18,3827436.454,460995.660,5064251.945,4.930,-9.073,0.000,36,37
L19,3827437.920,460988.548,5064251.487,-2.307,-9.832,0.000,38,39
L20,3827437.354,460985.449,5064252.192,-5.316,-8.663,0.000,40,41
L21,3827435.325,460982.132,5064254.015,-8.366,-5.640,0.000,42,43
L22,3827432.097,460980.981,5064256.543,-9.123,-1.449,0.000,44,45
L23,3827427.464,460981.623,5064259.962,-7.931,4.221,0.000,46,47
L24,3827423.936,460983.722,5064262.421,-5.425,8.297,0.000,48,49
L25,3827422.109,460987.574,5064263.444,-1.382,9.993,0.000,50,51
L26,3827422.447,460991.458,5064262.839,2.433,8.990,0.000,52,53
L27,3827424.084,460995.728,5064261.224,6.477,6.313,0.000,54,55
L28,3827426.949,460998.519,5064258.822,8.905,2.329,0.000,56,57
L29,3827431.453,461003.944,5064254.950,13.752,-4.091,0.000,58,59
L30,3827434.474,461003.152,5064252.754,12.605,-7.732,0.000,60,61
L31,3827436.375,461001.001,5064251.522,10.242,-9.776,0.000,62,63
L32,3827439.712,460993.984,5064249.651,2.876,-12.877,0.000,64,65
L33,3827441.713,460992.206,5064248.310,0.871,-15.101,0.000,66,67
L34,3827440.015,460985.164,5064250.221,-5.917,-11.932,0.000,68,69
L35,3827437.915,460980.976,5064252.176,-9.824,-8.690,0.000,70,71
L36,3827435.901,460976.449,5064254.097,-14.077,-5.505,0.000,72,73
L37,3827433.221,460976.896,5064256.068,-13.313,-2.236,0.000,74,75
L38,3827429.418,460976.947,5064258.918,-12.807,2.489,0.000,76,77
L39,3827424.039,460979.292,5064262.744,-9.836,8.833,0.000,78,79
L40,3827422.072,460980.738,5064264.089,-8.165,11.064,0.000,80,81
L41,3827420.030,460985.537,5064265.188,-3.156,12.886,0.000,82,83
L42,3827417.856,460988.815,5064266.524,0.358,15.101,0.000,84,85
L43,3827419.846,460997.157,5064264.276,8.403,11.373,0.000,86,87
L44,3827421.864,461000.096,5064262.496,11.079,8.421,0.000,88,89
L45,3827425.200,461003.424,5064259.691,13.984,3.770,0.000,90,91
L46,3827470.586,461027.572,5064223.441,32.530,-56.340,0.000,92,93
L47,3827462.358,460937.068,5064237.797,-56.340,-32.530,0.000,94,95
L48,3827426.492,461007.512,5064258.352,17.888,1.549,0.000,1,0
L49,3827427.775,461010.037,5064257.160,20.242,-0.427,0.000,3,2
L50,3827439.810,461005.333,5064248.552,14.132,-14.700,0.000,5,4
L51,3827445.666,460990.635,5064245.484,-1.161,-19.786,0.000,7,6
L52,3827446.131,460985.729,5064245.579,-6.088,-19.629,0.000,9,8
L53,3827440.339,460976.410,5064250.769,-14.647,-11.022,0.000,11,10
L54,3827430.498,460972.043,5064258.551,-17.805,1.881,0.000,13,12
L55,3827424.206,460971.171,5064263.353,-17.918,9.843,0.000,15,14
L56,3827416.892,460982.786,5064267.793,-5.512,17.205,0.000,17,16
L57,3827413.958,460990.260,5064269.319,2.259,19.736,0.000,19,18
L58,3827416.568,460999.449,5064266.529,11.070,15.109,0.000,21,20
L59,3827415.111,461007.502,5064266.895,19.240,15.715,0.000,23,22
L60,3827423.822,461014.033,5064259.766,24.682,3.894,0.000,25,24
L61,3827434.105,461014.335,5064252.021,23.752,-8.949,0.000,27,26
L62,3827438.906,461012.175,5064248.612,21.033,-14.601,0.000,29,28
L63,3827444.883,461007.849,5064244.516,16.023,-21.392,0.000,31,30
L64,3827448.970,460990.761,5064242.993,-1.431,-23.917,0.000,33,32
L65,3827448.887,460982.823,5064243.773,-9.302,-22.623,0.000,35,34
L66,3827444.595,460970.387,5064248.119,-21.136,-15.417,0.000,37,36
L67,3827434.255,460965.165,5064256.352,-25.083,-1.764,0.000,39,38
L68,3827426.866,460964.425,5064261.965,-24.934,7.543,0.000,41,40
L69,3827418.535,460970.391,5064267.680,-18.014,17.018,0.000,43,42
L70,3827409.428,460982.383,5064273.432,-5.019,26.555,0.000,45,44
L71,3827409.394,461000.057,5064271.860,12.532,23.948,0.000,47,46
L72,3827408.838,461013.837,5064271.031,26.279,22.573,0.000,49,48
L73,3827419.728,461019.184,5064262.374,30.286,8.218,0.000,51,50
L74,3827431.258,461020.924,5064253.562,30.634,-6.394,0.000,53,52
L75,3827437.670,461020.420,5064248.795,29.366,-14.299,0.000,55,54
L76,3827449.667,461008.134,5064240.900,15.733,-27.389,0.000,57,56
L77,3827457.026,460992.166,5064236.819,-1.000,-34.154,0.000,59,58
