NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826346.661,460791.787,5065086.876,0.000,0.000,0.000,0,1
L1,3826344.642,460791.544,5065088.414,0.000,2.550,0.000,2,3
L2,3826345.323,460793.892,5065087.690,2.250,1.350,0.000,4,5
L3,3826347.461,460794.150,5065086.062,2.250,-1.350,0.000,6,7
L4,3826348.680,460792.030,5065085.338,0.000,-2.550,0.000,8,9
L5,3826347.999,460789.682,5065086.062,-2.250,-1.350,0.000,10,11
L6,3826345.861,460789.424,5065087.690,-2.250,1.350,0.000,12,13
L7,3826349.025,460786.655,5065085.565,-5.378,-2.173,0.000,14,15
L8,3826345.902,460786.140,5065087.957,-5.516,1.792,0.000,16,17
L9,3826343.133,460788.266,5065089.842,-3.074,4.919,0.000,18,19
L10,3826342.016,460792.040,5065090.340,0.807,5.744,0.000,20,21
L11,3826343.072,460795.696,5065089.217,4.310,3.881,0.000,22,23
L12,3826345.808,460797.522,5065086.998,5.796,0.202,0.000,24,25
L13,3826348.943,460796.665,5065084.723,4.570,-3.571,0.000,26,27
L14,3826351.010,460793.526,5065083.455,1.206,-5.673,0.000,28,29
L15,3826351.042,460789.572,5065083.788,-2.723,-5.121,0.000,30,31
L16,3826353.463,460787.488,5065082.159,-5.082,-7.821,0.000,32,33
L17,3826352.147,460784.321,5065083.433,-8.069,-5.709,0.000,34,35
L18,3826348.816,460781.713,5065086.169,-10.259,-1.172,0.000,36,37
L19,3826343.037,460783.040,5065090.387,-8.251,5.822,0.000,38,39
L20,3826340.910,460785.009,5065091.805,-6.041,8.174,0.000,40,41
L21,3826339.096,460788.764,5065092.828,-2.096,9.869,0.000,42,43
L22,3826339.284,460792.987,5065092.305,2.074,9.002,0.000,44,45
L23,3826341.267,460798.071,5065090.357,6.884,5.772,0.000,46,47
L24,3826343.976,460801.259,5065088.035,9.725,1.922,0.000,48,49
L25,3826347.441,460801.735,5065085.392,9.783,-2.462,0.000,50,51
L26,3826350.226,460799.694,5065083.485,7.424,-5.623,0.000,52,53
L27,3826352.881,460795.988,5065081.828,3.427,-8.371,0.000,54,55
L28,3826354.032,460791.490,5065081.370,-1.177,-9.129,0.000,56,57
L29,3826356.615,460783.978,5065080.110,-8.944,-11.218,0.000,58,59
L30,3826355.045,460780.820,5065081.574,-11.891,-8.791,0.000,60,61
L31,3826352.823,460779.535,5065083.358,-12.901,-5.833,0.000,62,63
L32,3826346.509,460778.659,5065088.177,-13.016,2.158,0.000,64,65
L33,3826344.534,460777.099,5065089.800,-14.328,4.850,0.000,66,67
L34,3826339.834,460782.055,5065092.880,-8.846,9.956,0.000,68,69
L35,3826337.393,460786.262,5065094.332,-4.377,12.364,0.000,70,71
L36,3826334.671,460790.513,5065095.991,0.169,15.114,0.000,72,73
L37,3826335.873,460793.422,5065094.826,2.914,13.182,0.000,74,75
L38,3826337.146,460797.798,5065093.475,7.106,10.942,0.000,76,77
L39,3826340.639,460803.022,5065090.381,11.875,5.811,0.000,78,79
L40,3826342.355,460804.682,5065088.943,13.317,3.426,0.000,80,81
L41,3826346.596,460805.004,5065085.730,13.130,-1.901,0.000,82,83
L42,3826349.745,460806.126,5065083.265,13.867,-5.988,0.000,84,85
L43,3826355.320,460800.281,5065079.609,7.397,-12.051,0.000,86,87
L44,3826356.856,460796.700,5065078.779,3.658,-13.426,0.000,88,89
L45,3826358.256,460791.428,5065078.205,-1.743,-14.378,0.000,90,91
L46,3826338.881,460856.374,5065086.878,65.054,0.000,0.000,92,93
L47,3826398.181,460797.994,5065047.643,0.000,-65.054,0.000,94,95
L48,3826360.885,460788.198,5065076.524,-5.265,-17.165,0.000,1,0
L49,3826362.352,460785.641,5065075.654,-7.979,-18.608,0.000,3,2
L50,3826354.940,460773.724,5065082.294,-18.924,-7.596,0.000,5,4
L51,3826342.080,460773.196,5065091.995,-17.910,8.489,0.000,7,6
L52,3826338.271,460774.742,5065094.714,-15.919,12.998,0.000,9,8
L53,3826333.202,460785.398,5065097.556,-4.733,17.709,0.000,11,10
L54,3826333.139,460798.633,5065096.407,8.414,15.803,0.000,13,12
L55,3826334.530,460806.279,5065094.672,15.839,12.926,0.000,15,14
L56,3826345.564,460809.802,5065086.071,18.017,-1.335,0.000,17,16
L57,3826352.088,460810.019,5065081.155,17.452,-9.488,0.000,19,18
L58,3826358.093,460803.098,5065077.273,9.862,-15.924,0.000,21,20
L59,3826364.570,460801.362,5065072.568,7.364,-23.726,0.000,23,22
L60,3826366.614,460788.514,5065072.195,-5.636,-24.343,0.000,25,24
L61,3826363.503,460776.497,5065075.616,-17.195,-18.670,0.000,27,26
L62,3826360.334,460771.863,5065078.413,-21.417,-14.031,0.000,29,28
L63,3826355.170,460766.788,5065082.748,-25.837,-6.843,0.000,31,30
L64,3826341.102,460769.322,5065093.079,-21.639,10.287,0.000,33,32
L65,3826335.211,460772.790,5065097.187,-17.491,17.099,0.000,35,34
L66,3826327.330,460783.035,5065102.177,-6.377,25.372,0.000,37,36
L67,3826326.792,460797.210,5065101.300,7.761,23.917,0.000,39,38
L68,3826328.636,460806.067,5065099.115,16.334,20.293,0.000,41,40
L69,3826335.788,460813.167,5065093.105,22.527,10.327,0.000,43,42
L70,3826347.684,460818.603,5065083.684,26.501,-5.294,0.000,45,44
L71,3826360.873,460811.135,5065074.459,17.509,-20.590,0.000,47,46
L72,3826371.329,460805.924,5065067.082,11.085,-32.822,0.000,49,48
L73,3826371.784,460791.062,5065068.084,-3.725,-31.160,0.000,51,50
L74,3826369.340,460776.990,5065071.191,-17.404,-26.008,0.000,53,52
L75,3826366.883,460769.789,5065073.685,-24.259,-21.871,0.000,55,54
L76,3826353.830,460761.135,5065084.265,-31.289,-4.327,0.000,57,56
L77,3826339.536,460759.410,5065095.150,-31.292,13.722,0.000,59,58
L78,3826330.676,460765.346,5065101.265,-24.339,23.860,0.000,61,60
L79,3826327.989,460774.238,5065102.478,-15.189,25.871,0.000,63,62
L80,3826320.047,460785.514,5065107.420,-3.044,34.065,0.000,65,64
L81,3826320.924,460804.362,5065105.058,15.563,30.148,0.000,67,66
L82,3826324.200,460812.088,5065101.901,22.842,24.912,0.000,69,68
L83,3826333.126,460822.862,5065094.227,32.471,12.187,0.000,71,70
L84,3826339.681,460823.269,5065089.270,32.091,3.968,0.000,73,72
L85,3826356.187,460822.113,5065076.985,28.969,-16.403,0.000,75,74
L86,3826359.692,460816.802,5065074.834,23.277,-19.969,0.000,77,76
L87,3826363.429,460820.736,5065071.673,26.735,-25.210,0.000,79,78
L88,3826380.029,460786.473,5065062.310,-9.267,-40.734,0.000,81,80
L89,3826370.954,460764.164,5065071.138,-30.331,-26.095,0.000,83,82
L90,3826358.754,460751.963,5065081.398,-40.985,-9.081,0.000,85,84
L91,3826345.903,460751.694,5065091.068,-39.714,6.954,0.000,87,86
L92,3826315.984,460778.818,5065111.075,-9.206,40.126,0.000,89,88
L93,3826317.943,460800.838,5065107.614,12.421,34.386,0.000,91,90
L94,3826319.278,460816.968,5065105.154,28.276,30.306,0.000,93,92
L95,3826351.749,460829.546,5065079.644,36.879,-11.994,0.000,95,94
H0,3826310.642,460863.719,5065107.411,75.724,34.046,0.000,0,1
H1,3826313.579,460867.122,5065104.899,78.751,29.880,0.000,2,3
H2,3826310.600,460856.468,5065108.098,68.530,35.185,0.000,4,5
H3,3826313.537,460859.871,5065105.585,71.557,31.019,0.000,6,7
H4,3826316.476,460863.274,5065103.072,74.584,26.852,0.000,8,9
H5,3826319.413,460866.676,5065100.560,77.611,22.686,0.000,10,11
H6,3826310.558,460849.217,5065108.785,61.336,36.325,0.000,12,13
H7,3826313.496,460852.621,5065106.272,64.364,32.158,0.000,14,15
H8,3826316.433,460856.023,5065103.760,67.391,27.992,0.000,16,17
H9,3826319.371,460859.426,5065101.247,70.418,23.825,0.000,18,19
H10,3826322.308,460862.829,5065098.734,73.445,19.659,0.000,20,21
H11,3826325.246,460866.232,5065096.221,76.472,15.492,0.000,22,23
H12,3826313.453,460845.369,5065106.959,57.170,33.298,0.000,24,25
H13,3826316.391,460848.772,5065104.446,60.197,29.131,0.000,26,27
H14,3826319.329,460852.175,5065101.934,63.224,24.965,0.000,28,29
H15,3826322.267,460855.578,5065099.421,66.251,20.798,0.000,30,31
H16,3826325.204,460858.981,5065096.909,69.278,16.632,0.000,32,33
H17,3826328.142,460862.385,5065094.396,72.306,12.465,0.000,34,35
H18,3826319.287,460844.925,5065102.621,56.031,26.104,0.000,36,37
H19,3826322.224,460848.328,5065100.108,59.058,21.938,0.000,38,39
H20,3826325.162,460851.731,5065097.595,62.085,17.771,0.000,40,41
H21,3826328.099,460855.134,5065095.083,65.112,13.605,0.000,42,43
H22,3826325.120,460844.480,5065098.282,54.891,18.910,0.000,44,45
H23,3826328.058,460847.882,5065095.770,57.918,14.744,0.000,46,47
H24,3826393.791,460781.861,5065052.397,-15.492,-57.171,0.000,48,49
H25,3826396.728,460785.264,5065049.885,-12.465,-61.337,0.000,50,51
H26,3826393.749,460774.610,5065053.084,-22.686,-56.032,0.000,52,53
H27,3826396.686,460778.013,5065050.571,-19.659,-60.198,0.000,54,55
H28,3826399.624,460781.416,5065048.058,-16.632,-64.365,0.000,56,57
H29,3826402.562,460784.819,5065045.546,-13.605,-68.531,0.000,58,59
H30,3826393.706,460767.359,5065053.771,-29.880,-54.892,0.000,60,61
H31,3826396.644,460770.763,5065051.258,-26.852,-59.059,0.000,62,63
H32,3826399.582,460774.166,5065048.746,-23.825,-63.225,0.000,64,65
H33,3826402.520,460777.569,5065046.233,-20.798,-67.392,0.000,66,67
H34,3826405.457,460780.972,5065043.720,-17.771,-71.558,0.000,68,69
H35,3826408.395,460784.374,5065041.207,-14.744,-75.725,0.000,70,71
H36,3826396.602,460763.512,5065051.945,-34.046,-57.919,0.000,72,73
H37,3826399.540,460766.915,5065049.432,-31.019,-62.086,0.000,74,75
H38,3826402.477,460770.318,5065046.920,-27.992,-66.252,0.000,76,77
H39,3826405.415,460773.720,5065044.407,-24.965,-70.419,0.000,78,79
H40,3826408.353,460777.123,5065041.895,-21.938,-74.585,0.000,80,81
H41,3826411.291,460780.527,5065039.382,-18.910,-78.752,0.000,82,83
H42,3826402.435,460763.068,5065047.607,-35.185,-65.113,0.000,84,85
H43,3826405.373,460766.470,5065045.094,-32.158,-69.279,0.000,86,87
H44,3826408.311,460769.873,5065042.581,-29.131,-73.446,0.000,88,89
H45,3826411.248,460773.276,5065040.069,-26.104,-77.612,0.000,90,91
H46,3826408.269,460762.622,5065043.268,-36.325,-72.307,0.000,92,93
H47,3826411.206,460766.025,5065040.756,-33.298,-76.473,0.000,94,95
CLBA,3826346.661,460791.787,5065086.876,0.000,0.000,0.000,-1,-1
CHBA0,3826319.350,460855.801,5065101.590,66.821,24.395,0.000,-1,-1
CHBA1,3826402.499,460773.943,5065046.576,-24.395,-66.822,0.000,-1,-1
CHBA,3826360.925,460814.872,5065074.083,21.213,-21.214,0.000,-1,-1
