NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3370289.253,712039.231,5349991.899,-14.119,0.444,0.000,0,1
L1,3370282.509,712041.780,5349995.820,-10.778,7.940,0.000,2,3
L2,3370286.622,712037.151,5349993.827,-15.871,3.893,0.000,4,5
L3,3370280.824,712039.168,5349997.220,-13.172,10.367,0.000,6,7
L4,3370281.425,712073.199,5349992.432,20.577,3.854,0.000,8,9
L5,3370276.078,712074.485,5349995.636,22.495,9.922,0.000,10,11
L6,3370285.347,712079.739,5349989.112,26.607,-1.875,0.000,12,13
L7,3370281.412,712081.797,5349991.327,29.123,2.402,0.000,14,15
L8,3370289.741,712033.083,5349992.387,-20.287,0.919,0.000,16,17
L9,3370294.889,712029.200,5349989.645,-24.762,-4.473,0.000,18,19
L10,3370293.979,712025.423,5349990.708,-28.407,-2.758,0.000,20,21
L11,3370290.561,712024.706,5349992.956,-28.710,1.384,0.000,22,23
L12,3370286.046,712058.093,5349991.476,5.011,0.997,0.000,24,25
L13,3370283.679,712053.323,5349993.586,0.554,4.594,0.000,26,27
L14,3370280.915,712054.562,5349995.169,2.116,7.634,0.000,28,29
L15,3370280.675,712059.340,5349994.701,6.893,7.100,0.000,30,31
L16,3370278.419,712052.804,5349996.970,0.668,10.869,0.000,32,33
L17,3370278.464,712047.808,5349997.589,-4.303,11.669,0.000,34,35
L18,3370272.259,712052.923,5350000.838,1.524,18.093,0.000,36,37
L19,3370271.675,712048.374,5350001.795,-2.927,19.556,0.000,38,39
L20,3370304.932,712057.337,5349979.668,1.998,-21.085,0.000,40,41
L21,3370307.938,712048.881,5349978.869,-6.766,-23.177,0.000,42,43
L22,3370312.595,712058.914,5349974.633,2.648,-30.366,0.000,44,45
L23,3370312.633,712046.907,5349976.165,-9.290,-28.362,0.000,46,47
L24,3370294.844,712042.794,5349987.912,-11.247,-6.740,0.000,48,49
L25,3370294.321,712038.768,5349988.764,-15.185,-5.437,0.000,50,51
L26,3370298.468,712042.335,5349985.687,-12.137,-10.923,0.000,52,53
L27,3370301.447,712040.058,5349984.104,-14.757,-14.038,0.000,54,55
L28,3370296.544,712070.098,5349983.303,15.685,-13.398,0.000,56,57
L29,3370296.964,712073.921,5349982.543,19.434,-14.544,0.000,58,59
L30,3370304.139,712068.160,5349978.766,12.849,-21.999,0.000,60,61
L31,3370304.678,712074.037,5349977.665,18.625,-23.636,0.000,62,63
L32,3370269.671,712055.553,5350002.129,4.447,20.688,0.000,64,65
L33,3370268.479,712062.019,5350002.043,11.016,20.987,0.000,66,67
L34,3370260.207,712064.450,5350006.942,14.422,30.300,0.000,68,69
L35,3370260.777,712057.995,5350007.419,7.939,30.731,0.000,70,71
L36,3370289.861,712059.726,5349988.860,6.177,-3.768,0.000,72,73
L37,3370285.773,712063.147,5349990.993,10.066,0.455,0.000,74,75
L38,3370291.616,712062.985,5349987.331,9.206,-6.389,0.000,76,77
L39,3370289.404,712065.780,5349988.363,12.248,-4.264,0.000,78,79
L40,3370279.568,712030.468,5349999.139,-21.668,13.329,0.000,80,81
L41,3370272.980,712037.356,5350002.401,-14.033,19.902,0.000,82,83
L42,3370273.189,712028.309,5350003.441,-23.049,21.200,0.000,84,85
L43,3370267.130,712036.473,5350006.203,-14.210,26.932,0.000,86,87
L44,3370293.644,712054.682,5349987.128,0.711,-7.357,0.000,88,89
L45,3370295.720,712057.676,5349985.432,3.438,-10.309,0.000,90,91
L46,3370296.359,712050.916,5349985.905,-3.357,-9.907,0.000,92,93
L47,3370298.690,712055.176,5349983.883,0.598,-13.375,0.000,94,95
L48,3370277.973,712067.937,5349995.290,15.761,8.811,0.000,96,97
L49,3370301.970,712063.343,5349980.757,8.322,-18.627,0.000,98,99
L50,3370272.341,712077.078,5349997.657,25.519,13.875,0.000,100,101
L51,3370270.616,712064.244,5350000.407,12.971,18.094,0.000,102,103
L52,3370306.312,712040.009,5349981.043,-15.388,-19.751,0.000,104,105
L53,3370311.006,712066.431,5349974.661,10.309,-29.780,0.000,106,107
L54,3370266.290,712070.155,5350002.368,19.364,22.173,0.000,108,109
L55,3370283.945,712060.586,5349992.478,7.740,3.042,0.000,110,111
L56,3370283.310,712024.882,5349997.505,-27.667,9.882,0.000,112,113
L57,3370303.880,712046.438,5349981.744,-8.708,-17.988,0.000,114,115
L58,3370295.304,712034.953,5349988.638,-19.095,-5.943,0.000,116,117
L59,3370298.099,712080.495,5349980.975,25.831,-17.001,0.000,118,119
L60,3370298.508,712063.273,5349982.949,8.667,-14.543,0.000,120,121
L61,3370302.056,712049.753,5349982.464,-5.195,-16.409,0.000,122,123
L62,3370275.583,712040.147,5350000.398,-11.571,16.364,0.000,124,125
L63,3370283.320,712049.000,5349994.373,-3.700,5.754,0.000,126,127
L64,3370283.007,712067.821,5349992.132,15.043,2.911,0.000,128,129
L65,3370288.683,712045.684,5349991.422,-7.637,0.013,0.000,130,131
L66,3370292.165,712075.453,5349985.369,21.531,-9.162,0.000,132,133
L67,3370292.387,712067.857,5349986.214,13.955,-8.127,0.000,134,135
L68,3370300.986,712034.682,5349985.091,-20.044,-12.579,0.000,136,137
L69,3370300.122,712031.582,5349986.037,-23.022,-11.034,0.000,138,139
L70,3370290.813,712050.274,5349989.484,-3.331,-3.275,0.000,140,141
L71,3370281.538,712034.409,5349997.387,-17.987,10.340,0.000,142,143
L72,3370295.589,712061.352,5349985.038,7.107,-10.782,0.000,144,145
L73,3370274.445,712061.512,5349998.347,9.798,14.057,0.000,146,147
L74,3370285.411,712069.720,5349990.370,16.642,-0.241,0.000,148,149
L75,3370268.536,712072.401,5350000.661,21.327,19.148,0.000,150,151
L76,3370292.592,712045.417,5349988.992,-8.371,-4.539,0.000,152,153
L77,3370300.496,712058.564,5349982.305,3.749,-16.078,0.000,154,155
L78,3370287.445,712030.610,5349994.155,-22.470,4.041,0.000,156,157
L79,3370268.416,712044.099,5350004.404,-6.786,24.118,0.000,158,159
L80,3370275.074,712045.503,5350000.025,-6.188,16.049,0.000,160,161
L81,3370274.795,712070.361,5349996.980,18.550,12.135,0.000,162,163
L82,3370274.963,712054.872,5349998.880,3.137,14.580,0.000,164,165
L83,3370286.834,712048.716,5349992.194,-4.403,1.670,0.000,166,167
L84,3370308.398,712060.751,5349977.041,4.976,-25.744,0.000,168,169
L85,3370290.894,712056.362,5349988.645,2.710,-4.409,0.000,170,171
L86,3370289.406,712084.756,5349985.903,31.107,-7.505,0.000,172,173
L87,3370289.271,712075.480,5349987.190,21.904,-5.763,0.000,174,175
L88,3370281.303,712046.739,5349995.937,-5.705,8.512,0.000,176,177
L89,3370261.921,712045.818,5350008.276,-4.300,31.464,0.000,178,179
L90,3370287.839,712042.449,5349992.373,-10.751,1.557,0.000,180,181
L91,3370308.840,712041.079,5349979.311,-14.627,-22.907,0.000,182,183
L92,3370267.022,712051.959,5350004.264,1.193,24.417,0.000,184,185
L93,3370293.514,712048.680,5349987.988,-5.238,-6.180,0.000,186,187
L94,3370298.408,712048.237,5349984.960,-6.264,-11.860,0.000,188,189
L95,3370278.144,712061.208,5349996.054,9.053,9.758,0.000,190,191
H0,3370249.046,712121.942,5350005.924,-0.872,27.720,0.000,0,1
H1,3370249.817,712126.904,5350004.779,3.968,25.958,0.000,2,3
H2,3370250.587,712131.866,5350003.634,8.807,24.197,0.000,4,5
H3,3370251.357,712136.827,5350002.490,13.646,22.436,0.000,6,7
H4,3370252.128,712141.789,5350001.345,18.486,20.674,0.000,8,9
H5,3370252.577,712115.726,5350004.529,-7.473,24.642,0.000,10,11
H6,3370253.348,712120.689,5350003.384,-2.633,22.880,0.000,12,13
H7,3370254.118,712125.650,5350002.239,2.206,21.119,0.000,14,15
H8,3370254.888,712130.612,5350001.094,7.046,19.358,0.000,16,17
H9,3370255.659,712135.573,5349999.949,11.885,17.596,0.000,18,19
H10,3370256.429,712140.535,5349998.805,16.724,15.835,0.000,20,21
