NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3828721.154,454781.087,5063850.822,0.000,0.000,0.000,0,1
L1,3828719.134,454780.844,5063852.359,0.000,2.550,0.000,2,3
L2,3828719.816,454783.192,5063851.636,2.250,1.350,0.000,4,5
L3,3828721.954,454783.450,5063850.008,2.250,-1.350,0.000,6,7
L4,3828723.174,454781.330,5063849.285,0.000,-2.550,0.000,8,9
L5,3828722.492,454778.982,5063850.008,-2.250,-1.350,0.000,10,11
L6,3828720.354,454778.724,5063851.636,-2.250,1.350,0.000,12,13
L7,3828719.075,454786.392,5063851.902,5.516,1.792,0.000,14,15
L8,3828722.232,454786.634,5063849.512,5.378,-2.173,0.000,16,17
L9,3828724.885,454784.279,5063847.735,2.723,-5.121,0.000,18,19
L10,3828725.792,454780.431,5063847.402,-1.206,-5.673,0.000,20,21
L11,3828724.529,454776.891,5063848.669,-4.570,-3.571,0.000,22,23
L12,3828721.687,454775.313,5063850.943,-5.796,0.202,0.000,24,25
L13,3828718.595,454776.438,5063853.161,-4.310,3.881,0.000,26,27
L14,3828716.700,454779.738,5063854.284,-0.807,5.744,0.000,28,29
L15,3828716.890,454783.669,5063853.787,3.074,4.919,0.000,30,31
L16,3828714.583,454785.951,5063855.311,5.615,7.447,0.000,32,33
L17,3828716.078,454788.984,5063853.917,8.448,5.133,0.000,34,35
L18,3828719.562,454791.286,5063851.096,10.316,0.453,0.000,36,37
L19,3828725.276,454789.465,5063846.974,7.825,-6.384,0.000,38,39
L20,3828727.295,454787.322,5063845.653,5.456,-8.576,0.000,40,41
L21,3828728.901,454783.433,5063844.800,1.402,-9.991,0.000,42,43
L22,3828728.475,454779.253,5063845.496,-2.697,-8.835,0.000,44,45
L23,3828726.204,454774.373,5063847.640,-7.270,-5.278,0.000,46,47
L24,3828723.312,454771.440,5063850.075,-9.836,-1.239,0.000,48,49
L25,3828719.814,454771.269,5063852.714,-9.587,3.139,0.000,50,51
L26,3828717.139,454773.540,5063854.515,-7.013,6.127,0.000,52,53
L27,3828714.689,454777.453,5063855.999,-2.835,8.589,0.000,54,55
L28,3828713.788,454782.024,5063856.262,1.811,9.025,0.000,56,57
L29,3828711.623,454789.714,5063857.192,9.705,10.567,0.000,58,59
L30,3828713.372,454792.715,5063855.609,12.475,7.940,0.000,60,61
L31,3828715.670,454793.799,5063853.788,13.277,4.919,0.000,62,63
L32,3828722.043,454794.121,5063848.978,12.834,-3.060,0.000,64,65
L33,3828724.109,454795.498,5063847.304,13.954,-5.837,0.000,66,67
L34,3828728.539,454790.166,5063844.464,8.130,-10.549,0.000,68,69
L35,3828730.747,454785.772,5063843.204,3.504,-12.639,0.000,70,71
L36,3828733.235,454781.311,5063841.740,-1.223,-15.066,0.000,72,73
L37,3828731.867,454778.523,5063843.018,-3.827,-12.946,0.000,74,75
L38,3828730.347,454774.286,5063844.541,-7.852,-10.419,0.000,76,77
L39,3828726.555,454769.398,5063847.826,-12.251,-4.969,0.000,78,79
L40,3828724.743,454767.898,5063849.321,-13.524,-2.489,0.000,80,81
L41,3828720.477,454767.946,5063852.516,-12.966,2.812,0.000,82,83
L42,3828717.260,454767.105,5063855.005,-13.416,6.941,0.000,84,85
L43,3828712.003,454773.399,5063858.379,-6.538,12.538,0.000,86,87
L44,3828710.666,454777.092,5063859.049,-2.712,13.649,0.000,88,89
L45,3828709.561,454782.452,5063859.394,2.742,14.221,0.000,90,91
L46,3828747.069,454735.019,5063835.544,-48.837,-25.342,0.000,92,93
L47,3828685.498,454751.289,5063880.256,-25.319,48.832,0.000,94,95
L48,3828707.109,454785.890,5063860.923,6.449,16.756,0.000,1,0
L49,3828705.783,454788.559,5063861.676,9.257,18.006,0.000,3,2
L50,3828713.876,454799.757,5063854.595,19.407,6.258,0.000,5,4
L51,3828726.787,454799.166,5063844.965,17.275,-9.718,0.000,7,6
L52,3828730.515,454797.296,5063842.337,14.973,-14.077,0.000,9,8
L53,3828734.993,454786.266,5063839.975,3.486,-17.996,0.000,11,10
L54,3828734.313,454773.108,5063841.672,-9.496,-15.178,0.000,13,12
L55,3828732.491,454765.630,5063843.714,-16.702,-11.790,0.000,15,14
L56,3828721.242,454763.088,5063852.381,-17.880,2.588,0.000,17,16
L57,3828714.695,454763.440,5063857.260,-16.748,10.682,0.000,19,18
L58,3828709.069,454770.841,5063860.811,-8.727,16.573,0.000,21,20
L59,3828702.678,454773.129,5063865.398,-5.691,24.182,0.000,23,22
L60,3828701.353,454786.074,5063865.223,7.320,23.891,0.000,25,24
L61,3828705.143,454797.746,5063861.326,18.455,17.425,0.000,27,26
L62,3828708.578,454802.077,5063858.360,22.344,12.503,0.000,29,28
L63,3828714.035,454806.670,5063853.852,26.251,5.024,0.000,31,30
L64,3828727.983,454802.930,5063843.728,20.869,-11.771,0.000,33,32
L65,3828733.689,454798.971,5063839.806,16.256,-18.277,0.000,35,34
L66,3828741.008,454788.103,5063835.298,4.591,-25.755,0.000,37,36
L67,3828740.751,454773.970,5063836.766,-9.410,-23.318,0.000,39,38
L68,3828738.406,454765.327,5063839.306,-17.710,-19.104,0.000,41,40
L69,3828730.844,454758.895,5063845.558,-23.192,-8.731,0.000,43,42
L70,3828718.623,454754.527,5063855.118,-26.067,7.130,0.000,45,44
L71,3828705.831,454763.095,5063863.939,-16.030,21.762,0.000,47,46
L72,3828695.653,454769.183,5063871.024,-8.768,33.515,0.000,49,48
L73,3828696.032,454783.993,5063869.402,5.890,30.824,0.000,51,50
L74,3828699.270,454797.764,5063865.730,19.175,24.731,0.000,53,52
L75,3828702.134,454804.706,5063862.955,25.725,20.126,0.000,55,54
L76,3828715.695,454812.171,5063852.110,31.514,2.134,0.000,57,56
L77,3828730.108,454812.644,5063841.257,30.259,-15.871,0.000,59,58
L78,3828738.650,454805.974,5063835.452,22.615,-25.500,0.000,61,60
L79,3828740.841,454796.903,5063834.628,13.347,-26.867,0.000,63,62
L80,3828748.163,454785.007,5063830.211,0.661,-34.194,0.000,65,64
L81,3828746.227,454766.351,5063833.347,-17.629,-28.989,0.000,67,66
L82,3828742.511,454758.959,5063836.801,-24.524,-23.258,0.000,69,68
L83,3828732.966,454749.028,5063844.857,-33.242,-9.893,0.000,71,70
L84,3828726.377,454749.194,5063849.784,-32.289,-1.719,0.000,73,72
L85,3828709.909,454751.777,5063861.902,-27.754,18.384,0.000,75,74
L86,3828706.697,454757.359,5063863.808,-21.828,21.545,0.000,77,76
L87,3828702.733,454753.776,5063867.104,-24.911,27.014,0.000,79,78
L88,3828688.031,454789.270,5063874.927,12.086,39.988,0.000,81,80
L89,3828698.372,454810.652,5063865.240,32.078,23.916,0.000,83,82
L90,3828711.278,454821.716,5063854.561,41.519,6.200,0.000,85,84
L91,3828724.164,454820.865,5063844.973,39.132,-9.707,0.000,87,86
L92,3828752.608,454791.308,5063826.307,6.385,-40.670,0.000,89,88
L93,3828749.409,454769.594,5063830.667,-14.790,-33.435,0.000,91,90
L94,3828747.166,454753.681,5063833.786,-30.321,-28.259,0.000,93,92
