NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3727205.393,655171.409,5117004.066,-13.116,5.246,0.000,0,1
L1,3727199.877,655176.485,5117007.407,-7.413,11.148,0.000,2,3
L2,3727202.382,655170.576,5117006.348,-13.583,9.086,0.000,4,5
L3,3727197.592,655174.781,5117009.275,-8.832,14.246,0.000,6,7
L4,3727207.654,655205.678,5116998.070,20.654,-3.416,0.000,8,9
L5,3727203.077,655209.030,5117000.952,24.532,1.630,0.000,10,11
L6,3727213.104,655210.066,5116993.573,24.361,-10.862,0.000,12,13
L7,3727210.045,655213.550,5116995.340,28.188,-7.704,0.000,14,15
L8,3727204.126,655165.585,5117005.723,-18.749,7.802,0.000,16,17
L9,3727207.795,655159.938,5117003.790,-24.798,4.266,0.000,18,19
L10,3727205.899,655156.851,5117005.553,-27.637,7.124,0.000,20,21
L11,3727202.542,655157.586,5117007.886,-26.505,11.120,0.000,22,23
L12,3727207.701,655189.975,5117000.035,5.050,-0.777,0.000,24,25
L13,3727204.183,655186.573,5117003.011,2.092,4.128,0.000,26,27
L14,3727201.976,655188.831,5117004.318,4.599,6.450,0.000,28,29
L15,3727203.090,655193.301,5117002.944,8.906,4.314,0.000,30,31
L16,3727199.180,655188.238,5117006.414,4.345,9.985,0.000,32,33
L17,3727197.825,655183.649,5117007.978,-0.052,12.437,0.000,34,35
L18,3727193.525,655190.854,5117010.169,7.620,16.481,0.000,36,37
L19,3727191.715,655186.929,5117011.977,3.938,19.378,0.000,38,39
L20,3727224.930,655181.597,5116988.649,-5.334,-20.496,0.000,40,41
L21,3727225.344,655172.636,5116989.490,-14.285,-19.465,0.000,42,43
L22,3727232.447,655179.922,5116983.428,-7.897,-29.440,0.000,44,45
L23,3727229.129,655168.918,5116987.228,-18.431,-23.475,0.000,46,47
L24,3727211.552,655172.394,5116999.489,-12.874,-2.487,0.000,48,49
L25,3727209.944,655168.924,5117001.093,-16.129,0.084,0.000,50,51
L26,3727214.769,655170.500,5116997.405,-15.141,-6.113,0.000,52,53
L27,3727216.884,655167.204,5116996.296,-18.668,-8.144,0.000,54,55
