NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826923.942,460915.117,5064643.229,0.000,0.000,0.000,0,1
L1,3826921.923,460914.874,5064644.767,0.000,2.550,0.000,2,3
L2,3826922.604,460917.222,5064644.043,2.250,1.350,0.000,4,5
L3,3826924.742,460917.480,5064642.415,2.250,-1.350,0.000,6,7
L4,3826925.961,460915.360,5064641.691,0.000,-2.550,0.000,8,9
L5,3826925.280,460913.012,5064642.415,-2.250,-1.350,0.000,10,11
L6,3826923.142,460912.754,5064644.043,-2.250,1.350,0.000,12,13
L7,3826923.732,460920.901,5064642.864,5.768,-0.606,0.000,14,15
L8,3826926.764,460919.515,5064640.713,4.029,-4.172,0.000,16,17
L9,3826928.476,460916.071,5064639.740,0.405,-5.786,0.000,18,19
L10,3826928.066,460912.180,5064640.399,-3.409,-4.692,0.000,20,21
L11,3826925.726,460909.663,5064642.383,-5.628,-1.403,0.000,22,23
L12,3826922.552,460909.699,5064644.762,-5.213,2.543,0.000,24,25
L13,3826920.028,460912.269,5064646.425,-2.359,5.299,0.000,26,27
L14,3826919.336,460916.173,5064646.591,1.599,5.575,0.000,28,29
L15,3826920.799,460919.581,5064645.185,4.808,3.243,0.000,30,31
L16,3826919.387,460922.786,5064645.955,8.159,4.519,0.000,32,33
L17,3826921.777,460924.732,5064643.985,9.805,1.253,0.000,34,35
L18,3826925.788,460925.017,5064640.948,9.608,-3.782,0.000,36,37
L19,3826930.536,460920.496,5064637.793,4.552,-9.014,0.000,38,39
L20,3826931.725,460917.562,5064637.166,1.496,-10.053,0.000,40,41
L21,3826931.955,460913.279,5064637.380,-2.783,-9.698,0.000,42,43
L22,3826930.189,460909.769,5064639.023,-6.057,-6.974,0.000,44,45
L23,3826926.470,460906.570,5064642.104,-8.788,-1.865,0.000,46,47
L24,3826922.805,460905.422,5064644.959,-9.489,2.869,0.000,48,49
L25,3826919.478,460907.043,5064647.310,-7.482,6.767,0.000,50,51
L26,3826917.718,460910.424,5064648.325,-3.915,8.450,0.000,52,53
L27,3826916.706,460915.156,5064648.657,0.904,9.000,0.000,54,55
L28,3826917.359,460919.687,5064647.757,5.325,7.508,0.000,56,57
L29,3826917.849,460927.642,5064646.671,13.164,5.706,0.000,58,59
L30,3826920.467,460929.430,5064644.544,14.626,2.179,0.000,60,61
L31,3826922.970,460929.232,5064642.683,14.130,-0.906,0.000,62,63
L32,3826929.037,460926.287,5064638.395,10.480,-8.016,0.000,64,65
L33,3826931.419,460926.467,5064636.591,10.374,-11.008,0.000,66,67
L34,3826933.818,460919.467,5064635.423,3.137,-12.944,0.000,68,69
L35,3826934.446,460914.429,5064635.406,-1.940,-12.971,0.000,70,71
L36,3826935.315,460909.190,5064635.228,-7.245,-13.266,0.000,72,73
L37,3826933.123,460907.398,5064637.035,-8.762,-10.270,0.000,74,75
L38,3826930.316,460904.391,5064639.414,-11.411,-6.325,0.000,76,77
L39,3826925.171,460901.956,5064643.496,-13.213,0.444,0.000,78,79
L40,3826922.985,460901.538,5064645.175,-13.367,3.227,0.000,80,81
L41,3826919.010,460903.744,5064647.959,-10.701,7.843,0.000,82,83
L42,3826915.727,460904.626,5064650.344,-9.433,11.798,0.000,84,85
L43,3826912.870,460912.903,5064651.740,-0.874,14.113,0.000,86,87
L44,3826912.826,460916.874,5064651.414,3.074,13.572,0.000,88,89
L45,3826913.545,460922.213,5064650.392,8.289,11.877,0.000,90,91
L46,3826916.162,460979.704,5064643.231,65.054,0.000,0.000,92,93
L47,3826975.462,460921.324,5064603.996,0.000,-65.054,0.000,94,95
L48,3826912.376,460926.522,5064650.879,12.707,12.685,0.000,1,0
L49,3826912.010,460929.574,5064650.879,15.781,12.684,0.000,3,2
L50,3826923.241,460935.454,5064641.917,20.275,-2.177,0.000,5,4
L51,3826935.123,460928.379,5064633.638,11.829,-15.904,0.000,7,6
L52,3826937.998,460924.821,5064631.801,7.953,-18.950,0.000,9,8
L53,3826938.579,460912.716,5064632.459,-4.135,-17.858,0.000,11,10
L54,3826933.640,460901.330,5064637.196,-14.848,-10.003,0.000,13,12
L55,3826929.490,460895.587,5064640.830,-20.053,-3.977,0.000,15,14
L56,3826918.138,460899.025,5064649.040,-15.282,9.637,0.000,17,16
L57,3826912.129,460902.660,5064653.222,-10.955,16.570,0.000,19,18
L58,3826909.288,460912.110,5064654.500,-1.232,18.690,0.000,21,20
L59,3826904.059,460917.392,5064657.948,4.637,24.406,0.000,23,22
L60,3826907.053,460929.605,5064654.596,16.404,18.848,0.000,25,24
L61,3826914.416,460938.089,5064648.303,23.947,8.412,0.000,27,26
L62,3826919.044,460940.209,5064644.637,25.498,2.334,0.000,29,28
L63,3826925.651,460941.536,5064639.558,26.025,-6.088,0.000,31,30
L64,3826937.473,460931.128,5064631.625,14.277,-19.242,0.000,33,32
L65,3826941.515,460924.704,5064629.172,7.416,-23.309,0.000,35,34
L66,3826944.806,460911.304,5064627.913,-6.281,-25.396,0.000,37,36
L67,3826939.943,460898.833,5064632.690,-18.081,-17.474,0.000,39,38
L68,3826934.923,460892.318,5064637.047,-23.949,-10.249,0.000,41,40
L69,3826925.747,460890.418,5064644.107,-24.738,1.457,0.000,43,42
L70,3826912.888,460892.720,5064653.551,-20.914,17.116,0.000,45,44
L71,3826903.727,460906.847,5064659.150,-5.793,26.400,0.000,47,46
L72,3826896.198,460917.436,5064663.845,5.621,34.184,0.000,49,48
L73,3826901.395,460930.448,5064658.767,17.918,25.764,0.000,51,50
L74,3826908.929,460941.084,5064652.151,27.576,14.793,0.000,53,52
L75,3826913.879,460945.821,5064648.008,31.687,7.922,0.000,55,54
L76,3826929.002,460945.599,5064636.676,29.658,-10.868,0.000,57,56
L77,3826942.638,460938.710,5064627.063,21.187,-26.807,0.000,59,58
L78,3826948.445,460928.433,5064623.633,10.289,-32.494,0.000,61,60
L79,3826947.528,460919.233,5064625.153,1.265,-29.973,0.000,63,62
L80,3826950.485,460904.914,5064624.227,-13.305,-31.507,0.000,65,64
L81,3826942.573,460889.265,5064631.581,-27.895,-19.313,0.000,67,66
L82,3826936.680,460884.557,5064636.430,-31.864,-11.272,0.000,69,68
L83,3826924.504,460880.544,5064645.932,-34.392,4.484,0.000,71,70
L84,3826918.397,460884.034,5064650.201,-30.197,11.562,0.000,73,72
L85,3826903.840,460894.689,5064660.165,-17.877,28.083,0.000,75,74
L86,3826902.661,460901.294,5064660.453,-11.178,28.560,0.000,77,76
L87,3826897.781,460900.110,5064664.222,-11.770,34.811,0.000,79,78
L88,3826895.638,460939.209,5064662.297,27.305,31.616,0.000,81,80
L89,3826912.304,460953.029,5064648.538,39.032,8.801,0.000,83,82
L90,3826927.992,460956.349,5064636.462,40.451,-11.223,0.000,85,84
