NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3829792.203,452829.524,5063221.330,0.000,0.000,0.000,0,1
L1,3829790.184,452829.281,5063222.868,0.000,2.550,0.000,2,3
L2,3829790.865,452831.629,5063222.144,2.250,1.350,0.000,4,5
L3,3829793.003,452831.887,5063220.516,2.250,-1.350,0.000,6,7
L4,3829794.222,452829.767,5063219.792,0.000,-2.550,0.000,8,9
L5,3829793.541,452827.419,5063220.516,-2.250,-1.350,0.000,10,11
L6,3829791.403,452827.161,5063222.144,-2.250,1.350,0.000,12,13
L7,3829792.736,452823.749,5063221.452,-5.797,0.202,0.000,14,15
L8,3829789.645,452824.875,5063223.670,-4.310,3.881,0.000,16,17
L9,3829787.751,452828.175,5063224.794,-0.807,5.744,0.000,18,19
L10,3829787.940,452832.107,5063224.297,3.074,4.919,0.000,20,21
L11,3829790.124,452834.829,5063222.411,5.516,1.792,0.000,22,23
L12,3829793.281,452835.071,5063220.020,5.378,-2.173,0.000,24,25
L13,3829795.933,452832.716,5063218.242,2.723,-5.121,0.000,26,27
L14,3829796.840,452828.868,5063217.909,-1.206,-5.673,0.000,28,29
L15,3829795.578,452825.327,5063219.176,-4.571,-3.571,0.000,30,31
L16,3829797.159,452822.241,5063218.268,-7.824,-5.077,0.000,32,33
L17,3829794.894,452820.084,5063220.163,-9.694,-1.934,0.000,34,35
L18,3829790.924,452819.450,5063223.200,-9.849,3.102,0.000,36,37
L19,3829785.951,452823.563,5063226.562,-5.170,8.675,0.000,38,39
L20,3829784.605,452826.400,5063227.315,-2.193,9.925,0.000,40,41
L21,3829784.136,452830.667,5063227.282,2.100,9.869,0.000,42,43
L22,3829785.694,452834.336,5063225.781,5.556,7.380,0.000,44,45
L23,3829789.212,452837.863,5063222.822,8.637,2.473,0.000,46,47
L24,3829792.789,452839.331,5063220.004,9.666,-2.200,0.000,48,49
L25,3829796.186,452837.997,5063217.574,7.936,-6.228,0.000,50,51
L26,3829798.125,452834.765,5063216.411,4.495,-8.157,0.000,52,53
L27,3829799.396,452830.115,5063215.878,-0.274,-9.041,0.000,54,55
L28,3829799.001,452825.520,5063216.589,-4.788,-7.861,0.000,56,57
L29,3829798.961,452817.512,5063217.343,-12.734,-6.610,0.000,58,59
L30,3829796.459,452815.494,5063219.403,-14.438,-3.194,0.000,60,61
L31,3829793.961,452815.475,5063221.280,-14.158,-0.082,0.000,62,63
L32,3829787.767,452817.897,5063225.711,-11.013,7.265,0.000,64,65
L33,3829785.409,452817.509,5063227.516,-11.116,10.258,0.000,66,67
L34,3829782.632,452824.310,5063228.985,-4.032,12.694,0.000,68,69
L35,3829781.725,452829.299,5063229.215,1.030,13.075,0.000,70,71
L36,3829780.569,452834.470,5063229.616,6.302,13.739,0.000,72,73
L37,3829782.645,452836.454,5063227.878,8.024,10.857,0.000,74,75
L38,3829785.267,452839.709,5063225.616,10.942,7.106,0.000,76,77
L39,3829790.244,452842.595,5063221.619,13.212,0.479,0.000,78,79
L40,3829792.392,452843.205,5063219.951,13.560,-2.287,0.000,80,81
L41,3829796.466,452841.341,5063217.062,11.222,-7.077,0.000,82,83
L42,3829799.779,452840.744,5063214.630,10.233,-11.111,0.000,84,85
L43,3829803.083,452832.704,5063212.876,1.856,-14.018,0.000,86,87
L44,3829803.348,452828.732,5063213.036,-2.120,-13.753,0.000,88,89
L45,3829802.934,452823.322,5063213.836,-7.441,-12.426,0.000,90,91
L46,3829760.917,452797.441,5063247.714,-28.110,43.750,0.000,92,93
L47,3829764.710,452870.268,5063238.284,43.740,28.110,0.000,94,95
L48,3829804.336,452819.110,5063213.164,-11.791,-13.540,0.000,1,0
L49,3829804.872,452816.085,5063213.035,-14.858,-13.754,0.000,3,2
L50,3829794.040,452809.221,5063221.786,-20.377,0.758,0.000,5,4
L51,3829781.836,452815.273,5063230.400,-12.909,15.040,0.000,7,6
L52,3829778.778,452818.584,5063232.396,-9.256,18.349,0.000,9,8
L53,3829777.522,452830.655,5063232.248,2.879,18.103,0.000,11,10
L54,3829781.792,452842.486,5063227.973,14.114,11.015,0.000,13,12
L55,3829785.593,452848.597,5063224.567,19.727,5.367,0.000,15,14
L56,3829797.069,452846.142,5063216.175,15.917,-8.548,0.000,17,16
L57,3829803.244,452843.027,5063211.822,12.085,-15.766,0.000,19,18
L58,3829806.597,452833.809,5063210.138,2.532,-18.558,0.000,21,20
L59,3829812.090,452828.976,5063206.452,-2.923,-24.670,0.000,23,22
L60,3829809.799,452816.485,5063209.301,-15.050,-19.946,0.000,25,24
L61,3829802.958,452807.349,5063215.261,-23.302,-10.062,0.000,27,26
L62,3829798.478,452804.824,5063218.852,-25.273,-4.107,0.000,29,28
L63,3829791.987,452802.920,5063223.897,-26.387,4.258,0.000,31,30
L64,3829779.654,452812.314,5063232.305,-15.585,18.199,0.000,33,32
L65,3829775.277,452818.395,5063235.041,-9.024,22.735,0.000,35,34
L66,3829771.255,452831.528,5063236.873,4.495,25.772,0.000,37,36
L67,3829775.388,452844.438,5063232.604,16.818,18.693,0.000,39,38
L68,3829780.011,452851.399,5063228.504,23.176,11.895,0.000,41,40
L69,3829789.024,452854.100,5063221.495,24.780,0.272,0.000,43,42
L70,3829801.931,452852.913,5063211.914,22.057,-15.615,0.000,45,44
L71,3829811.829,452839.565,5063205.691,7.621,-25.932,0.000,47,46
L72,3829819.905,452829.615,5063200.528,-3.223,-34.493,0.000,49,48
L73,3829815.470,452816.134,5063205.076,-16.077,-26.951,0.000,51,50
L74,3829808.580,452804.829,5063211.269,-26.477,-16.681,0.000,53,52
L75,3829803.926,452799.655,5063215.230,-31.057,-10.113,0.000,55,54
L76,3829788.884,452798.562,5063226.620,-30.343,8.773,0.000,57,56
L77,3829774.947,452804.273,5063236.565,-23.006,25.263,0.000,59,58
L78,3829768.599,452814.059,5063240.445,-12.530,31.697,0.000,61,60
L79,3829768.994,452823.350,5063239.309,-3.353,29.812,0.000,63,62
L80,3829765.253,452837.431,5063240.845,11.074,32.358,0.000,65,64
L81,3829772.237,452853.790,5063234.123,26.480,21.212,0.000,67,66
L82,3829777.830,452859.017,5063229.453,31.000,13.467,0.000,69,68
L83,3829789.705,452864.094,5063220.080,34.621,-2.074,0.000,71,70
L84,3829795.970,452861.132,5063215.645,30.930,-9.428,0.000,73,72
L85,3829811.035,452851.729,5063205.187,19.793,-26.768,0.000,75,74
L86,3829812.577,452845.217,5063204.619,13.143,-27.711,0.000,77,76
L87,3829817.360,452846.827,5063200.883,14.170,-33.905,0.000,79,78
L88,3829821.682,452807.861,5063201.160,-25.034,-33.443,0.000,81,80
L89,3829805.895,452792.574,5063214.392,-38.323,-11.502,0.000,83,82
L90,3829790.491,452787.884,5063226.379,-41.136,8.374,0.000,85,84
L91,3829778.380,452794.165,5063234.902,-33.452,22.506,0.000,87,86
L92,3829759.261,452833.522,5063245.695,7.910,40.401,0.000,89,88
L93,3829768.297,452852.160,5063237.229,25.333,26.361,0.000,91,90
L94,3829774.822,452865.864,5063231.092,38.158,16.185,0.000,93,92
L95,3829809.314,452860.606,5063205.677,28.812,-25.957,0.000,95,94
H0,3829759.303,452774.290,5063251.017,14.296,13.424,0.000,0,1
H1,3829762.925,452776.501,5063248.099,16.057,8.585,0.000,2,3
H2,3829766.547,452778.712,5063245.180,17.819,3.745,0.000,4,5
H3,3829770.169,452780.922,5063242.262,19.580,-1.094,0.000,6,7
H4,3829761.277,452769.653,5063249.955,9.456,11.663,0.000,8,9
H5,3829764.899,452771.864,5063247.036,11.218,6.823,0.000,10,11
H6,3829768.521,452774.075,5063244.118,12.979,1.984,0.000,12,13
H7,3829772.143,452776.286,5063241.199,14.741,-2.856,0.000,14,15
H8,3829756.007,452760.596,5063254.729,1.094,19.580,0.000,16,17
H9,3829759.628,452762.807,5063251.811,2.856,14.741,0.000,18,19
H10,3829763.251,452765.017,5063248.892,4.617,9.901,0.000,20,21
H11,3829766.872,452767.227,5063245.974,6.378,5.062,0.000,22,23
H12,3829770.495,452769.438,5063243.055,8.140,0.222,0.000,24,25
H13,3829774.116,452771.648,5063240.137,9.901,-4.617,0.000,26,27
H14,3829777.738,452773.860,5063237.219,11.663,-9.456,0.000,28,29
H15,3829781.360,452776.070,5063234.300,13.424,-14.296,0.000,30,31
H16,3829757.980,452755.960,5063253.667,-3.745,17.819,0.000,32,33
H17,3829761.602,452758.170,5063250.748,-1.984,12.979,0.000,34,35
H18,3829765.224,452760.381,5063247.830,-0.222,8.140,0.000,36,37
H19,3829768.846,452762.591,5063244.911,1.539,3.300,0.000,38,39
H20,3829772.468,452764.801,5063241.993,3.300,-1.539,0.000,40,41
H21,3829776.090,452767.012,5063239.075,5.062,-6.378,0.000,42,43
H22,3829779.712,452769.222,5063236.156,6.823,-11.218,0.000,44,45
H23,3829783.334,452771.434,5063233.238,8.585,-16.057,0.000,46,47
H24,3829759.954,452751.322,5063252.604,-8.585,16.057,0.000,48,49
H25,3829763.576,452753.534,5063249.686,-6.823,11.218,0.000,50,51
H26,3829767.198,452755.744,5063246.767,-5.062,6.378,0.000,52,53
H27,3829770.820,452757.955,5063243.849,-3.300,1.539,0.000,54,55
H28,3829774.442,452760.165,5063240.931,-1.539,-3.300,0.000,56,57
H29,3829778.064,452762.375,5063238.012,0.222,-8.140,0.000,58,59
H30,3829781.686,452764.586,5063235.094,1.984,-12.979,0.000,60,61
H31,3829785.308,452766.796,5063232.175,3.745,-17.819,0.000,62,63
H32,3829761.928,452746.686,5063251.542,-13.424,14.296,0.000,64,65
H33,3829765.550,452748.896,5063248.623,-11.663,9.456,0.000,66,67
H34,3829769.172,452751.108,5063245.705,-9.901,4.617,0.000,68,69
H35,3829772.793,452753.318,5063242.787,-8.140,-0.222,0.000,70,71
H36,3829776.416,452755.529,5063239.868,-6.378,-5.062,0.000,72,73
H37,3829780.037,452757.739,5063236.950,-4.617,-9.901,0.000,74,75
H38,3829783.660,452759.949,5063234.031,-2.856,-14.741,0.000,76,77
H39,3829787.281,452762.160,5063231.113,-1.094,-19.580,0.000,78,79
H40,3829771.145,452746.470,5063244.643,-14.741,2.856,0.000,80,81
H41,3829774.767,452748.681,5063241.724,-12.979,-1.984,0.000,82,83
H42,3829778.389,452750.892,5063238.806,-11.218,-6.823,0.000,84,85
H43,3829782.011,452753.103,5063235.887,-9.456,-11.663,0.000,86,87
H44,3829773.119,452741.834,5063243.580,-19.580,1.094,0.000,88,89
H45,3829776.741,452744.044,5063240.662,-17.819,-3.745,0.000,90,91
H46,3829780.363,452746.255,5063237.743,-16.057,-8.585,0.000,92,93
H47,3829783.985,452748.466,5063234.825,-14.296,-13.424,0.000,94,95
CLBA,3829792.203,452829.524,5063221.330,0.000,0.000,0.000,-1,-1
CHBA,3829771.644,452761.378,5063242.921,0.000,0.000,0.000,-1,-1
0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1
0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,-1
