NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3877847.841,467456.599,5025437.344,0.000,0.000,0.000,0,1
L1,3877845.833,467456.357,5025438.898,0.000,2.550,0.000,2,3
L2,3877846.511,467458.705,5025438.169,2.250,1.350,0.000,4,5
L3,3877848.637,467458.961,5025436.524,2.250,-1.350,0.000,6,7
L4,3877849.849,467456.841,5025435.790,0.000,-2.550,0.000,8,9
L5,3877849.171,467454.493,5025436.519,-2.250,-1.350,0.000,10,11
L6,3877847.045,467454.237,5025438.164,-2.250,1.350,0.000,12,13
L7,3877852.164,467458.335,5025433.889,1.206,-5.673,0.000,14,15
L8,3877852.196,467454.381,5025434.221,-2.723,-5.121,0.000,16,17
L9,3877850.191,467451.465,5025436.014,-5.378,-2.173,0.000,18,19
L10,3877847.085,467450.952,5025438.430,-5.516,1.792,0.000,20,21
L11,3877844.333,467453.081,5025440.338,-3.073,4.919,0.000,22,23
L12,3877843.223,467456.855,5025440.845,0.807,5.744,0.000,24,25
L13,3877844.274,467460.510,5025439.713,4.310,3.881,0.000,26,27
L14,3877846.993,467462.335,5025437.473,5.796,0.202,0.000,28,29
L15,3877850.109,467461.475,5025435.173,4.570,-3.571,0.000,30,31
L16,3877852.040,467463.973,5025433.475,6.819,-6.363,0.000,32,33
L17,3877854.376,467461.639,5025431.903,4.222,-8.938,0.000,34,35
L18,3877856.030,467456.954,5025431.064,-0.627,-10.307,0.000,36,37
L19,3877854.294,467450.158,5025433.001,-7.167,-7.115,0.000,38,39
L20,3877852.487,467447.994,5025434.575,-9.099,-4.529,0.000,40,41
L21,3877849.314,467446.621,5025437.120,-10.083,-0.350,0.000,42,43
L22,3877846.012,467447.812,5025439.532,-8.505,3.606,0.000,44,45
L23,3877842.248,467451.404,5025442.080,-4.489,7.782,0.000,46,47
L24,3877840.063,467455.456,5025443.382,-0.204,9.911,0.000,48,49
L25,3877840.103,467459.820,5025442.958,4.124,9.207,0.000,50,51
L26,3877842.043,467462.777,5025441.211,6.827,6.334,0.000,52,53
L27,3877845.279,467465.192,5025438.524,8.838,1.921,0.000,54,55
L28,3877848.958,467465.583,5025435.682,8.786,-2.744,0.000,56,57
L29,3877855.181,467467.046,5025430.801,9.494,-10.756,0.000,58,59
L30,3877857.479,467464.400,5025429.286,6.592,-13.237,0.000,60,61
L31,3877858.224,467461.380,5025428.990,3.505,-13.718,0.000,62,63
L32,3877858.159,467453.425,5025429.757,-4.385,-12.444,0.000,64,65
L33,3877859.149,467450.645,5025429.252,-7.264,-13.268,0.000,66,67
L34,3877854.686,467446.001,5025433.077,-11.341,-6.983,0.000,68,69
