NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,4152561.412,828854.349,4754358.699,-13.920,2.404,0.000,0,1
L1,4152555.686,828858.040,4754363.277,-9.569,9.363,0.000,2,3
L2,4152558.894,828852.782,4754361.185,-15.175,6.064,0.000,4,5
L3,4152553.957,828855.786,4754365.159,-11.601,12.099,0.000,6,7
L4,4152557.628,828888.963,4754356.960,20.913,0.952,0.000,8,9
L5,4152553.020,828891.170,4754360.757,23.657,6.695,0.000,10,11
L6,4152561.697,828894.662,4754352.474,26.087,-5.560,0.000,12,13
L7,4152558.409,828897.374,4754355.015,29.174,-1.675,0.000,14,15
L8,4152561.275,828848.251,4754359.725,-19.961,3.734,0.000,16,17
L9,4152565.467,828843.539,4754356.671,-25.143,-0.983,0.000,18,19
L10,4152564.315,828840.005,4754358.226,-28.515,1.222,0.000,20,21
L11,4152561.228,828839.912,4754361.003,-28.238,5.366,0.000,22,23
L12,4152560.317,828873.367,4754356.863,5.101,0.290,0.000,24,25
L13,4152557.786,828869.123,4754359.757,1.188,4.472,0.000,26,27
L14,4152555.457,828870.826,4754361.589,3.158,7.265,0.000,28,29
L15,4152555.687,828875.541,4754360.685,7.814,6.071,0.000,30,31
L16,4152553.088,828869.550,4754363.898,2.174,10.671,0.000,32,33
L17,4152552.667,828864.655,4754365.000,-2.637,12.155,0.000,34,35
L18,4152547.655,828870.761,4754368.581,4.027,17.705,0.000,36,37
L19,4152546.719,828866.415,4754370.062,-0.177,19.774,0.000,38,39
L20,4152576.939,828869.272,4754342.593,-0.956,-21.157,0.000,40,41
L21,4152578.815,828860.467,4754342.218,-9.926,-22.009,0.000,42,43
L22,4152583.857,828869.453,4754336.374,-1.604,-30.439,0.000,44,45
L23,4152582.783,828857.702,4754339.076,-13.147,-26.793,0.000,46,47
L24,4152566.682,828856.841,4754353.614,-12.076,-5.109,0.000,48,49
L25,4152565.848,828852.997,4754354.930,-15.794,-3.271,0.000,50,51
L26,4152569.843,828855.747,4754350.947,-13.540,-9.128,0.000,52,53
L27,4152572.265,828852.992,4754349.187,-16.567,-11.848,0.000,54,55
L28,4152570.704,828883.244,4754346.104,13.668,-15.451,0.000,56,57
L29,4152571.427,828886.908,4754344.914,17.221,-17.107,0.000,58,59
L30,4152577.237,828879.998,4754340.738,9.662,-23.573,0.000,60,61
L31,4152578.257,828885.650,4754338.988,15.154,-25.999,0.000,62,63
L32,4152545.611,828873.792,4754369.962,7.283,19.868,0.000,64,65
L33,4152545.153,828880.329,4754369.403,13.830,19.250,0.000,66,67
L34,4152538.067,828884.175,4754375.175,18.498,27.998,0.000,68,69
L35,4152537.976,828877.761,4754376.207,12.139,29.327,0.000,70,71
L36,4152563.840,828874.286,4754353.574,5.592,-4.591,0.000,72,73
L37,4152560.543,828878.359,4754355.921,10.032,-0.951,0.000,74,75
L38,4152565.692,828877.162,4754351.490,8.227,-7.608,0.000,76,77
L39,4152563.995,828880.288,4754352.546,11.535,-5.927,0.000,78,79
L40,4152552.043,828847.500,4754368.099,-19.602,16.215,0.000,80,81
L41,4152546.856,828855.407,4754371.571,-11.127,21.662,0.000,82,83
L42,4152546.206,828846.523,4754373.467,-19.874,24.201,0.000,84,85
L43,4152541.604,828855.583,4754376.244,-10.324,28.648,0.000,86,87
L44,4152566.718,828868.681,4754351.828,-0.320,-7.384,0.000,88,89
L45,4152568.829,828871.241,4754349.560,1.970,-10.687,0.000,90,91
L46,4152568.770,828864.515,4754350.608,-4.703,-9.344,0.000,92,93
L47,4152571.223,828868.268,4754347.857,-1.269,-13.328,0.000,94,95
L48,4152554.091,828884.430,4754360.797,16.834,6.532,0.000,96,97
L49,4152574.876,828875.673,4754343.491,5.649,-19.604,0.000,98,99
