NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3826304.675,462822.765,5064934.074,0.000,0.000,0.000,0,1
L1,3826302.656,462822.522,5064935.612,0.000,2.550,0.000,2,3
L2,3826303.337,462824.870,5064934.888,2.250,1.350,0.000,4,5
L3,3826305.475,462825.128,5064933.260,2.250,-1.350,0.000,6,7
L4,3826306.694,462823.008,5064932.536,0.000,-2.550,0.000,8,9
L5,3826306.013,462820.660,5064933.260,-2.250,-1.350,0.000,10,11
L6,3826303.875,462820.402,5064934.888,-2.250,1.350,0.000,12,13
L7,3826300.196,462824.601,5064937.270,2.359,5.299,0.000,14,15
L8,3826302.038,462827.698,5064935.608,5.213,2.543,0.000,16,17
L9,3826305.113,462828.486,5064933.228,5.628,-1.403,0.000,18,19
L10,3826307.983,462826.597,5064931.244,3.409,-4.692,0.000,20,21
L11,3826309.306,462822.915,5064930.585,-0.405,-5.786,0.000,22,23
L12,3826308.461,462819.163,5064931.558,-4.029,-4.172,0.000,24,25
L13,3826305.845,462817.096,5064933.708,-5.768,-0.606,0.000,26,27
L14,3826302.682,462817.682,5064936.030,-4.808,3.243,0.000,28,29
L15,3826300.451,462820.646,5064937.436,-1.599,5.575,0.000,30,31
L16,3826297.636,462820.127,5064939.596,-1.777,9.156,0.000,32,33
L17,3826296.764,462823.663,5064939.931,1.838,9.712,0.000,34,35
L18,3826297.579,462828.523,5064938.880,6.566,7.969,0.000,36,37
L19,3826302.259,462832.526,5064935.005,9.980,1.544,0.000,38,39
L20,3826304.810,462832.878,5064933.059,10.024,-1.684,0.000,40,41
L21,3826308.144,462831.606,5064930.671,8.363,-5.643,0.000,42,43
L22,3826310.375,462828.247,5064929.300,4.761,-7.916,0.000,44,45
L23,3826311.863,462822.682,5064928.686,-0.942,-8.934,0.000,46,47
L24,3826311.797,462817.921,5064929.166,-5.661,-8.138,0.000,48,49
L25,3826309.701,462814.559,5064931.043,-8.748,-5.025,0.000,50,51
L26,3826306.661,462813.691,5064933.403,-9.246,-1.112,0.000,52,53
L27,3826302.782,462814.197,5064936.270,-8.280,3.641,0.000,54,55
L28,3826299.484,462816.605,5064938.527,-5.495,7.384,0.000,56,57
L29,3826293.526,462820.053,5064942.688,-1.359,14.283,0.000,58,59
L30,3826292.832,462823.803,5064942.869,2.447,14.584,0.000,60,61
L31,3826293.629,462826.700,5064942.009,5.228,13.158,0.000,62,63
L32,3826297.444,462832.834,5064938.591,10.862,7.490,0.000,64,65
L33,3826297.920,462835.725,5064937.973,13.675,6.464,0.000,66,67
L34,3826303.892,462836.047,5064933.461,13.280,-1.017,0.000,68,69
L35,3826307.907,462834.976,5064930.545,11.737,-5.853,0.000,70,71
L36,3826312.137,462834.117,5064927.447,10.378,-10.990,0.000,72,73
L37,3826312.944,462830.872,5064927.135,7.060,-11.507,0.000,74,75
L38,3826314.520,462826.458,5064926.350,2.489,-12.807,0.000,76,77
L39,3826315.057,462819.478,5064926.578,-4.505,-12.429,0.000,78,79
L40,3826314.815,462816.735,5064927.008,-7.200,-11.716,0.000,80,81
L41,3826312.103,462812.816,5064929.397,-10.766,-7.754,0.000,82,83
L42,3826310.583,462809.240,5064930.862,-14.135,-5.325,0.000,84,85
L43,3826303.517,462808.834,5064936.202,-13.692,3.530,0.000,86,87
L44,3826300.469,462810.214,5064938.366,-11.958,7.117,0.000,88,89
L45,3826296.569,462812.991,5064941.042,-8.734,11.554,0.000,90,91
L46,3826312.455,462758.178,5064934.072,-65.054,0.000,0.000,92,93
L47,3826253.155,462816.558,5064973.307,0.000,65.054,0.000,94,95
L48,3826292.973,462813.159,5064943.726,-8.137,16.005,0.000,1,0
L49,3826290.544,462813.823,5064945.489,-7.187,18.928,0.000,3,2
L50,3826288.940,462829.265,5064945.298,8.336,18.610,0.000,5,4
L51,3826297.412,462840.807,5064937.895,18.781,6.335,0.000,7,6
L52,3826300.873,462842.935,5064935.105,20.480,1.708,0.000,9,8
L53,3826310.281,462839.261,5064928.375,15.707,-9.451,0.000,11,10
L54,3826317.718,462829.297,5064923.693,4.925,-17.213,0.000,13,12
L55,3826321.041,462822.305,5064921.831,-2.414,-20.301,0.000,15,14
L56,3826315.488,462810.079,5064927.104,-13.888,-11.556,0.000,17,16
L57,3826311.161,462804.263,5064930.878,-19.145,-5.299,0.000,19,18
L58,3826303.200,462804.300,5064936.850,-18.156,4.604,0.000,21,20
L59,3826297.814,462800.003,5064941.281,-21.778,11.952,0.000,23,22
L60,3826289.244,462807.957,5064946.995,-12.856,21.426,0.000,25,24
L61,3826284.651,462819.748,5064949.377,-0.600,25.375,0.000,27,26
L62,3826284.222,462826.001,5064949.134,5.659,24.971,0.000,29,28
L63,3826284.909,462834.315,5064947.867,13.832,22.870,0.000,31,30
L64,3826295.915,462844.586,5064938.677,22.712,7.632,0.000,33,32
L65,3826301.868,462847.064,5064933.984,24.460,-0.150,0.000,35,34
L66,3826312.965,462846.136,5064925.739,22.212,-13.822,0.000,37,36
L67,3826321.251,462835.874,5064920.447,11.032,-22.596,0.000,39,38
L68,3826324.941,462827.571,5064918.428,2.347,-25.944,0.000,41,40
L69,3826324.031,462816.001,5064920.156,-9.031,-23.077,0.000,43,42
L70,3826318.958,462801.580,5064925.268,-22.741,-14.601,0.000,45,44
L71,3826305.794,462795.807,5064935.671,-26.898,2.649,0.000,47,46
L72,3826295.755,462790.694,5064943.668,-30.774,15.910,0.000,49,48
L73,3826287.143,462801.549,5064949.152,-18.966,25.002,0.000,51,50
L74,3826280.948,462814.319,5064952.647,-5.547,30.798,0.000,53,52
L75,3826278.600,462821.897,5064953.725,2.257,32.584,0.000,55,54
L76,3826282.665,462839.755,5064949.059,19.501,24.847,0.000,57,56
L77,3826291.445,462853.445,5064941.232,32.042,11.867,0.000,59,58
L78,3826300.802,462856.628,5064933.921,34.083,-0.256,0.000,61,60
L79,3826307.601,462852.224,5064929.215,28.897,-8.059,0.000,63,62
L80,3826319.315,462850.569,5064920.572,25.853,-22.390,0.000,65,64
L81,3826329.246,462835.543,5064914.475,9.747,-32.498,0.000,67,66
L82,3826331.328,462826.857,5064913.698,0.874,-33.787,0.000,69,68
L83,3826331.262,462810.969,5064915.183,-14.892,-31.323,0.000,71,70
L84,3826327.021,462804.982,5064918.908,-20.328,-25.146,0.000,73,72
L85,3826315.122,462791.558,5064929.053,-32.233,-8.324,0.000,75,74
L86,3826309.766,462792.541,5064932.984,-30.616,-1.805,0.000,77,76
L87,3826309.415,462786.326,5064933.809,-36.744,-0.437,0.000,79,78
L88,3826278.958,462797.880,5064955.627,-21.630,35.739,0.000,81,80
L89,3826272.681,462822.628,5064958.101,3.691,39.841,0.000,83,82
L90,3826274.183,462842.433,5064955.184,23.174,35.003,0.000,85,84
L91,3826282.794,462853.768,5064947.696,33.398,22.586,0.000,87,86
L92,3826318.344,462859.157,5064920.525,34.496,-22.469,0.000,89,88
L93,3826329.309,462840.792,5064913.954,14.951,-33.363,0.000,91,90
L94,3826337.410,462827.426,5064909.081,0.712,-41.442,0.000,93,92
L95,3826322.300,462789.776,5064923.826,-34.860,-16.991,0.000,95,94
H0,3826321.979,462755.405,5064927.174,-68.946,-11.438,0.000,0,1
H1,3826321.506,462760.532,5064927.065,-63.799,-11.618,0.000,2,3
H2,3826326.550,462750.590,5064924.178,-74.273,-16.405,0.000,4,5
H3,3826326.077,462755.718,5064924.070,-69.126,-16.585,0.000,6,7
H4,3826325.604,462760.845,5064923.961,-63.979,-16.765,0.000,8,9
H5,3826325.130,462765.972,5064923.853,-58.832,-16.944,0.000,10,11
H6,3826331.120,462745.777,5064921.182,-79.599,-21.372,0.000,12,13
H7,3826330.647,462750.904,5064921.074,-74.452,-21.552,0.000,14,15
H8,3826330.174,462756.030,5064920.966,-69.306,-21.732,0.000,16,17
H9,3826329.701,462761.157,5064920.858,-64.159,-21.911,0.000,18,19
H10,3826329.228,462766.284,5064920.749,-59.012,-22.091,0.000,20,21
H11,3826328.755,462771.412,5064920.641,-53.865,-22.271,0.000,22,23
H12,3826335.218,462746.089,5064918.078,-79.779,-26.519,0.000,24,25
H13,3826334.745,462751.216,5064917.970,-74.632,-26.699,0.000,26,27
H14,3826334.272,462756.343,5064917.862,-69.485,-26.879,0.000,28,29
H15,3826333.798,462761.471,5064917.754,-64.338,-27.058,0.000,30,31
H16,3826333.325,462766.597,5064917.645,-59.192,-27.238,0.000,32,33
H17,3826332.852,462771.724,5064917.537,-54.045,-27.418,0.000,34,35
H18,3826338.843,462751.529,5064914.866,-74.812,-31.846,0.000,36,37
H19,3826338.369,462756.656,5064914.758,-69.665,-32.025,0.000,38,39
H20,3826337.896,462761.783,5064914.650,-64.518,-32.205,0.000,40,41
H21,3826337.423,462766.910,5064914.541,-59.371,-32.385,0.000,42,43
H22,3826342.467,462756.968,5064911.654,-69.845,-37.172,0.000,44,45
H23,3826341.994,462762.095,5064911.546,-64.698,-37.352,0.000,46,47
H24,3826238.830,462837.264,5064982.188,22.271,79.779,0.000,48,49
H25,3826238.357,462842.391,5064982.079,27.418,79.599,0.000,50,51
H26,3826243.401,462832.449,5064979.192,16.944,74.812,0.000,52,53
H27,3826242.928,462837.576,5064979.084,22.091,74.632,0.000,54,55
H28,3826242.455,462842.703,5064978.975,27.238,74.452,0.000,56,57
H29,3826241.981,462847.831,5064978.868,32.385,74.273,0.000,58,59
H30,3826247.971,462827.635,5064976.196,11.618,69.845,0.000,60,61
H31,3826247.498,462832.762,5064976.088,16.765,69.665,0.000,62,63
H32,3826247.026,462837.889,5064975.980,21.911,69.485,0.000,64,65
H33,3826246.552,462843.016,5064975.872,27.058,69.306,0.000,66,67
H34,3826246.079,462848.143,5064975.763,32.205,69.126,0.000,68,69
H35,3826245.606,462853.270,5064975.655,37.352,68.946,0.000,70,71
H36,3826252.069,462827.948,5064973.092,11.438,64.698,0.000,72,73
H37,3826251.596,462833.075,5064972.984,16.585,64.518,0.000,74,75
H38,3826251.123,462838.202,5064972.876,21.732,64.338,0.000,76,77
H39,3826250.649,462843.329,5064972.768,26.879,64.159,0.000,78,79
H40,3826250.177,462848.455,5064972.659,32.025,63.979,0.000,80,81
H41,3826249.704,462853.583,5064972.551,37.172,63.799,0.000,82,83
H42,3826255.694,462833.387,5064969.880,16.405,59.371,0.000,84,85
H43,3826255.220,462838.514,5064969.772,21.552,59.192,0.000,86,87
H44,3826254.747,462843.642,5064969.664,26.699,59.012,0.000,88,89
H45,3826254.274,462848.769,5064969.555,31.846,58.832,0.000,90,91
H46,3826259.318,462838.827,5064966.668,21.372,54.045,0.000,92,93
H47,3826258.845,462843.954,5064966.560,26.519,53.865,0.000,94,95
CLBA,3826304.675,462822.765,5064934.074,0.000,0.000,0.000,-1,-1
CHBA0,3826331.986,462758.750,5064919.360,-66.822,-24.395,0.000,-1,-1
CHBA1,3826248.837,462840.609,5064974.374,24.395,66.822,0.000,-1,-1
CHBA,3826290.412,462799.679,5064946.867,-21.214,21.214,0.000,-1,-1
