#  
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2003-08-05T12:27:17
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml771

#RESOURCE=8004   
#Name: VIII/4   
#Title:	Fourth Cambridge Survey (4C) (Pilkington+ 1965; Gower+ 1967)   
#Table	VIII_4_radio4c:      
#Name: VIII/4/radio4c     
#Title:	Fourth Cambridge Radio Survey Data          
#Coosys	B1950:	eq_FK4 1950           
#Column	_RAJ2000	(A10)	       Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	_DEJ2000	(A8)	       Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	4C	(A8)	       The 4C number        (link)          
#Column	FluxDen	(F7)	       Flux density (1.0E-26 W/m2/Hz) at 178 MHz          
#Column	ErrClas1	(I2)	       Position and flux error class (in number)          
#Column	GLON	(F5)	       Galactic longitude, System II.          
#Column	GLAT	(F5)	       Galactic latitude, System II.          
#Column	ErrClas2	(A3)	       Position & flux error class (character form)          
#Column	com	(A8)	       Remarks          
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     

_RAJ2000	_DEJ2000	4C	FluxDen	ErrClas1	GLON	GLAT	ErrClas2	com	recno
"h:m:s"	"d:m:s"		Jy		deg	deg			
----------	--------	--------	-------	--	-----	-----	---	--------	--------
00 08 30.1	-05 59.0	-06.01  	    8.2	 1	 95.2	-66.5	a  	3C3     	       1
00 10 44.2	-05 56.8	-06.02  	    3.0	 2	 96.5	-66.7	b  	        	       2
00 42 46.2	-06 14.4	-06.03  	    5.3	 1	116.9	-69.0	a  	        	       3
00 48 59.3	-06 07.3	-06.04  	    4.5	 2	121.2	-69.0	b  	        	       4
01 28 18.3	-05 58.1	-06.05  	    2.6	21	147.1	-67.1	be 	        	       5
01 37 47.3	-06 33.4	-06.06  	    2.2	 2	153.2	-66.7	b  	        	       6
02 02 56.9	-06 03.9	-06.07  	    2.1	 1	165.1	-62.9	a  	        	       7
02 23 30.8	-06 38.5	-06.08  	    2.2	 2	174.0	-60.0	b  	        	       8
03 15 35.8	-06 00.6	-06.09  	    2.8	 2	187.9	-49.8	b  	        	       9
03 49 07.4	-06 08.8	-06.10  	    3.4	 1	194.8	-42.9	a  	        	      10
05 21 49.0	-06 05.6	-06.11  	    5.5	 1	208.1	-22.7	a  	        	      11
05 26 36.4	-06 26.5	-06.12  	    2.2	 1	209.0	-21.8	a  	        	      12
05 45 07.8	-06 32.2	-06.13  	    2.9	22	211.3	-17.7	bl 	        	      13
05 47 56.6	-06 36.3	-06.14  	    4.1	 2	211.6	-17.1	b  	        	      14
05 57 41.1	-06 34.6	-06.15  	    3.2	 1	212.7	-14.9	a  	        	      15
06 43 12.8	-06 48.2	-06.16  	    3.0	 2	218.1	 -4.9	b  	        	      16
07 26 53.6	-06 13.5	-06.17  	    5.1	 2	222.5	  5.0	b  	        	      17
07 44 21.9	-06 26.7	-06.18  	    5.1	 1	224.8	  8.7	a  	        	      18
08 55 08.6	-07 09.8	-06.19  	    5.2	 1	234.9	 23.4	a  	3C209   	      19
