NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
H0,3940273.976,816723.846,4932410.789,3.955,27.450,0.000,0,1
H1,3940275.409,816728.510,4932409.140,8.415,24.875,0.000,2,3
H2,3940276.842,816733.174,4932407.491,12.875,22.300,0.000,4,5
H3,3940278.275,816737.837,4932405.842,17.335,19.725,0.000,6,7
H4,3940279.708,816742.501,4932404.194,21.795,17.150,0.000,8,9
H5,3940276.400,816717.054,4932409.770,-3.080,25.565,0.000,10,11
H6,3940277.833,816721.718,4932408.121,1.380,22.990,0.000,12,13
H7,3940279.266,816726.382,4932406.472,5.840,20.415,0.000,14,15
H8,3940280.699,816731.045,4932404.823,10.300,17.840,0.000,16,17
H9,3940282.132,816735.709,4932403.174,14.760,15.265,0.000,18,19
H10,3940283.564,816740.373,4932401.526,19.220,12.690,0.000,20,21
H11,3940284.997,816745.037,4932399.877,23.680,10.115,0.000,22,23
H12,3940278.824,816710.262,4932408.751,-10.115,23.680,0.000,24,25
H13,3940280.257,816714.926,4932407.102,-5.655,21.105,0.000,26,27
H14,3940281.690,816719.590,4932405.453,-1.195,18.530,0.000,28,29
H15,3940283.123,816724.253,4932403.804,3.265,15.955,0.000,30,31
H16,3940284.555,816728.917,4932402.155,7.725,13.380,0.000,32,33
H17,3940285.988,816733.581,4932400.507,12.185,10.805,0.000,34,35
H18,3940287.421,816738.245,4932398.858,16.645,8.230,0.000,36,37
H19,3940288.854,816742.908,4932397.209,21.105,5.655,0.000,38,39
H20,3940290.287,816747.572,4932395.560,25.565,3.080,0.000,40,41
H21,3940281.248,816703.470,4932407.732,-17.150,21.795,0.000,42,43
H22,3940282.681,816708.134,4932406.083,-12.690,19.220,0.000,44,45
H23,3940284.114,816712.798,4932404.434,-8.230,16.645,0.000,46,47
H24,3940285.546,816717.462,4932402.785,-3.770,14.070,0.000,48,49
H25,3940286.979,816722.125,4932401.136,0.690,11.495,0.000,50,51
H26,3940288.412,816726.789,4932399.487,5.150,8.920,0.000,52,53
H27,3940289.845,816731.453,4932397.839,9.610,6.345,0.000,54,55
H28,3940291.278,816736.116,4932396.190,14.070,3.770,0.000,56,57
H29,3940292.711,816740.780,4932394.541,18.530,1.195,0.000,58,59
H30,3940294.144,816745.444,4932392.892,22.990,-1.380,0.000,60,61
H31,3940295.577,816750.107,4932391.243,27.450,-3.955,0.000,62,63
H32,3940285.105,816701.342,4932405.064,-19.725,17.335,0.000,64,65
H33,3940286.538,816706.006,4932403.415,-15.265,14.760,0.000,66,67
H34,3940287.970,816710.670,4932401.766,-10.805,12.185,0.000,68,69
H35,3940289.403,816715.333,4932400.117,-6.345,9.610,0.000,70,71
H36,3940290.836,816719.997,4932398.468,-1.885,7.035,0.000,72,73
H37,3940292.269,816724.661,4932396.819,2.575,4.460,0.000,74,75
H38,3940293.702,816729.324,4932395.171,7.035,1.885,0.000,76,77
