NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3783579.528,450178.562,5097830.578,0.000,0.000,0.000,0,1
L1,3783577.509,450178.319,5097832.116,0.000,2.550,0.000,2,3
L2,3783578.190,450180.667,5097831.392,2.250,1.350,0.000,4,5
L3,3783580.328,450180.925,5097829.764,2.250,-1.350,0.000,6,7
L4,3783581.547,450178.805,5097829.040,0.000,-2.550,0.000,8,9
L5,3783580.866,450176.457,5097829.764,-2.250,-1.350,0.000,10,11
L6,3783578.728,450176.199,5097831.392,-2.250,1.350,0.000,12,13
L7,3783583.258,450181.754,5097827.490,2.723,-5.121,0.000,14,15
L8,3783584.165,450177.906,5097827.157,-1.206,-5.673,0.000,16,17
L9,3783582.903,450174.365,5097828.424,-4.571,-3.571,0.000,18,19
L10,3783580.061,450172.788,5097830.700,-5.796,0.202,0.000,20,21
L11,3783576.970,450173.913,5097832.918,-4.310,3.881,0.000,22,23
L12,3783575.076,450177.213,5097834.042,-0.807,5.744,0.000,24,25
L13,3783575.265,450181.145,5097833.545,3.074,4.919,0.000,26,27
L14,3783577.449,450183.867,5097831.659,5.516,1.792,0.000,28,29
L15,3783580.606,450184.109,5097829.268,5.378,-2.173,0.000,30,31
L16,3783581.890,450187.216,5097828.023,8.309,-4.237,0.000,32,33
L17,3783584.631,450185.746,5097826.099,6.522,-7.428,0.000,34,35
L18,3783587.243,450181.746,5097824.499,2.238,-10.080,0.000,36,37
L19,3783587.098,450174.510,5097825.262,-4.928,-8.815,0.000,38,39
L20,3783585.859,450171.773,5097826.439,-7.498,-6.862,0.000,40,41
L21,3783583.143,450169.332,5097828.698,-9.596,-3.116,0.000,42,43
L22,3783579.736,450169.352,5097831.254,-9.169,1.122,0.000,44,45
L23,3783575.356,450171.553,5097834.343,-6.460,6.243,0.000,46,47
L24,3783572.378,450174.751,5097836.290,-2.928,9.471,0.000,48,49
L25,3783571.448,450179.025,5097836.601,1.426,9.987,0.000,50,51
L26,3783572.639,450182.584,5097835.385,4.817,7.971,0.000,52,53
L27,3783575.183,450186.062,5097833.161,7.966,4.283,0.000,54,55
L28,3783578.599,450187.719,5097830.448,9.202,-0.216,0.000,56,57
L29,3783584.198,450191.304,5097825.921,12.092,-7.723,0.000,58,59
L30,3783586.972,450189.517,5097824.001,9.986,-10.907,0.000,60,61
L31,3783588.351,450186.827,5097823.208,7.150,-12.221,0.000,62,63
L32,3783590.053,450179.039,5097822.635,-0.785,-13.171,0.000,64,65
L33,3783591.612,450176.669,5097821.679,-3.325,-14.756,0.000,66,67
L34,3783588.394,450170.588,5097824.644,-8.977,-9.839,0.000,68,69
L35,3783585.414,450167.348,5097827.173,-11.838,-5.645,0.000,70,71
L36,3783582.446,450163.756,5097829.726,-15.049,-1.412,0.000,72,73
L37,3783579.928,450165.099,5097831.495,-13.414,1.521,0.000,74,75
L38,3783576.228,450166.455,5097834.150,-11.625,5.923,0.000,76,77
L39,3783571.496,450170.523,5097837.333,-7.021,11.202,0.000,78,79
L40,3783569.897,450172.568,5097838.349,-4.799,12.886,0.000,80,81
L41,3783568.967,450177.811,5097838.573,0.518,13.257,0.000,82,83
L42,3783567.571,450181.660,5097839.273,4.506,14.417,0.000,84,85
L43,3783571.364,450188.871,5097835.774,11.212,8.616,0.000,86,87
L44,3783573.984,450190.959,5097833.619,12.971,5.041,0.000,88,89
L45,3783577.979,450192.961,5097830.439,14.481,-0.231,0.000,90,91
L46,3783580.041,450123.750,5097835.148,-54.480,7.580,0.000,92,93
L47,3783535.476,450181.222,5097863.404,7.910,54.430,0.000,94,95
L48,3783580.146,450196.386,5097828.503,17.622,-3.441,0.000,1,0
