NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,4008428.665,-100303.815,4943743.826,6.904,12.006,0.000,0,1
L1,4008433.516,-100298.395,4943740.025,11.725,5.364,0.000,2,3
L2,4008428.580,-100299.950,4943743.968,10.767,11.799,0.000,4,5
L3,4008432.638,-100295.191,4943740.792,15.024,6.224,0.000,6,7
L4,4008454.237,-100315.175,4943723.029,-7.491,-19.747,0.000,8,9
L5,4008457.609,-100310.459,4943720.405,-3.195,-24.442,0.000,10,11
L6,4008456.575,-100322.895,4943721.001,-15.467,-22.104,0.000,12,13
L7,4008459.772,-100320.056,4943718.482,-13.021,-26.422,0.000,14,15
L8,4008424.480,-100300.812,4943747.251,10.400,17.109,0.000,16,17
L9,4008419.532,-100303.849,4943751.176,7.967,23.681,0.000,18,19
L10,4008417.536,-100300.771,4943752.840,11.275,25.980,0.000,20,21
L11,4008418.703,-100296.880,4943751.975,15.014,24.171,0.000,22,23
L12,4008442.323,-100311.285,4943732.692,-2.182,-4.838,0.000,24,25
L13,4008440.382,-100306.157,4943734.351,3.162,-2.777,0.000,26,27
L14,4008442.495,-100304.046,4943732.691,5.013,-5.650,0.000,28,29
L15,4008445.681,-100306.522,4943730.079,2.162,-9.520,0.000,30,31
L16,4008442.552,-100300.502,4943732.712,8.539,-6.013,0.000,32,33
L17,4008439.318,-100297.702,4943735.368,11.718,-2.108,0.000,34,35
L18,4008445.562,-100294.293,4943730.407,14.367,-10.367,0.000,36,37
L19,4008442.914,-100291.108,4943732.599,17.860,-7.243,0.000,38,39
L20,4008432.845,-100330.099,4943739.963,-19.799,8.812,0.000,40,41
L21,4008425.976,-100328.348,4943745.524,-17.228,17.448,0.000,42,43
L22,4008430.212,-100338.806,4943741.917,-28.162,12.889,0.000,44,45
L23,4008422.470,-100332.009,4943748.276,-20.457,22.227,0.000,46,47
L24,4008428.295,-100311.542,4943743.977,-0.754,13.110,0.000,48,49
L25,4008425.956,-100308.716,4943745.913,2.344,15.869,0.000,50,51
L26,4008426.274,-100314.973,4943745.538,-3.931,15.973,0.000,52,53
L27,4008423.392,-100316.712,4943747.825,-5.319,19.799,0.000,54,55
L28,4008445.045,-100328.817,4943730.168,-19.986,-6.884,0.000,56,57
L29,4008447.304,-100331.420,4943728.300,-22.852,-9.559,0.000,58,59
L30,4008440.182,-100335.452,4943733.956,-26.016,-0.128,0.000,60,61
L31,4008443.705,-100339.347,4943731.046,-30.322,-4.312,0.000,62,63
L32,4008448.485,-100293.152,4943728.077,15.153,-14.195,0.000,64,65
L33,4008453.211,-100295.618,4943724.226,12.127,-20.034,0.000,66,67
L34,4008458.711,-100288.573,4943719.933,18.489,-27.639,0.000,68,69
L35,4008454.290,-100285.480,4943723.551,22.104,-22.241,0.000,70,71
L36,4008441.556,-100316.102,4943733.217,-6.892,-3.465,0.000,72,73
L37,4008445.702,-100313.884,4943729.923,-5.179,-8.945,0.000,74,75
L38,4008442.817,-100319.746,4943732.134,-10.676,-4.778,0.000,76,77
L39,4008445.667,-100319.083,4943729.852,-10.357,-8.475,0.000,78,79
L40,4008427.642,-100288.958,4943744.932,21.837,12.100,0.000,80,81
L41,4008435.208,-100286.165,4943738.895,23.713,2.202,0.000,82,83
L42,4008429.290,-100281.229,4943743.751,29.344,9.361,0.000,84,85
L43,4008437.425,-100279.702,4943737.233,29.889,-1.160,0.000,86,87
L44,4008436.511,-100317.086,4943737.259,-7.267,3.063,0.000,88,89
L45,4008437.449,-100320.905,4943736.432,-11.187,2.177,0.000,90,91
L46,4008432.797,-100317.708,4943740.237,-7.441,7.861,0.000,92,93
L47,4008434.427,-100322.508,4943738.834,-12.422,6.170,0.000,94,95
L48,4008452.497,-100308.662,4943724.554,-0.790,-18.055,0.000,96,97
L49,4008438.118,-100330.500,4943735.711,-20.832,2.106,0.000,98,99
L50,4008461.056,-100308.127,4943717.675,-1.284,-29.038,0.000,100,101
L51,4008453.624,-100299.063,4943723.829,8.644,-20.280,0.000,102,103
L52,4008421.044,-100321.642,4943749.620,-9.951,23.202,0.000,104,105
L53,4008435.802,-100341.466,4943737.367,-31.485,5.962,0.000,106,107
L54,4008459.485,-100298.019,4943719.131,8.980,-27.856,0.000,108,109
L55,4008444.926,-100310.563,4943730.611,-1.775,-8.224,0.000,110,111
L56,4008422.268,-100289.591,4943749.244,21.852,19.019,0.000,112,113
L57,4008426.337,-100322.823,4943745.339,-11.764,16.535,0.000,114,115
L58,4008423.034,-100307.546,4943748.287,3.861,19.508,0.000,116,117
